context,targ
"b.MAT.1.1 the book of the generation of jesus christ , the son of david , the son of abraham .","b.MAT.1.1 (b.MAT.1.1) the (NULL) book (ᐁᔑᐲᐃᑳᑌᓂᒃ) of (NULL) the (NULL) generation (ᑳᐱᐅᒋ) of (NULL) jesus (ᒋᓴᔅ) christ (x) , (,) the (NULL) son (ᑳᐅᑕᑳᓀᓯᒡ) of (NULL) david (ᑌᐱᑎᕽ) , (,) the (NULL) son (ᑳᐅᑕᑳᓀᓯᒡ) of (NULL) abraham (ᐁᐸᕒᐊᐋᒥᕽ) . (᙮) "
b.MAT.1.2 abraham begat isaac ; and isaac begat jacob ; and jacob begat judas and his brethren ;,"b.MAT.1.2 (b.MAT.1.2) abraham (ᐁᐸᕒᐊᐋᒻ) begat (ᑮᐅᑯᓯᓯ) isaac (ᐋᐃᓯᑰᓐ) ; (ᒦᓇᐙᔥ) and (NULL) isaac (ᐋᐃᓯᑰᓐ) begat (ᑮᐅᑯᓯᓯ) jacob (ᒉᑲᐴᓐ) ; (ᒦᓇᐙᔥ) and (NULL) jacob (ᒉᑲᐴᓐ) begat (ᑮᐅᑯᓯᓯ) judas (NULL) and (NULL) his (,) brethren (ᐐᒋᑭᐌᔨᓂ) ; (ᒦᓇᐙᔥ) "
b.MAT.1.3 and judas begat phares and zara of thamar ; and phares begat esrom ; and esrom begat aram ;,"b.MAT.1.3 (b.MAT.1.3) and (ᔑᑾ) judas (ᒎᑕ) begat (ᑮᐅᑯᓯᓯ) phares (ᐲᕒᐃᓴᓐ) and (ᔑᑾ) zara (ᐃᓂᐌᓂᐗᐞ) of (,) thamar (ᓰᕒᐋᐗᓐ) ; (NULL) and (ᔑᑾ) phares (ᐲᕒᐃᓴᓐ) begat (ᑮᐅᑯᓯᓯ) esrom (NULL) ; (NULL) and (ᔑᑾ) esrom (NULL) begat (ᑮᐅᑯᓯᓯ) aram (ᐅᕒᐋᒪᓐ) ; (NULL) "
b.MAT.1.4 and aram begat aminadab ; and aminadab begat naasson ; and naasson begat salmon ;,"b.MAT.1.4 (b.MAT.1.4) and (ᑲᔦ) aram (ᐅᕒᐋᒻ) begat (ᐅᑯᓯᓯ) aminadab (ᐊᒥᓇᑖᐸᓐ) ; (,) and (ᑲᔦ) aminadab (ᐊᒥᓇᑖᐸᓐ) begat (ᐅᑯᓯᓯ) naasson (ᓈᔕᓇᓐ) ; (,) and (ᑲᔦ) naasson (ᓈᔕᓇᓐ) begat (ᐅᑯᓯᓯ) salmon (ᓵᓬᒪᓇᓐ) ; (,) "
b.MAT.1.5 and salmon begat booz of rachab ; and booz begat obed of ruth ; and obed begat jesse ;,b.MAT.1.5 (b.MAT.1.5) and (ᑲᔦ) salmon (ᓵᓬᒪᓐ) begat (ᐅᑯᓯᓯ) booz (ᐴᐙᓴᓐ) of (NULL) rachab (NULL) ; (᙮) and (ᑲᔦ) booz (ᐴᐙᓴᓐ) begat (ᐅᑯᓯᓯ) obed (ᐅᕒᐆᑦ) of (NULL) ruth (ᐅᒫᒫᓐ) ; (᙮) and (ᑲᔦ) obed (ᐅᕒᐆᑦ) begat (ᐅᑯᓯᓯ) jesse (ᒉᓯᐗᓐ) ; (᙮) 
b.MAT.1.6 and jesse begat david the king ; and david the king begat solomon of her that had been the wife of urias ;,b.MAT.1.6 (b.MAT.1.6) and (NULL) jesse (ᒉᓯ) begat (ᑮᐅᑯᓯᓯ) david (ᑌᐱᑕᓐ) the (NULL) king (NULL) ; (᙮) and (NULL) david (ᑌᐱᑕᓐ) the (NULL) king (NULL) begat (ᑮᐅᑯᓯᓯ) solomon (ᔂᓬᐊᒪᓇᓐ) of (NULL) her (ᐃᓂ) that (NULL) had (᙮) been (ᔪᕒᐋᔭ) the (NULL) wife (ᐐᐗᓐ) of (NULL) urias (ᑮᐅᒫᒫ) ; (᙮) 
b.MAT.1.7 and solomon begat roboam ; and roboam begat abia ; and abia begat asa ;,"b.MAT.1.7 (b.MAT.1.7) and (ᑲᔦ) solomon (ᔂᓬᐊᒪᓐ) begat (ᐅᑯᓯᓯ) roboam (ᐅᕒᐄᔭᐴᐗᒨᓐ) ; (,) and (ᑲᔦ) roboam (ᐅᕒᐄᔭᐴᐗᒨᓐ) begat (ᐅᑯᓯᓯ) abia (ᐊᐹᐃᒐᐗᓐ) ; (,) and (ᑲᔦ) abia (ᐊᐹᐃᒐᐗᓐ) begat (ᐅᑯᓯᓯ) asa (ᐁᓴᐗᓐ) ; (,) "
b.MAT.1.8 and asa begat josaphat ; and josaphat begat joram ; and joram begat ozias ;,"b.MAT.1.8 (b.MAT.1.8) and (ᑲᔦ) asa (ᐁᓴ) begat (ᐅᑯᓯᓯ) josaphat (ᒉᐆᔕᐹᑕᓐ) ; (,) and (ᑲᔦ) josaphat (ᒉᐆᔕᐹᑕᓐ) begat (ᐅᑯᓯᓯ) joram (ᒎᕒᐊᒨᓐ) ; (,) and (ᑲᔦ) joram (ᒎᕒᐊᒨᓐ) begat (ᐅᑯᓯᓯ) ozias (ᐊᓵᔭᐗᓐ) ; (,) "
b.MAT.1.9 and ozias begat joatham ; and joatham begat achaz ; and achaz begat ezekias ;,b.MAT.1.9 (b.MAT.1.9) and (ᑲᔦ) ozias (ᐊᓵᔭ) begat (ᐅᑯᓯᓯ) joatham (ᒎᑕᒨᓐ) ; (NULL) and (ᑲᔦ) joatham (ᒎᑕᒨᓐ) begat (ᐅᑯᓯᓯ) achaz (NULL) ; (NULL) and (ᑲᔦ) achaz (NULL) begat (ᐅᑯᓯᓯ) ezekias (ᐁᓯᑳᔭᐗᓐ) ; (NULL) 
b.MAT.1.10 and ezekias begat manasses ; and manasses begat amon ; and amon begat josias ;,"b.MAT.1.10 (b.MAT.1.10) and (ᑲᔦ) ezekias (ᐁᓯᑳᔭ) begat (ᐅᑯᓯᓯ) manasses (ᒪᓈᓴᐗᓐ) ; (,) and (ᑲᔦ) manasses (ᒪᓈᓴᐗᓐ) begat (ᐅᑯᓯᓯ) amon (ᐋᒪᓇᓐ) ; (,) and (ᑲᔦ) amon (ᐋᒪᓇᓐ) begat (ᐅᑯᓯᓯ) josias (ᒍᓵᔭᐗᓐ) ; (,) "
