context,targ
"b.MAT.1.1 the book of the generation of jesus christ , the son of david , the son of abraham .","b.MAT.1.1 (b.MAT.1.1) the (i) book (msinukin) of (NULL) the (i) generation (pmatse) of (NULL) jesus (cisus) christ (knayst) , (') the (i) son (kwismukot) of (NULL) david (pitun) , (') the (i) son (kwismukot) of (NULL) abraham (amun) . (;) "
b.MAT.1.2 abraham begat isaac ; and isaac begat jacob ; and jacob begat judas and his brethren ;,"b.MAT.1.2 (b.MAT.1.2) abraham (pine) begat (NULL) isaac (aysikin) ; (,) and (ipi) isaac (aysikin) begat (NULL) jacob (kapin) ; (,) and (ipi) jacob (kapin) begat (NULL) judas (cotusin) and (ipi) his (niw) brethren (wikane) ; (,) "
b.MAT.1.3 and judas begat phares and zara of thamar ; and phares begat esrom ; and esrom begat aram ;,b.MAT.1.3 (b.MAT.1.3) and (ici) judas (cotus) begat (kiwosmukon) phares (nisin) and (ici) zara (se) of (') thamar (kao) ; (') and (ici) phares (nisin) begat (kiwosmukon) esrom (snumin) ; (') and (ici) esrom (snumin) begat (kiwosmukon) aram (numin) ; (') 
b.MAT.1.4 and aram begat aminadab ; and aminadab begat naasson ; and naasson begat salmon ;,b.MAT.1.4 (b.MAT.1.4) and (ipi) aram (num) begat (kiwosmukon) aminadab (minite) ; (') and (ipi) aminadab (minite) begat (kiwosmukon) naasson (sanmunin) ; (') and (ipi) naasson (sanmunin) begat (kiwosmukon) salmon (pin) ; (') 
b.MAT.1.5 and salmon begat booz of rachab ; and booz begat obed of ruth ; and obed begat jesse ;,b.MAT.1.5 (b.MAT.1.5) and (ipi) salmon (sanmun) begat (kiwosmukon) booz (poe) of (') rachab (niwci) ; (') and (ipi) booz (poe) begat (kiwosmukon) obed (opitin) of (') ruth (icin) ; (') and (ipi) obed (opitin) begat (kiwosmukon) jesse (siin) ; (') 
b.MAT.1.6 and jesse begat david the king ; and david the king begat solomon of her that had been the wife of urias ;,"b.MAT.1.6 (b.MAT.1.6) and (ipi) jesse (ce) begat (kiwosmukon) david (pitin) the (NULL) king (kaokumawit) ; (,) and (ipi) david (pitin) the (NULL) king (kaokumawit) begat (kiwosmukon) solomon (sanumun) of (NULL) her (;) that (NULL) had (NULL) been (kaowiwpninin) the (NULL) wife (ionaie) of (NULL) urias (cin) ; (,) "
b.MAT.1.7 and solomon begat roboam ; and roboam begat abia ; and abia begat asa ;,"b.MAT.1.7 (b.MAT.1.7) and (ipi) solomon (sanumun) begat (kiwosmukon) roboam (nopoumin) ; (,) and (ipi) roboam (nopoumin) begat (kiwosmukon) abia (pie) ; (,) and (ipi) abia (pie) begat (kiwosmukon) asa (se) ; (,) "
b.MAT.1.8 and asa begat josaphat ; and josaphat begat joram ; and joram begat ozias ;,b.MAT.1.8 (b.MAT.1.8) and (ipi) asa (se) begat (kiwosmukon) josaphat (cose) ; (') and (ipi) josaphat (cose) begat (kiwosmukon) joram (cone) ; (') and (ipi) joram (cone) begat (kiwosmukon) ozias (osaye) ; (') 
b.MAT.1.9 and ozias begat joatham ; and joatham begat achaz ; and achaz begat ezekias ;,b.MAT.1.9 (b.MAT.1.9) and (ipi) ozias (osaye) begat (kiwosmukon) joatham (cote) ; (') and (ipi) joatham (cote) begat (kiwosmukon) achaz (m) ; (') and (ipi) achaz (m) begat (kiwosmukon) ezekias (isikayusin) ; (') 
b.MAT.1.10 and ezekias begat manasses ; and manasses begat amon ; and amon begat josias ;,b.MAT.1.10 (b.MAT.1.10) and (ipi) ezekias (isikayus) begat (kiwosmukon) manasses (sin) ; (se) and (ipi) manasses (sin) begat (kiwosmukon) amon (NULL) ; (se) and (ipi) amon (NULL) begat (kiwosmukon) josias (cosayusin) ; (se) 
"b.MAT.1.11 and josias begat jechonias and his brethren , about the time they were carried away to babylon :","b.MAT.1.11 (b.MAT.1.11) and (ipi) josias (cosayus) begat (kiwosmukon) jechonias (koniasin) and (ipi) his (') brethren (wikane) , (,) about (ipic) the (NULL) time (iwci) they (NULL) were (') carried (kimacintwa) away (NULL) to (NULL) babylon (pinun) : (;) "
"b.MAT.1.12 and after they were brought to babylon , jechonias begat salathiel ; and salathiel begat zorobabel ;","b.MAT.1.12 (b.MAT.1.12) and (ici) after (ntwa) they (kapie) were (') brought (NULL) to (NULL) babylon (pinun) , (') jechonias (konias) begat (kiwosmukon) salathiel (tie) ; (') and (ici) salathiel (tie) begat (kiwosmukon) zorobabel (sonope) ; (') "
b.MAT.1.13 and zorobabel begat abiud ; and abiud begat eliakim ; and eliakim begat azor ;,b.MAT.1.13 (b.MAT.1.13) and (ipi) zorobabel (sonope) begat (kiwosmukon) abiud (pe) ; (') and (ipi) abiud (pe) begat (kiwosmukon) eliakim (tin) ; (') and (ipi) eliakim (tin) begat (kiwosmukon) azor (sunin) ; (') 
b.MAT.1.14 and azor begat sadoc ; and sadoc begat achim ; and achim begat eliud ;,b.MAT.1.14 (b.MAT.1.14) and (ipi) azor (sun) begat (kiwosmukon) sadoc (takin) ; (') and (ipi) sadoc (takin) begat (kiwosmukon) achim (kimin) ; (') and (ipi) achim (kimin) begat (kiwosmukon) eliud (inayiatin) ; (') 
b.MAT.1.15 and eliud begat eleazar ; and eleazar begat matthan ; and matthan begat jacob ;,b.MAT.1.15 (b.MAT.1.15) and (ipi) eliud (inayiat) begat (kiwosmukon) eleazar (inie) ; (') and (ipi) eleazar (inie) begat (kiwosmukon) matthan (nin) ; (') and (ipi) matthan (nin) begat (kiwosmukon) jacob (kapin) ; (') 
"b.MAT.1.16 and jacob begat joseph the husband of mary , of whom was born jesus , who is called christ .","b.MAT.1.16 (b.MAT.1.16) and (ipi) jacob (kap) begat (kiwosmukon) joseph (cosipin) the (ni) husband (onape) of (NULL) mary (me) , (') of (NULL) whom (NULL) was (NULL) born (kanikukocin) jesus (cisus) , (') who (NULL) is (oie) called (kashinkanit) christ (knayst) . (.) "
b.MAT.1.17 so all the generations from abraham to david are fourteen generations ; and from david until the carrying away into babylon are fourteen generations ; and from the carrying away into babylon unto christ are fourteen generations .,b.MAT.1.17 (b.MAT.1.17) so (otici) all (cak) the (') generations (pmatsowunin) from (') abraham (pine) to (') david (pit) are (') fourteen (mtatso) generations (pmatsowunin) ; (NULL) and (ipi) from (') david (pit) until (nash) the (') carrying (kamacintwa) away (') into (') babylon (nunuk) are (') fourteen (mtatso) generations (pmatsowunin) ; (NULL) and (ipi) from (') the (') carrying (kamacintwa) away (') into (') babylon (nunuk) unto (NULL) christ (knayst) are (') fourteen (mtatso) generations (pmatsowunin) . (.) 
"b.MAT.1.18 now the birth of jesus christ was on this wise : when as his mother mary was espoused to joseph , before they came together , she was found with child of the holy ghost .","b.MAT.1.18 (b.MAT.1.18) now (NULL) the (ni) birth (kanikit) of (NULL) jesus (cisus) christ (knayst) was (NULL) on (NULL) this (oti) wise (ne) : (') when (NULL) as (') his (NULL) mother (okie) mary (niin) was (NULL) espoused (kakishknontwat) to (') joseph (cosipin) , (') before (pwamshi) they (') came (kanomkuk) together (ki) , (') she (NULL) was (NULL) found (witike) with (') child (pinoce) of (NULL) the (ni) holy (NULL) ghost (okikukishkwan) . (.) "
