context,targ
"b.MAT.1.1 the book of the generation of jesus christ , the son of david , the son of abraham .","b.MAT.1.1 (b.MAT.1.1) the (NULL) book (NULL) of (NULL) the (NULL) generation (NULL) of (NULL) jesus (yesus) christ (kristus) , (ki) the (NULL) son (NULL) of (NULL) david (daud) , (ki) the (NULL) son (NULL) of (NULL) abraham (abraham) . (.) "
b.MAT.1.2 abraham begat isaac ; and isaac begat jacob ; and jacob begat judas and his brethren ;,b.MAT.1.2 (b.MAT.1.2) abraham (abraham) begat (mpobubu) isaac (ishak) ; (:) and (') isaac (ishak) begat (mpobubu) jacob (yakub) ; (:) and (') jacob (yakub) begat (mpobubu) judas (yehuda) and (') his (na) brethren (ompi) ; (:) 
b.MAT.1.3 and judas begat phares and zara of thamar ; and phares begat esrom ; and esrom begat aram ;,"b.MAT.1.3 (b.MAT.1.3) and (NULL) judas (yehuda) begat (mpobubu) phares (peres) and (NULL) zara (zerah) of (') thamar (tamar) ; (,) and (NULL) phares (peres) begat (mpobubu) esrom (hezron) ; (,) and (NULL) esrom (hezron) begat (mpobubu) aram (ram) ; (,) "
b.MAT.1.4 and aram begat aminadab ; and aminadab begat naasson ; and naasson begat salmon ;,"b.MAT.1.4 (b.MAT.1.4) and (NULL) aram (ram) begat (mpobubu) aminadab (aminadab) ; (,) and (NULL) aminadab (aminadab) begat (mpobubu) naasson (nahason) ; (,) and (NULL) naasson (nahason) begat (mpobubu) salmon (salmon) ; (,) "
b.MAT.1.5 and salmon begat booz of rachab ; and booz begat obed of ruth ; and obed begat jesse ;,b.MAT.1.5 (b.MAT.1.5) and (NULL) salmon (salmon) begat (mpobubu) booz (boas) of (NULL) rachab (rahab) ; (NULL) and (NULL) booz (boas) begat (mpobubu) obed (obed) of (NULL) ruth (rut) ; (NULL) and (NULL) obed (obed) begat (mpobubu) jesse (isai) ; (NULL) 
b.MAT.1.6 and jesse begat david the king ; and david the king begat solomon of her that had been the wife of urias ;,b.MAT.1.6 (b.MAT.1.6) and (pai) jesse (isai) begat (mpobubu) david (daud) the (NULL) king (NULL) ; (.) and (pai) david (daud) the (NULL) king (NULL) begat (mpobubu) solomon (salomo) of (NULL) her (na) that (NULL) had (NULL) been (-) the (NULL) wife (balu) of (NULL) urias (uria) ; (.) 
b.MAT.1.7 and solomon begat roboam ; and roboam begat abia ; and abia begat asa ;,"b.MAT.1.7 (b.MAT.1.7) and (NULL) solomon (salomo) begat (mpobubu) roboam (rehabeam) ; (,) and (NULL) roboam (rehabeam) begat (mpobubu) abia (abia) ; (,) and (NULL) abia (abia) begat (mpobubu) asa (asa) ; (,) "
b.MAT.1.8 and asa begat josaphat ; and josaphat begat joram ; and joram begat ozias ;,"b.MAT.1.8 (b.MAT.1.8) and (NULL) asa (asa) begat (mpobubu) josaphat (yosafat) ; (,) and (NULL) josaphat (yosafat) begat (mpobubu) joram (yoram) ; (,) and (NULL) joram (yoram) begat (mpobubu) ozias (uzia) ; (,) "
b.MAT.1.9 and ozias begat joatham ; and joatham begat achaz ; and achaz begat ezekias ;,"b.MAT.1.9 (b.MAT.1.9) and (NULL) ozias (uzia) begat (mpobubu) joatham (yotam) ; (,) and (NULL) joatham (yotam) begat (mpobubu) achaz (ahas) ; (,) and (NULL) achaz (ahas) begat (mpobubu) ezekias (hizkia) ; (,) "
b.MAT.1.10 and ezekias begat manasses ; and manasses begat amon ; and amon begat josias ;,"b.MAT.1.10 (b.MAT.1.10) and (NULL) ezekias (hizkia) begat (mpobubu) manasses (manasye) ; (,) and (NULL) manasses (manasye) begat (mpobubu) amon (amon) ; (,) and (NULL) amon (amon) begat (mpobubu) josias (yosia) ; (,) "
"b.MAT.1.11 and josias begat jechonias and his brethren , about the time they were carried away to babylon :","b.MAT.1.11 (b.MAT.1.11) and (NULL) josias (yosia) begat (mpobubu) jechonias (yekhonya) and (NULL) his (na) brethren (ompi) , (NULL) about (NULL) the (NULL) time (NULL) they (NULL) were (NULL) carried (NULL) away (NULL) to (') babylon (NULL) : (.) "
"b.MAT.1.12 and after they were brought to babylon , jechonias begat salathiel ; and salathiel begat zorobabel ;","b.MAT.1.12 (b.MAT.1.12) and (') after (NULL) they (ra) were (NULL) brought (hilou) to (hi) babylon (babel) , (:) jechonias (yekhonya) begat (mpobubu) salathiel (sealtiel) ; (,) and (') salathiel (sealtiel) begat (mpobubu) zorobabel (zerubabel) ; (,) "
b.MAT.1.13 and zorobabel begat abiud ; and abiud begat eliakim ; and eliakim begat azor ;,"b.MAT.1.13 (b.MAT.1.13) and (NULL) zorobabel (zerubabel) begat (mpobubu) abiud (abihud) ; (,) and (NULL) abiud (abihud) begat (mpobubu) eliakim (elyakim) ; (,) and (NULL) eliakim (elyakim) begat (mpobubu) azor (azor) ; (,) "
b.MAT.1.14 and azor begat sadoc ; and sadoc begat achim ; and achim begat eliud ;,"b.MAT.1.14 (b.MAT.1.14) and (NULL) azor (azor) begat (mpobubu) sadoc (zadok) ; (,) and (NULL) sadoc (zadok) begat (mpobubu) achim (akhim) ; (,) and (NULL) achim (akhim) begat (mpobubu) eliud (eliud) ; (,) "
b.MAT.1.15 and eliud begat eleazar ; and eleazar begat matthan ; and matthan begat jacob ;,"b.MAT.1.15 (b.MAT.1.15) and (NULL) eliud (eliud) begat (mpobubu) eleazar (eleazar) ; (,) and (NULL) eleazar (eleazar) begat (mpobubu) matthan (matan) ; (,) and (NULL) matthan (matan) begat (mpobubu) jacob (yakub) ; (,) "
"b.MAT.1.16 and jacob begat joseph the husband of mary , of whom was born jesus , who is called christ .","b.MAT.1.16 (b.MAT.1.16) and (NULL) jacob (yakub) begat (mpobubu) joseph (yusuf) the (NULL) husband (tomane) of (NULL) mary (maria) , (NULL) of (NULL) whom (NULL) was (na) born (NULL) jesus (NULL) , (NULL) who (NULL) is (NULL) called (NULL) christ (-) . (.) "
b.MAT.1.17 so all the generations from abraham to david are fourteen generations ; and from david until the carrying away into babylon are fourteen generations ; and from the carrying away into babylon unto christ are fourteen generations .,b.MAT.1.17 (b.MAT.1.17) so (o) all (NULL) the (NULL) generations (hampulu) from (ngkai) abraham (abraham) to (hi) david (daud) are (') fourteen (NULL) generations (hampulu) ; (NULL) and (pai) from (ngkai) david (daud) until (rata) the (NULL) carrying (karatawani) away (NULL) into (hi) babylon (babel) are (') fourteen (NULL) generations (hampulu) ; (NULL) and (pai) from (ngkai) the (NULL) carrying (karatawani) away (NULL) into (hi) babylon (babel) unto (hi) christ (kristus) are (') fourteen (NULL) generations (hampulu) . (.) 
"b.MAT.1.18 now the birth of jesus christ was on this wise : when as his mother mary was espoused to joseph , before they came together , she was found with child of the holy ghost .","b.MAT.1.18 (b.MAT.1.18) now (NULL) the (to) birth (kaputu) of (NULL) jesus (yesus) christ (kristus) was (rahanga) on (NULL) this (toi) wise (NULL) : (.) when (-) as (hewa) his (na) mother (tina) mary (maria) was (rahanga) espoused (mokamae) to (') joseph (yusuf) , (.) before (kako) they (ra) came (muu) together (NULL) , (.) she (maria) was (rahanga) found (potina) with (') child (motina) of (NULL) the (to) holy (') ghost (tomoroli) . (.) "
"b.MAT.1.19 then joseph her husband , being a just man , and not willing to make her a publick example , was minded to put her away privily .","b.MAT.1.19 (b.MAT.1.19) then (NULL) joseph (yusuf) her (NULL) husband (NULL) , (,) being (NULL) a (') just (tauna) man (NULL) , (,) and (pai) not (uma) willing (dota) to (NULL) make (NULL) her (NULL) a (') publick (ntodea) example (kupohu) , (,) was (na) minded (pokamae) to (NULL) put (') her (NULL) away (napohu) privily (bongo) . (.) "
"b.MAT.1.20 but while he thought on these things , behold , the angel of the lord appeared unto him in a dream , saying , joseph , thou son of david , fear not to take unto thee mary thy wife : for that which is conceived in her is of the holy ghost .","b.MAT.1.20 (b.MAT.1.20) but (') while (bula) he (na) thought (mpopekiri) on (') these (toe) things (NULL) , (mo) behold (NULL) , (mo) the (NULL) angel (mala) of (') the (NULL) lord (pue) appeared (NULL) unto (') him (ki) in (') a (hadua) dream (ompo) , (mo) saying (:) , (mo) joseph (yusuf) , (mo) thou (NULL) son (ana) of (') david (daud) , (mo) fear (eka) not (neo) to (NULL) take (') unto (') thee (ko) mary (maria) thy (NULL) wife (mpotobine) : (.) for (apa) that (NULL) which (to) is (NULL) conceived (napotina) in (') her (NULL) is (NULL) of (') the (NULL) holy (') ghost (tomoroli) . (.) "
"b.MAT.1.21 and she shall bring forth a son , and thou shalt call his name jesus : for he shall save his people from their sins .","b.MAT.1.21 (b.MAT.1.21) and (mo) she (toei) shall (kana) bring (mpai) forth (') a (hadua) son (ana) , (,) and (mo) thou (NULL) shalt (mpai) call (nuhanga) his (NULL) name (NULL) jesus (yesus) : (,) for (apa) he (NULL) shall (kana) save (mpohore) his (NULL) people (ntodea) from (ngkai) their (ra) sins (jeko) . (.) "
"b.MAT.1.22 now all this was done , that it might be fulfilled which was spoken of the lord by the prophet , saying ,","b.MAT.1.22 (b.MAT.1.22) now (') all (hawe) this (NULL) was (NULL) done (NULL) , (NULL) that (NULL) it (toe) might (bona) be (NULL) fulfilled (madupa) which (to) was (NULL) spoken (uli) of (') the (mi) lord (pue) by (hante) the (mi) prophet (nabi) , (NULL) saying (:) , (NULL) "
"b.MAT.1.23 behold , a virgin shall be with child , and shall bring forth a son , and they shall call his name emmanuel , which being interpreted is , god with us .","b.MAT.1.23 (b.MAT.1.23) behold (NULL) , (,) a (hadua) virgin (toronaa) shall (mpai) be (NULL) with (') child (motina) , (,) and (NULL) shall (mpai) bring (NULL) forth (') a (hadua) son (ana) , (,) and (NULL) they (NULL) shall (mpai) call (NULL) his (na) name (NULL) emmanuel (imanuel) , (,) which (NULL) being (') interpreted (batua) is (') , (,) god (alata) with (') us (ta) . (.) "
"b.MAT.1.24 then joseph being raised from sleep did as the angel of the lord had bidden him , and took unto him his wife :","b.MAT.1.24 (b.MAT.1.24) then (NULL) joseph (yusuf) being (NULL) raised (NULL) from (NULL) sleep (NULL) did (NULL) as (') the (to) angel (mala) of (NULL) the (to) lord (pue) had (we) bidden (napotobine) him (i) , (NULL) and (') took (NULL) unto (') him (i) his (na) wife (NULL) : (.) "
b.MAT.1.25 and knew her not till she had brought forth her firstborn son : and he called his name jesus .,b.MAT.1.25 (b.MAT.1.25) and (') knew (aga) her (maria) not (NULL) till (ia) she (NULL) had (NULL) brought (hampoturua) forth (') her (maria) firstborn (NULL) son (ana) : (.) and (') he (na) called (mpohanga) his (-) name (NULL) jesus (yesus) . (.) 
"b.MAT.2.1 now when jesus was born in bethlehem of judaea in the days of herod the king , behold , there came wise men from the east to jerusalem ,","b.MAT.2.1 (b.MAT.2.1) now (NULL) when (NULL) jesus (yesus) was (nto) born (putu) in (hi) bethlehem (betlehem) of (') judaea (yudea) in (hi) the (NULL) days (nto) of (') herod (herodes) the (NULL) king (magau) , (,) behold (-) , (,) there (hangkuja) came (rata) wise (nginca) men (tauna) from (ngkai) the (NULL) east (tono) to (hi) jerusalem (yerusalem) , (,) "
