context,targ
"b.MAT.1.1 the book of the generation of jesus christ , the son of david , the son of abraham .","b.MAT.1.1 (b.MAT.1.1) the (NULL) book (NULL) of (ri) the (NULL) generation (NULL) of (ri) jesus (jesús) christ (NULL) , (.) the (NULL) son (NULL) of (ri) david (david) , (.) the (NULL) son (NULL) of (ri) abraham (abraham) . (.) "
b.MAT.1.2 abraham begat isaac ; and isaac begat jacob ; and jacob begat judas and his brethren ;,b.MAT.1.2 (b.MAT.1.2) abraham (abraham) begat (mam) isaac (isaac) ; (.) and (ri) isaac (isaac) begat (mam) jacob (jacob) ; (.) and (ri) jacob (jacob) begat (mam) judas (NULL) and (ri) his (ri) brethren (rachalal) ; (.) 
b.MAT.1.3 and judas begat phares and zara of thamar ; and phares begat esrom ; and esrom begat aram ;,b.MAT.1.3 (b.MAT.1.3) and (ri) judas (tamar) begat (ka) phares (fares) and (ri) zara (zara) of (ri) thamar (NULL) ; (.) and (ri) phares (fares) begat (ka) esrom (NULL) ; (.) and (ri) esrom (NULL) begat (ka) aram (aram) ; (.) 
b.MAT.1.4 and aram begat aminadab ; and aminadab begat naasson ; and naasson begat salmon ;,b.MAT.1.4 (b.MAT.1.4) and (ri) aram (aram) begat (mam) aminadab (aminadab) ; (.) and (ri) aminadab (aminadab) begat (mam) naasson (NULL) ; (.) and (ri) naasson (NULL) begat (mam) salmon (salmón) ; (.) 
b.MAT.1.5 and salmon begat booz of rachab ; and booz begat obed of ruth ; and obed begat jesse ;,b.MAT.1.5 (b.MAT.1.5) and (ri) salmon (salmón) begat (mam) booz (booz) of (mam) rachab (NULL) ; (.) and (ri) booz (booz) begat (mam) obed (NULL) of (mam) ruth (rut) ; (.) and (ri) obed (NULL) begat (mam) jesse (isaí) ; (.) 
b.MAT.1.6 and jesse begat david the king ; and david the king begat solomon of her that had been the wife of urias ;,b.MAT.1.6 (b.MAT.1.6) and (ri) jesse (isaí) begat (mam) david (david) the (ri) king (takanel) ; (.) and (ri) david (david) the (ri) king (takanel) begat (mam) solomon (salomón) of (ri) her (chichuˈ) that (ri) had (NULL) been (NULL) the (ri) wife (xrixokilaj) of (ri) urias (urías) ; (.) 
b.MAT.1.7 and solomon begat roboam ; and roboam begat abia ; and abia begat asa ;,b.MAT.1.7 (b.MAT.1.7) and (ri) solomon (salomón) begat (ka) roboam (roboam) ; (.) and (ri) roboam (roboam) begat (ka) abia (NULL) ; (.) and (ri) abia (NULL) begat (ka) asa (asa) ; (.) 
b.MAT.1.8 and asa begat josaphat ; and josaphat begat joram ; and joram begat ozias ;,b.MAT.1.8 (b.MAT.1.8) and (ri) asa (asa) begat (mam) josaphat (josafat) ; (.) and (ri) josaphat (josafat) begat (mam) joram (NULL) ; (.) and (ri) joram (NULL) begat (mam) ozias (uzías) ; (.) 
b.MAT.1.9 and ozias begat joatham ; and joatham begat achaz ; and achaz begat ezekias ;,b.MAT.1.9 (b.MAT.1.9) and (ri) ozias (uzías) begat (mam) joatham (jotam) ; (.) and (ri) joatham (jotam) begat (mam) achaz (NULL) ; (.) and (ri) achaz (NULL) begat (mam) ezekias (ezequías) ; (.) 
b.MAT.1.10 and ezekias begat manasses ; and manasses begat amon ; and amon begat josias ;,b.MAT.1.10 (b.MAT.1.10) and (ri) ezekias (ezequías) begat (mam) manasses (manasés) ; (.) and (ri) manasses (manasés) begat (mam) amon (NULL) ; (.) and (ri) amon (NULL) begat (mam) josias (josías) ; (.) 
