context,targ
"b.MAT.1.1 the book of the generation of jesus christ , the son of david , the son of abraham .","b.MAT.1.1 (b.MAT.1.1) the (NULL) book (quillca) of (NULL) the (NULL) generation (NULL) of (NULL) jesus (jesucristo) christ (NULL) , (NULL) the (NULL) son (NULL) of (NULL) david (david) , (NULL) the (NULL) son (NULL) of (NULL) abraham (abrahanmanda) . (.) "
b.MAT.1.2 abraham begat isaac ; and isaac begat jacob ; and jacob begat judas and his brethren ;,"b.MAT.1.2 (b.MAT.1.2) abraham (abrahamba) begat (churi) isaac (isac) ; (,) and (NULL) isaac (isac) begat (churi) jacob (jacob) ; (,) and (NULL) jacob (jacob) begat (churi) judas (judá) and (NULL) his (paihua) brethren (uquiunandi) ; (,) "
b.MAT.1.3 and judas begat phares and zara of thamar ; and phares begat esrom ; and esrom begat aram ;,"b.MAT.1.3 (b.MAT.1.3) and (NULL) judas (judá) begat (aca) phares (zarandi) and (NULL) zara (fares) of (,) thamar (tamarmanda) ; (,) and (NULL) phares (zarandi) begat (aca) esrom (esrom) ; (,) and (NULL) esrom (esrom) begat (aca) aram (aram) ; (,) "
b.MAT.1.4 and aram begat aminadab ; and aminadab begat naasson ; and naasson begat salmon ;,"b.MAT.1.4 (b.MAT.1.4) and (NULL) aram (aramba) begat (churi) aminadab (aminadab) ; (,) and (NULL) aminadab (aminadab) begat (churi) naasson (naason) ; (,) and (NULL) naasson (naason) begat (churi) salmon (salmón) ; (,) "
b.MAT.1.5 and salmon begat booz of rachab ; and booz begat obed of ruth ; and obed begat jesse ;,"b.MAT.1.5 (b.MAT.1.5) and (NULL) salmon (salmomba) begat (churi) booz (booz) of (,) rachab (rahabmanda) ; (,) and (NULL) booz (booz) begat (churi) obed (obed) of (,) ruth (rutmanda) ; (,) and (NULL) obed (obed) begat (churi) jesse (isai) ; (,) "
b.MAT.1.6 and jesse begat david the king ; and david the king begat solomon of her that had been the wife of urias ;,"b.MAT.1.6 (b.MAT.1.6) and (NULL) jesse (isaihua) begat (churi) david (david) the (NULL) king (rey) ; (,) and (NULL) david (david) the (NULL) king (rey) begat (churi) solomon (salomón) of (NULL) her (NULL) that (NULL) had (aca) been (NULL) the (NULL) wife (uriaspa) of (NULL) urias (huarmimanda) ; (,) "
b.MAT.1.7 and solomon begat roboam ; and roboam begat abia ; and abia begat asa ;,"b.MAT.1.7 (b.MAT.1.7) and (NULL) solomon (salomomba) begat (churi) roboam (roboam) ; (,) and (NULL) roboam (roboam) begat (churi) abia (abías) ; (,) and (NULL) abia (abías) begat (churi) asa (asa) ; (,) "
b.MAT.1.8 and asa begat josaphat ; and josaphat begat joram ; and joram begat ozias ;,"b.MAT.1.8 (b.MAT.1.8) and (NULL) asa (asajpa) begat (churi) josaphat (josafat) ; (,) and (NULL) josaphat (josafat) begat (churi) joram (joram) ; (,) and (NULL) joram (joram) begat (churi) ozias (joramba) ; (,) "
b.MAT.1.9 and ozias begat joatham ; and joatham begat achaz ; and achaz begat ezekias ;,"b.MAT.1.9 (b.MAT.1.9) and (NULL) ozias (uzíaspa) begat (churi) joatham (jotam) ; (,) and (NULL) joatham (jotam) begat (churi) achaz (acaz) ; (,) and (NULL) achaz (acaz) begat (churi) ezekias (ezequías) ; (,) "
b.MAT.1.10 and ezekias begat manasses ; and manasses begat amon ; and amon begat josias ;,"b.MAT.1.10 (b.MAT.1.10) and (NULL) ezekias (ezequíaspa) begat (churi) manasses (manases) ; (,) and (NULL) manasses (manases) begat (churi) amon (amón) ; (,) and (NULL) amon (amón) begat (churi) josias (amomba) ; (,) "
