context,targ
"b.MAT.1.1 the book of the generation of jesus christ , the son of david , the son of abraham .","b.MAT.1.1 (b.MAT.1.1) the (NULL) book (NULL) of (NULL) the (NULL) generation (vitsa) of (NULL) jesus (jesus) christ (kristoski) , (,) the (NULL) son (NULL) of (NULL) david (david) , (,) the (NULL) son (NULL) of (NULL) abraham (abraham) . (.) "
b.MAT.1.2 abraham begat isaac ; and isaac begat jacob ; and jacob begat judas and his brethren ;,b.MAT.1.2 (b.MAT.1.2) abraham (abraham) begat (dat) isaac (isaakosko) ; (;) and (NULL) isaac (isaakosko) begat (dat) jacob (jakovosko) ; (;) and (NULL) jacob (jakovosko) begat (dat) judas (judasko) and (NULL) his (leske) brethren (phralengo) ; (;) 
b.MAT.1.3 and judas begat phares and zara of thamar ; and phares begat esrom ; and esrom begat aram ;,b.MAT.1.3 (b.MAT.1.3) and (o) judas (judah) begat (dat) phares (pharesko) and (o) zara (zarahosko) of (NULL) thamar (thamar) ; (;) and (o) phares (pharesko) begat (dat) esrom (esromosko) ; (;) and (o) esrom (esromosko) begat (dat) aram (aramosko) ; (;) 
b.MAT.1.4 and aram begat aminadab ; and aminadab begat naasson ; and naasson begat salmon ;,b.MAT.1.4 (b.MAT.1.4) and (o) aram (aram) begat (dat) aminadab (aminadabosko) ; (;) and (o) aminadab (aminadabosko) begat (dat) naasson (naassonosko) ; (;) and (o) naasson (naassonosko) begat (dat) salmon (salmonosko) ; (;) 
b.MAT.1.5 and salmon begat booz of rachab ; and booz begat obed of ruth ; and obed begat jesse ;,b.MAT.1.5 (b.MAT.1.5) and (o) salmon (salmon) begat (dat) booz (boazosko) of (NULL) rachab (rachab) ; (;) and (o) booz (boazosko) begat (dat) obed (obedosko) of (NULL) ruth (ruth) ; (;) and (o) obed (obedosko) begat (dat) jesse (jessesko) ; (;) 
b.MAT.1.6 and jesse begat david the king ; and david the king begat solomon of her that had been the wife of urias ;,"b.MAT.1.6 (b.MAT.1.6) and (NULL) jesse (jesse) begat (dat) david (davidosko) the (o) king (amperato) ; (,) and (NULL) david (davidosko) the (o) king (amperato) begat (dat) solomon (NULL) of (NULL) her (NULL) that (NULL) had (NULL) been (NULL) the (o) wife (NULL) of (NULL) urias (NULL) ; (,) "
b.MAT.1.7 and solomon begat roboam ; and roboam begat abia ; and abia begat asa ;,b.MAT.1.7 (b.MAT.1.7) and (o) solomon (solomon) begat (dat) roboam (roboamosko) ; (;) and (o) roboam (roboamosko) begat (dat) abia (abiahosko) ; (;) and (o) abia (abiahosko) begat (dat) asa (asahosko) ; (;) 
b.MAT.1.8 and asa begat josaphat ; and josaphat begat joram ; and joram begat ozias ;,b.MAT.1.8 (b.MAT.1.8) and (o) asa (asa) begat (dat) josaphat (josaphatosko) ; (;) and (o) josaphat (josaphatosko) begat (dat) joram (joramosko) ; (;) and (o) joram (joramosko) begat (dat) ozias (oziasosko) ; (;) 
b.MAT.1.9 and ozias begat joatham ; and joatham begat achaz ; and achaz begat ezekias ;,b.MAT.1.9 (b.MAT.1.9) and (o) ozias (ozias) begat (dat) joatham (joathamosko) ; (;) and (o) joatham (joathamosko) begat (dat) achaz (achazosko) ; (;) and (o) achaz (achazosko) begat (dat) ezekias (ezekiasko) ; (;) 
b.MAT.1.10 and ezekias begat manasses ; and manasses begat amon ; and amon begat josias ;,b.MAT.1.10 (b.MAT.1.10) and (o) ezekias (ezekias) begat (dat) manasses (manassesko) ; (;) and (o) manasses (manassesko) begat (dat) amon (amonosko) ; (;) and (o) amon (amonosko) begat (dat) josias (josiasko) ; (;) 
