context,targ
"b.MAT.1.1 the book of the generation of jesus christ , the son of david , the son of abraham .","b.MAT.1.1 (b.MAT.1.1) the (NULL) book (NULL) of (NULL) the (NULL) generation (NULL) of (NULL) jesus (yesu) christ (kristo) , (:) the (NULL) son (mzawa) of (NULL) david (daudi) , (:) the (NULL) son (mzawa) of (NULL) abraham (abrahamu) . (.) "
b.MAT.1.2 abraham begat isaac ; and isaac begat jacob ; and jacob begat judas and his brethren ;,"b.MAT.1.2 (b.MAT.1.2) abraham (abrahamu) begat (alimzaa) isaac (isaka) ; (,) and (NULL) isaac (isaka) begat (alimzaa) jacob (yakobo) ; (,) and (NULL) jacob (yakobo) begat (alimzaa) judas (yuda) and (NULL) his (zake) brethren (ndugu) ; (,) "
b.MAT.1.3 and judas begat phares and zara of thamar ; and phares begat esrom ; and esrom begat aram ;,"b.MAT.1.3 (b.MAT.1.3) and (NULL) judas (yuda) begat (alimzaa) phares (faresi) and (NULL) zara (zera) of (NULL) thamar (tamari) ; (,) and (NULL) phares (faresi) begat (alimzaa) esrom (hesroni) ; (,) and (NULL) esrom (hesroni) begat (alimzaa) aram (rami) ; (,) "
b.MAT.1.4 and aram begat aminadab ; and aminadab begat naasson ; and naasson begat salmon ;,"b.MAT.1.4 (b.MAT.1.4) and (NULL) aram (rami) begat (alimzaa) aminadab (aminadabu) ; (,) and (NULL) aminadab (aminadabu) begat (alimzaa) naasson (nashoni) ; (,) and (NULL) naasson (nashoni) begat (alimzaa) salmon (salmoni) ; (,) "
b.MAT.1.5 and salmon begat booz of rachab ; and booz begat obed of ruth ; and obed begat jesse ;,b.MAT.1.5 (b.MAT.1.5) and (NULL) salmon (salmoni) begat (alimzaa) booz (boazi) of (NULL) rachab (yake) ; (.) and (NULL) booz (boazi) begat (alimzaa) obed (ruthi) of (NULL) ruth (wazazi) ; (.) and (NULL) obed (ruthi) begat (alimzaa) jesse (yese) ; (.) 
b.MAT.1.6 and jesse begat david the king ; and david the king begat solomon of her that had been the wife of urias ;,b.MAT.1.6 (b.MAT.1.6) and (NULL) jesse (yese) begat (alimzaa) david (daudi) the (NULL) king (mfalme) ; (.) and (NULL) david (daudi) the (NULL) king (mfalme) begat (alimzaa) solomon (solomoni) of (NULL) her (mama) that (NULL) had (alikuwa) been (solomoni) the (NULL) wife (mke) of (NULL) urias (uria) ; (.) 
b.MAT.1.7 and solomon begat roboam ; and roboam begat abia ; and abia begat asa ;,"b.MAT.1.7 (b.MAT.1.7) and (NULL) solomon (solomoni) begat (alimzaa) roboam (rehoboamu) ; (,) and (NULL) roboam (rehoboamu) begat (alimzaa) abia (abiya) ; (,) and (NULL) abia (abiya) begat (alimzaa) asa (asa) ; (,) "
b.MAT.1.8 and asa begat josaphat ; and josaphat begat joram ; and joram begat ozias ;,"b.MAT.1.8 (b.MAT.1.8) and (NULL) asa (asa) begat (alimzaa) josaphat (yehoshafati) ; (,) and (NULL) josaphat (yehoshafati) begat (alimzaa) joram (yoramu) ; (,) and (NULL) joram (yoramu) begat (alimzaa) ozias (uzia) ; (,) "
b.MAT.1.9 and ozias begat joatham ; and joatham begat achaz ; and achaz begat ezekias ;,"b.MAT.1.9 (b.MAT.1.9) and (NULL) ozias (uzia) begat (alimzaa) joatham (yothamu) ; (,) and (NULL) joatham (yothamu) begat (alimzaa) achaz (ahazi) ; (,) and (NULL) achaz (ahazi) begat (alimzaa) ezekias (hezekia) ; (,) "
b.MAT.1.10 and ezekias begat manasses ; and manasses begat amon ; and amon begat josias ;,"b.MAT.1.10 (b.MAT.1.10) and (NULL) ezekias (hezekia) begat (alimzaa) manasses (manase) ; (,) and (NULL) manasses (manase) begat (alimzaa) amon (amoni) ; (,) and (NULL) amon (amoni) begat (alimzaa) josias (yosia) ; (,) "
"b.MAT.1.11 and josias begat jechonias and his brethren , about the time they were carried away to babylon :","b.MAT.1.11 (b.MAT.1.11) and (NULL) josias (yosia) begat (alimzaa) jechonias (yekonia) and (NULL) his (zake) brethren (ndugu) , (.) about (NULL) the (NULL) time (wakati) they (NULL) were (walipopelekwa) carried (uhamishoni) away (NULL) to (NULL) babylon (babuloni) : (.) "
"b.MAT.1.12 and after they were brought to babylon , jechonias begat salathiel ; and salathiel begat zorobabel ;","b.MAT.1.12 (b.MAT.1.12) and (NULL) after (baada) they (NULL) were (uhamishomi) brought (kupelekwa) to (NULL) babylon (babuloni) , (:) jechonias (yekonia) begat (alimzaa) salathiel (shealtieli) ; (,) and (NULL) salathiel (shealtieli) begat (alimzaa) zorobabel (zerobabeli) ; (,) "
b.MAT.1.13 and zorobabel begat abiud ; and abiud begat eliakim ; and eliakim begat azor ;,"b.MAT.1.13 (b.MAT.1.13) and (NULL) zorobabel (zerobabeli) begat (alimzaa) abiud (abiudi) ; (,) and (NULL) abiud (abiudi) begat (alimzaa) eliakim (eliakimu) ; (,) and (NULL) eliakim (eliakimu) begat (alimzaa) azor (azori) ; (,) "
