context,targ
"b.GEN.1.2 and the earth was without form , and void ; and darkness was upon the face of the deep . and the spirit of god moved upon the face of the waters .","b.GEN.1.2 (b.GEN.1.2) and (NULL) the (am) earth (adal) was (iga) without (illa) form (əlsan) , (,) and (NULL) void (igət) ; (,) and (NULL) darkness (šiyyay) was (iga) upon (fəl) the (am) face (an) of (n) the (am) deep (an) . (,) and (NULL) the (am) spirit (fas) of (n) god (məššina) moved (ollay) upon (fəl) the (am) face (an) of (n) the (am) waters (am) . (,) "
"b.GEN.1.3 and god said , let there be light : and there was light .","b.GEN.1.3 (b.GEN.1.3) and (NULL) god (məššina) said («) , (:) let (̣) there (NULL) be (̣) light (ur) : (NULL) and (NULL) there (NULL) was (NULL) light (ur) . (») "
"b.GEN.1.4 and god saw the light , that it was good : and god divided the light from the darkness .","b.GEN.1.4 (b.GEN.1.4) and (NULL) god (məššina) saw (inay) the (im) light (ur) , (NULL) that (as) it (̣) was (os) good (olaɣan) : (,) and (NULL) god (məššina) divided (izammazzay) the (im) light (ur) from (NULL) the (im) darkness (šiyyay) . (.) "
"b.GEN.1.5 and god called the light day , and the darkness he called night . and the evening and the morning were the first day .","b.GEN.1.5 (b.GEN.1.5) and (NULL) god (məššina) called (əm) the (y) light (ur) day (ezal) , (NULL) and (NULL) the (y) darkness (šiyyay) he (ig) called (əm) night (ehad) . (,) and (NULL) the (y) evening (ahad) and (NULL) the (y) morning (tifawt) were (,) the (y) first (azzaran) day (ezal) . (,) "
"b.GEN.1.6 and god said , let there be a firmament in the midst of the waters , and let it divide the waters from the waters .","b.GEN.1.6 (b.GEN.1.6) and (NULL) god (məššina) said («) , (:) let (NULL) there (NULL) be (z) a (NULL) firmament (aɣarɣar) in (NULL) the (NULL) midst (iməlet) of (NULL) the (NULL) waters (NULL) , (:) and (NULL) let (NULL) it (tu) divide (NULL) the (NULL) waters (NULL) from (izəmməzzəyan) the (NULL) waters (NULL) . (.) "
"b.GEN.1.7 and god made the firmament , and divided the waters which were under the firmament from the waters which were above the firmament : and it was so .","b.GEN.1.7 (b.GEN.1.7) and (təzzar) god (məššina) made (iga) the (NULL) firmament (aɣarɣar) , (NULL) and (təzzar) divided (izammazzay) the (NULL) waters (an) which (win) were (əllanen) under (daw) the (NULL) firmament (aɣarɣar) from (NULL) the (NULL) waters (an) which (win) were (əllanen) above (afalla) the (NULL) firmament (aɣarɣar) : (.) and (təzzar) it (NULL) was (wen) so (da) . (.) "
b.GEN.1.8 and god called the firmament heaven . and the evening and the morning were the second day .,"b.GEN.1.8 (b.GEN.1.8) and (NULL) god (məššina) called (es) the (NULL) firmament (aɣarɣar) heaven (ijənnawan) . (.) and (NULL) the (NULL) evening (ahad) and (NULL) the (NULL) morning (tifawt) were (,) the (NULL) second (əššin) day (əzəl) . (.) "
"b.GEN.1.9 and god said , let the waters under the heaven be gathered together unto one place , and let the dry land appear : and it was so .","b.GEN.1.9 (b.GEN.1.9) and (NULL) god (məššina) said («) , (:) let (NULL) the (am) waters (an) under (daw) the (am) heaven (jənnawan) be (NULL) gathered (iddawanet) together (NULL) unto (əggəzan) one (iyyanda) place (edagg) , (:) and (NULL) let (NULL) the (am) dry (iqquran) land (NULL) appear (inəfiləl) : (NULL) and (NULL) it (NULL) was (iga) so (da) . (») "
b.GEN.1.10 and god called the dry land earth ; and the gathering together of the waters called he seas : and god saw that it was good .,"b.GEN.1.10 (b.GEN.1.10) and (̣) god (məššina) called (es) the (am) dry (iqquran) land (NULL) earth (adal) ; (,) and (̣) the (am) gathering (adag) together (əddewan) of (NULL) the (am) waters (an) called (es) he (iga) seas (igərwan) : (.) and (̣) god (məššina) saw (inay) that (arat) it (as) was (NULL) good (olaɣ) . (.) "
"b.GEN.1.11 and god said , let the earth bring forth grass , the herb yielding seed , and the fruit tree yielding fruit after his kind , whose seed is in itself , upon the earth : and it was so .","b.GEN.1.11 (b.GEN.1.11) and (təzzar) god (NULL) said («) , (:) let (̣) the (NULL) earth (adal) bring (am) forth (NULL) grass (taddalət) , (:) the (NULL) herb (yel) yielding (ilan) seed (NULL) , (:) and (təzzar) the (NULL) fruit (aratan) tree (eškan) yielding (ilan) fruit (aratan) after (rawan) his (təwəret) kind (NULL) , (:) whose (təgat) seed (NULL) is (NULL) in (NULL) itself (asa) , (:) upon (NULL) the (NULL) earth (adal) : (NULL) and (təzzar) it (NULL) was (wen) so (da) . (») "
"b.GEN.1.12 and the earth brought forth grass , and herb yielding seed after his kind , and the tree yielding fruit , whose seed was in itself , after his kind : and god saw that it was good .","b.GEN.1.12 (b.GEN.1.12) and (̣) the (am) earth (adal) brought (du) forth (NULL) grass (taddalət) , (NULL) and (̣) herb (yel) yielding (ilan) seed (asa) after (NULL) his (iyyan) kind (NULL) , (NULL) and (̣) the (am) tree (eškan) yielding (ilan) fruit (ətarawnen) , (NULL) whose (təgat) seed (asa) was (NULL) in (daɣ) itself (asa) , (NULL) after (NULL) his (iyyan) kind (NULL) : (.) and (̣) god (məššina) saw (inay) that (wa) it (as) was (NULL) good (olaɣ) . (.) "
b.GEN.1.13 and the evening and the morning were the third day .,"b.GEN.1.13 (b.GEN.1.13) and (NULL) the (ig) evening (ahad) and (NULL) the (ig) morning (tifawt) were (,) the (ig) third (karad) day (əzəl) . (.) "
"b.GEN.1.14 and god said , let there be lights in the firmament of the heaven to divide the day from the night ; and let them be for signs , and for seasons , and for days , and years :","b.GEN.1.14 (b.GEN.1.14) and (NULL) god (məššina) said («) , (:) let (NULL) there (əməlanet) be (̣) lights (uran) in (daɣ) the (NULL) firmament (az) of (ən) the (NULL) heaven (jənnawan) to (-) divide (zəmməzzinen) the (NULL) day (azal) from (d) the (NULL) night (ehad) ; (,) and (NULL) let (NULL) them (izləyan) be (̣) for (NULL) signs (NULL) , (:) and (NULL) for (NULL) seasons (šimeren) , (:) and (NULL) for (NULL) days (an) , (:) and (NULL) years (elan) : (.) "
b.GEN.1.15 and let them be for lights in the firmament of the heaven to give light upon the earth : and it was so .,b.GEN.1.15 (b.GEN.1.15) and (NULL) let (əqqəlanet) them (NULL) be (z) for (NULL) lights (uran) in (daɣ) the (NULL) firmament (az) of (NULL) the (NULL) heaven (jənnawan) to (-) give (NULL) light (NULL) upon (əsəmmələwləwnen) the (NULL) earth (adal) : (.) and (NULL) it (NULL) was (iga) so (NULL) . (.) 
"b.GEN.1.16 and god made two great lights ; the greater light to rule the day , and the lesser light to rule the night : he made the stars also .","b.GEN.1.16 (b.GEN.1.16) and (NULL) god (məššina) made (iga) two (əššin) great (zawwarnen) lights (uran) ; (.) the (ən) greater (NULL) light (NULL) to (ad) rule (isəmmələwləw) the (ən) day (ezal) , (,) and (NULL) the (ən) lesser (ogaran) light (NULL) to (ad) rule (isəmmələwləw) the (ən) night (ehad) : (.) he (iga) made (iga) the (ən) stars (ran) also (da) . (.) "
