context,targ
"b.MAT.1.1 the book of the generation of jesus christ , the son of david , the son of abraham .","b.MAT.1.1 (b.MAT.1.1) the (ri) book (jbˈijak) of (NULL) the (ri) generation (jmam) of (NULL) jesus (NULL) christ (jesucristo) , (NULL) the (ri) son (NULL) of (NULL) david (david) , (NULL) the (ri) son (NULL) of (NULL) abraham (abraham) . (.) "
b.MAT.1.2 abraham begat isaac ; and isaac begat jacob ; and jacob begat judas and his brethren ;,"b.MAT.1.2 (b.MAT.1.2) abraham (abraham) begat (jkaj) isaac (isaac) ; (,) and (NULL) isaac (isaac) begat (jkaj) jacob (jacob) ; (,) and (NULL) jacob (jacob) begat (jkaj) judas (judá) and (NULL) his (jkˈun) brethren (ratz) ; (,) "
b.MAT.1.3 and judas begat phares and zara of thamar ; and phares begat esrom ; and esrom begat aram ;,b.MAT.1.3 (b.MAT.1.3) and (NULL) judas (judá) begat (jkajak) phares (fares) and (NULL) zara (zara) of (NULL) thamar (tamar) ; (.) and (NULL) phares (fares) begat (jkajak) esrom (esrom) ; (.) and (NULL) esrom (esrom) begat (jkajak) aram (aram) ; (.) 
b.MAT.1.4 and aram begat aminadab ; and aminadab begat naasson ; and naasson begat salmon ;,"b.MAT.1.4 (b.MAT.1.4) and (NULL) aram (aram) begat (jkaj) aminadab (aminadab) ; (,) and (NULL) aminadab (aminadab) begat (jkaj) naasson (naasón) ; (,) and (NULL) naasson (naasón) begat (jkaj) salmon (salmón) ; (,) "
b.MAT.1.5 and salmon begat booz of rachab ; and booz begat obed of ruth ; and obed begat jesse ;,"b.MAT.1.5 (b.MAT.1.5) and (NULL) salmon (salmón) begat (jkaj) booz (booz) of (NULL) rachab (rahab) ; (,) and (NULL) booz (booz) begat (jkaj) obed (obed) of (NULL) ruth (rut) ; (,) and (NULL) obed (obed) begat (jkaj) jesse (isaí) ; (,) "
b.MAT.1.6 and jesse begat david the king ; and david the king begat solomon of her that had been the wife of urias ;,"b.MAT.1.6 (b.MAT.1.6) and (NULL) jesse (isaí) begat (jkaj) david (david) the (NULL) king (rey) ; (,) and (NULL) david (david) the (NULL) king (rey) begat (jkaj) solomon (salomón) of (NULL) her (anm) that (pire) had (NULL) been (NULL) the (NULL) wife (rixokl) of (NULL) urias (urías) ; (,) "
b.MAT.1.7 and solomon begat roboam ; and roboam begat abia ; and abia begat asa ;,"b.MAT.1.7 (b.MAT.1.7) and (NULL) solomon (salomón) begat (jkaj) roboam (roboam) ; (,) and (NULL) roboam (roboam) begat (jkaj) abia (abías) ; (,) and (NULL) abia (abías) begat (jkaj) asa (asa) ; (,) "
b.MAT.1.8 and asa begat josaphat ; and josaphat begat joram ; and joram begat ozias ;,"b.MAT.1.8 (b.MAT.1.8) and (NULL) asa (asa) begat (jkaj) josaphat (josafat) ; (,) and (NULL) josaphat (josafat) begat (jkaj) joram (joram) ; (,) and (NULL) joram (joram) begat (jkaj) ozias (uzías) ; (,) "
b.MAT.1.9 and ozias begat joatham ; and joatham begat achaz ; and achaz begat ezekias ;,"b.MAT.1.9 (b.MAT.1.9) and (NULL) ozias (uzías) begat (jkaj) joatham (jotam) ; (,) and (NULL) joatham (jotam) begat (jkaj) achaz (acaz) ; (,) and (NULL) achaz (acaz) begat (jkaj) ezekias (ezequías) ; (,) "
b.MAT.1.10 and ezekias begat manasses ; and manasses begat amon ; and amon begat josias ;,"b.MAT.1.10 (b.MAT.1.10) and (NULL) ezekias (ezequías) begat (jkaj) manasses (manasés) ; (,) and (NULL) manasses (manasés) begat (jkaj) amon (amón) ; (,) and (NULL) amon (amón) begat (jkaj) josias (josías) ; (,) "
