context,targ
"b.MAT.1.1 the book of the generation of jesus christ , the son of david , the son of abraham .","b.MAT.1.1 (b.MAT.1.1) the (NULL) book (maxaafaa) of (NULL) the (NULL) generation (yeletaa) of (NULL) jesus (yesuus) christ (kiristtoosa) , (NULL) the (NULL) son (NULL) of (NULL) david (daawita) , (NULL) the (NULL) son (NULL) of (NULL) abraham (abrahaama) . (.) "
b.MAT.1.2 abraham begat isaac ; and isaac begat jacob ; and jacob begat judas and his brethren ;,b.MAT.1.2 (b.MAT.1.2) abraham (abrahaami) begat (yeliis) isaac (yisaaqa) ; (;) and (NULL) isaac (yisaaqa) begat (yeliis) jacob (yaaqooba) ; (;) and (NULL) jacob (yaaqooba) begat (yeliis) judas (yihudaanne) and (NULL) his (a) brethren (ishantta) ; (;) 
b.MAT.1.3 and judas begat phares and zara of thamar ; and phares begat esrom ; and esrom begat aram ;,b.MAT.1.3 (b.MAT.1.3) and (NULL) judas (yihudai) begat (NULL) phares (ti7imaaro) and (NULL) zara (zaraaha) of (NULL) thamar (maccaaseeppe) ; (;) and (NULL) phares (ti7imaaro) begat (NULL) esrom (hexiroona) ; (;) and (NULL) esrom (hexiroona) begat (NULL) aram (raama) ; (;) 
b.MAT.1.4 and aram begat aminadab ; and aminadab begat naasson ; and naasson begat salmon ;,b.MAT.1.4 (b.MAT.1.4) and (NULL) aram (raami) begat (yeliis) aminadab (aminadaaba) ; (;) and (NULL) aminadab (aminadaaba) begat (yeliis) naasson (na7asoona) ; (;) and (NULL) naasson (na7asoona) begat (yeliis) salmon (na7asooni) ; (;) 
b.MAT.1.5 and salmon begat booz of rachab ; and booz begat obed of ruth ; and obed begat jesse ;,b.MAT.1.5 (b.MAT.1.5) and (NULL) salmon (ra7aabo) begat (yeliis) booz (boo7eeza) of (NULL) rachab (maccaaseeppe) ; (;) and (NULL) booz (boo7eeza) begat (yeliis) obed (yobeeda) of (NULL) ruth (maccaaseeppe) ; (;) and (NULL) obed (yobeeda) begat (yeliis) jesse (isseya) ; (;) 
b.MAT.1.6 and jesse begat david the king ; and david the king begat solomon of her that had been the wife of urias ;,b.MAT.1.6 (b.MAT.1.6) and (NULL) jesse (isseyi) begat (yeliis) david (daawita) the (NULL) king (kawuwaa) ; (.) and (NULL) david (daawita) the (NULL) king (kawuwaa) begat (yeliis) solomon (solomona) of (NULL) her (NULL) that (NULL) had (NULL) been (NULL) the (NULL) wife (machchiyo) of (NULL) urias (ooriyoona) ; (.) 
b.MAT.1.7 and solomon begat roboam ; and roboam begat abia ; and abia begat asa ;,b.MAT.1.7 (b.MAT.1.7) and (NULL) solomon (solomoni) begat (yeliis) roboam (robi7aama) ; (;) and (NULL) roboam (robi7aama) begat (yeliis) abia (abiiya) ; (;) and (NULL) abia (abiiya) begat (yeliis) asa (asaafa) ; (;) 
b.MAT.1.8 and asa begat josaphat ; and josaphat begat joram ; and joram begat ozias ;,b.MAT.1.8 (b.MAT.1.8) and (NULL) asa (asaafi) begat (yeliis) josaphat (yoosaafixa) ; (;) and (NULL) josaphat (yoosaafixa) begat (yeliis) joram (yoraama) ; (;) and (NULL) joram (yoraama) begat (yeliis) ozias (NULL) ; (;) 
b.MAT.1.9 and ozias begat joatham ; and joatham begat achaz ; and achaz begat ezekias ;,b.MAT.1.9 (b.MAT.1.9) and (NULL) ozias (ooziyaani) begat (yeliis) joatham (yo7aataama) ; (;) and (NULL) joatham (yo7aataama) begat (yeliis) achaz (akaaza) ; (;) and (NULL) achaz (akaaza) begat (yeliis) ezekias (hizqqiyaasa) ; (;) 
b.MAT.1.10 and ezekias begat manasses ; and manasses begat amon ; and amon begat josias ;,b.MAT.1.10 (b.MAT.1.10) and (NULL) ezekias (hizqqiyaasi) begat (yeliis) manasses (minaasa) ; (;) and (NULL) manasses (minaasa) begat (yeliis) amon (amoona) ; (;) and (NULL) amon (amoona) begat (yeliis) josias (yoosiyaasa) ; (;) 
"b.MAT.1.11 and josias begat jechonias and his brethren , about the time they were carried away to babylon :","b.MAT.1.11 (b.MAT.1.11) and (NULL) josias (NULL) begat (yeliis) jechonias (yo7aakiinanne) and (NULL) his (a) brethren (ishantta) , (,) about (NULL) the (NULL) time (NULL) they (NULL) were (,) carried (NULL) away (wode) to (NULL) babylon (baabiloone) : (.) "
"b.MAT.1.12 and after they were brought to babylon , jechonias begat salathiel ; and salathiel begat zorobabel ;","b.MAT.1.12 (b.MAT.1.12) and (NULL) after (guyyiyan) they (NULL) were (asai) brought (omoodetti) to (NULL) babylon (baabiloone) , (,) jechonias (yo7aakiini) begat (yeliis) salathiel (salaatiyaala) ; (;) and (NULL) salathiel (salaatiyaala) begat (yeliis) zorobabel (zarubaabeela) ; (;) "
b.MAT.1.13 and zorobabel begat abiud ; and abiud begat eliakim ; and eliakim begat azor ;,b.MAT.1.13 (b.MAT.1.13) and (NULL) zorobabel (zarubaabeeli) begat (yeliis) abiud (abiyuuda) ; (;) and (NULL) abiud (abiyuuda) begat (yeliis) eliakim (eliyaaqiima) ; (;) and (NULL) eliakim (eliyaaqiima) begat (yeliis) azor (azoora) ; (;) 
b.MAT.1.14 and azor begat sadoc ; and sadoc begat achim ; and achim begat eliud ;,b.MAT.1.14 (b.MAT.1.14) and (NULL) azor (azoori) begat (yeliis) sadoc (xaadooqa) ; (;) and (NULL) sadoc (xaadooqa) begat (yeliis) achim (akiima) ; (;) and (NULL) achim (akiima) begat (yeliis) eliud (NULL) ; (;) 
b.MAT.1.15 and eliud begat eleazar ; and eleazar begat matthan ; and matthan begat jacob ;,b.MAT.1.15 (b.MAT.1.15) and (NULL) eliud (eliyuudi) begat (yeliis) eleazar (el77aazara) ; (;) and (NULL) eleazar (el77aazara) begat (yeliis) matthan (maataana) ; (;) and (NULL) matthan (maataana) begat (yeliis) jacob (yaaqooba) ; (;) 
"b.MAT.1.16 and jacob begat joseph the husband of mary , of whom was born jesus , who is called christ .","b.MAT.1.16 (b.MAT.1.16) and (NULL) jacob (yaaqoobi) begat (yeliis) joseph (yooseefa) the (NULL) husband (azinaa) of (NULL) mary (mairaami) , (NULL) of (NULL) whom (NULL) was (NULL) born (NULL) jesus (yesuusa) , (NULL) who (yelida) is (NULL) called (giyo) christ (kiristtoosa) . (.) "
b.MAT.1.17 so all the generations from abraham to david are fourteen generations ; and from david until the carrying away into babylon are fourteen generations ; and from the carrying away into babylon unto christ are fourteen generations .,"b.MAT.1.17 (b.MAT.1.17) so (hegaa) all (ubbai) the (NULL) generations (daawitappe) from (NULL) abraham (abrahaamappe) to (NULL) david (daawita) are (NULL) fourteen (tammanne) generations (daawitappe) ; (;) and (NULL) from (NULL) david (daawita) until (gakkanaassi) the (NULL) carrying (omoodettidi) away (wode) into (biitti) babylon (baabiloone) are (NULL) fourteen (tammanne) generations (daawitappe) ; (;) and (NULL) from (NULL) the (NULL) carrying (omoodettidi) away (wode) into (biitti) babylon (baabiloone) unto (,) christ (kiristtoosi) are (NULL) fourteen (tammanne) generations (daawitappe) . (.) "
"b.MAT.1.18 now the birth of jesus christ was on this wise : when as his mother mary was espoused to joseph , before they came together , she was found with child of the holy ghost .","b.MAT.1.18 (b.MAT.1.18) now (NULL) the (NULL) birth (yeletai) of (NULL) jesus (yesuus) christ (kiristtoosa) was (;) on (NULL) this (hagaa) wise (NULL) : (NULL) when (wode) as (mala) his (a) mother (aayyiyaa) mary (mairaama) was (;) espoused (giigaasu) to (NULL) joseph (yooseefayyo) , (NULL) before (NULL) they (NULL) came (NULL) together (shahaaraasu) , (NULL) she (a) was (;) found (gaittennan) with (NULL) child (yooseefaara) of (NULL) the (NULL) holy (geeshsha) ghost (ayyaanau) . (.) "
"b.MAT.1.19 then joseph her husband , being a just man , and not willing to make her a publick example , was minded to put her away privily .","b.MAT.1.19 (b.MAT.1.19) then (NULL) joseph (yooseefi) her (o) husband (NULL) , (,) being (gididaagee) a (NULL) just (xillo) man (asa) , (,) and (NULL) not (NULL) willing (NULL) to (NULL) make (kaushshanau) her (o) a (NULL) publick (qonccissennan) example (NULL) , (,) was (;) minded (NULL) to (NULL) put (NULL) her (o) away (NULL) privily (ibaa) . (.) "
"b.MAT.1.20 but while he thought on these things , behold , the angel of the lord appeared unto him in a dream , saying , joseph , thou son of david , fear not to take unto thee mary thy wife : for that which is conceived in her is of the holy ghost .","b.MAT.1.20 (b.MAT.1.20) but (shin) while (NULL) he (i) thought (qoppishin) on (NULL) these (hegaa) things (NULL) , (,) behold (NULL) , (,) the (NULL) angel (kiitanchchai) of (NULL) the (NULL) lord (godaa) appeared (NULL) unto (NULL) him (aara) in (NULL) a (NULL) dream (aimuwan) , (,) saying (“) , (,) joseph (yooseefaa) , (,) thou (NULL) son (na7au) of (NULL) david (daawita) , (,) fear (yayyoppa) not (NULL) to (NULL) take (NULL) unto (NULL) thee (NULL) mary (mairaama) thy (NULL) wife (NULL) : (NULL) for (gishshau) that (,) which (NULL) is (NULL) conceived (shahaarido) in (NULL) her (o) is (NULL) of (NULL) the (NULL) holy (geeshsha) ghost (ayyaanau) . (.) "
"b.MAT.1.21 and she shall bring forth a son , and thou shalt call his name jesus : for he shall save his people from their sins .","b.MAT.1.21 (b.MAT.1.21) and (NULL) she (yelana) shall (;) bring (NULL) forth (attuma) a (NULL) son (na7a) , (NULL) and (NULL) thou (neeni) shalt (NULL) call (sunttana) his (a) name (NULL) jesus (yesuusa) : (;) for (aissi) he (i) shall (;) save (ashshana) his (a) people (asaa) from (NULL) their (eta) sins (nagaraappe) . (.) "
"b.MAT.1.22 now all this was done , that it might be fulfilled which was spoken of the lord by the prophet , saying ,","b.MAT.1.22 (b.MAT.1.22) now (NULL) all (ubbai) this (hagee) was (;) done (haniis) , (NULL) that (,) it (“) might (mala) be (NULL) fulfilled (polettana) which (;) was (;) spoken (giyoogee) of (NULL) the (qassi) lord (godai) by (baggaara) the (qassi) prophet (yootiyaagaa) , (NULL) saying (“) , (NULL) "
"b.MAT.1.24 then joseph being raised from sleep did as the angel of the lord had bidden him , and took unto him his wife :","b.MAT.1.24 (b.MAT.1.24) then (NULL) joseph (yooseefi) being (NULL) raised (NULL) from (NULL) sleep (xiskkuwaappe) did (beegottidi) as (,) the (NULL) angel (kiitanchchai) of (NULL) the (NULL) lord (godaa) had (,) bidden (NULL) him (bana) , (NULL) and (NULL) took (efiis) unto (NULL) him (bana) his (NULL) wife (NULL) : (.) "
b.MAT.1.25 and knew her not till she had brought forth her firstborn son : and he called his name jesus .,b.MAT.1.25 (b.MAT.1.25) and (NULL) knew (NULL) her (NULL) not (NULL) till (gakkanaassi) she (NULL) had (NULL) brought (NULL) forth (bochchibeenna) her (NULL) firstborn (baira) son (na7aa) : (;) and (NULL) he (giidi) called (sunttiis) his (a) name (NULL) jesus (yesuusa) . (.) 
"b.MAT.2.1 now when jesus was born in bethlehem of judaea in the days of herod the king , behold , there came wise men from the east to jerusalem ,","b.MAT.2.1 (b.MAT.2.1) now (NULL) when (guyyiyan) jesus (yesuusi) was (giyo) born (yelettiis) in (biittan) bethlehem (beetaliheeme) of (NULL) judaea (yihudaa) in (biittan) the (NULL) days (wode) of (NULL) herod (heeroodisi) the (NULL) king (kawotidi) , (,) behold (NULL) , (,) there (paidiya) came (yiidi) wise (baggappe) men (asati) from (,) the (NULL) east (arshsho) to (NULL) jerusalem (yerusalaame) , (,) "
"b.MAT.2.2 saying , where is he that is born king of the jews ? for we have seen his star in the east , and are come to worship him .","b.MAT.2.2 (b.MAT.2.2) saying (“) , (,) where (awan) is (NULL) he (na7ai) that (NULL) is (NULL) born (yelettida) king (kawo) of (NULL) the (NULL) jews (aihuda) ? (?) for (aissi) we (nuuni) have (NULL) seen (kiyida) his (a) star (xoolinttiyaa) in (baggaara) the (NULL) east (arshsho) , (,) and (NULL) are (NULL) come (,) to (NULL) worship (goinnanau) him (ayyo) . (.) "
"b.MAT.2.3 when herod the king had heard these things , he was troubled , and all jerusalem with him .","b.MAT.2.3 (b.MAT.2.3) when (NULL) herod (heeroodisi) the (NULL) king (kawoi) had (NULL) heard (siyidi) these (hegaa) things (NULL) , (,) he (NULL) was (;) troubled (dagammiis) , (,) and (NULL) all (ubbaikka) jerusalem (yerusalaamen) with (NULL) him (dagammiis) . (.) "
"b.MAT.2.4 and when he had gathered all the chief priests and scribes of the people together , he demanded of them where christ should be born .","b.MAT.2.4 (b.MAT.2.4) and (NULL) when (NULL) he (NULL) had (,) gathered (ubbatanne) all (NULL) the (NULL) chief (halaqata) priests (qeese) and (NULL) scribes (higgiyaa) of (NULL) the (NULL) people (NULL) together (NULL) , (NULL) he (NULL) demanded (yelettanddeeshsha) of (NULL) them (“) where (awan) christ (kiristtoosi) should (NULL) be (NULL) born (NULL) . (.) "
"b.MAT.2.5 and they said unto him , in bethlehem of judaea : for thus it is written by the prophet ,","b.MAT.2.5 (b.MAT.2.5) and (oichchin) they (eti) said (“) unto (,) him (zaaridi) , (.) in (kataman) bethlehem (beetaliheeme) of (,) judaea (yihudaa) : (.) for (aissi) thus (laafakka) it (”) is (beetaliheemee) written (') by (,) the (asaa) prophet (yootiyaagee) , (.) "
"b.MAT.2.7 then herod , when he had privily called the wise men , inquired of them diligently what time the star appeared .","b.MAT.2.7 (b.MAT.2.7) then (hegaappe) herod (heeroodisi) , (,) when (NULL) he (NULL) had (guyyiyan) privily (geeman) called (xeesidi) the (NULL) wise (baggappe) men (asata) , (,) inquired (NULL) of (NULL) them (etau) diligently (beettido) what (NULL) time (wodiyaa) the (NULL) star (xoolinttee) appeared (NULL) . (.) "
"b.MAT.2.8 and he sent them to bethlehem , and said , go and search diligently for the young child ; and when ye have found him , bring me word again , that i may come and worship him also .","b.MAT.2.8 (b.MAT.2.8) and (NULL) he (NULL) sent (yeddiiddi) them (eta) to (NULL) bethlehem (beetaliheeme) , (,) and (NULL) said (“) , (,) go (biidi) and (NULL) search (erissite) diligently (NULL) for (NULL) the (NULL) young (NULL) child (na7aa) ; (;) and (NULL) when (wode) ye (NULL) have (NULL) found (demmido) him (a) , (,) bring (NULL) me (tana) word (NULL) again (NULL) , (,) that (NULL) i (taanikka) may (,) come (baada) and (NULL) worship (goinnanaadan) him (a) also (NULL) . (.) "
"b.MAT.2.9 when they had heard the king , they departed ; and , lo , the star , which they saw in the east , went before them , till it came and stood over where the young child was .","b.MAT.2.9 (b.MAT.2.9) when (NULL) they (eti) had (NULL) heard (siyidi) the (NULL) king (kawoi) , (NULL) they (eti) departed (biidosona) ; (;) and (NULL) , (NULL) lo (NULL) , (NULL) the (NULL) star (xoolinttiyaa) , (NULL) which (;) they (eti) saw (be7idosona) in (baggaara) the (NULL) east (arshsho) , (NULL) went (NULL) before (kase) them (eta) , (NULL) till (gakkanaassi) it (he) came (biiddi) and (NULL) stood (kaalettiis) over (NULL) where (de7iyoosaa) the (NULL) young (xoolinttee) child (na7ai) was (NULL) . (.) "
"b.MAT.2.10 when they saw the star , they rejoiced with exceeding great joy .","b.MAT.2.10 (b.MAT.2.10) when (wode) they (NULL) saw (be7ido) the (NULL) star (xoolinttiyaa) , (,) they (NULL) rejoiced (ufaittidosona) with (NULL) exceeding (zawai) great (daro) joy (ufaissaa) . (.) "
"b.MAT.2.11 and when they were come into the house , they saw the young child with mary his mother , and fell down , and worshipped him : and when they had opened their treasures , they presented unto him gifts ; gold , and frankincense , and myrrh .","b.MAT.2.11 (b.MAT.2.11) and (NULL) when (NULL) they (NULL) were (,) come (NULL) into (gelidi) the (NULL) house (soo) , (NULL) they (NULL) saw (be7idosona) the (NULL) young (NULL) child (na7ai) with (,) mary (NULL) his (ba) mother (aayee) , (NULL) and (NULL) fell (mairaamiira) down (gulbbatidi) , (NULL) and (NULL) worshipped (goinnidosona) him (ayyo) : (;) and (NULL) when (NULL) they (NULL) had (NULL) opened (dooyidi) their (bantta) treasures (saaxiniyaa) , (NULL) they (NULL) presented (NULL) unto (NULL) him (ayyo) gifts (NULL) ; (ixaanaanne) gold (worqqaa) , (NULL) and (NULL) frankincense (karbbiyaa) , (NULL) and (NULL) myrrh (immidosona) . (.) "
"b.MAT.2.12 and being warned of god in a dream that they should not return to herod , they departed into their own country another way .","b.MAT.2.12 (b.MAT.2.12) and (NULL) being (,) warned (gin) of (NULL) god (xoossai) in (NULL) a (NULL) dream (aimuwan) that (NULL) they (NULL) should (mala) not (NULL) return (simmenna) to (NULL) herod (heeroodisakko) , (,) they (NULL) departed (NULL) into (NULL) their (NULL) own (bantta) country (dere) another (hara) way (ogiyaara) . (.) "
"b.MAT.2.13 and when they were departed , behold , the angel of the lord appeareth to joseph in a dream , saying , arise , and take the young child and his mother , and flee into egypt , and be thou there until i bring thee word : for herod will seek the young child to destroy him .","b.MAT.2.13 (b.MAT.2.13) and (NULL) when (NULL) they (eti) were (,) departed (guyyiyan) , (NULL) behold (biidoogaappe) , (NULL) the (NULL) angel (kiitanchchai) of (NULL) the (NULL) lord (godaa) appeareth (beettidi) to (NULL) joseph (yooseefayyo) in (NULL) a (NULL) dream (aimuwan) , (NULL) saying (“) , (NULL) arise (denddada) , (NULL) and (NULL) take (ekkada) the (NULL) young (na7aanne) child (NULL) and (NULL) his (NULL) mother (aayyiyo) , (NULL) and (NULL) flee (baqata) into (biitti) egypt (gibxxe) , (NULL) and (NULL) be (NULL) thou (NULL) there (yan) until (gakkanaassi) i (taani) bring (odana) thee (neeyyo) word (NULL) : (;) for (gishshau) herod (heeroodisi) will (yaagiis) seek (uttaashsha) the (NULL) young (na7aanne) child (NULL) to (NULL) destroy (NULL) him (”) . (.) "
"b.MAT.2.14 when he arose , he took the young child and his mother by night , and departed into egypt :","b.MAT.2.14 (b.MAT.2.14) when (NULL) he (yaagin) arose (denddidi) , (,) he (yaagin) took (ekkidi) the (NULL) young (na7aanne) child (na7aa) and (NULL) his (xeesaas) mother (aayyiyo) by (baggaara) night (qammi) , (,) and (NULL) departed (biis) into (biitti) egypt (gibxxe) : (.) "
