context,targ
"b.MAT.1.1 the book of the generation of jesus christ , the son of david , the son of abraham .","b.MAT.1.1 (b.MAT.1.1) the (NULL) book (cosaanu) of (NULL) the (NULL) generation (NULL) of (NULL) jesus (yeesu) christ (kirist) , (,) the (NULL) son (sëtu) of (NULL) david (daawuda) , (,) the (NULL) son (sëtu) of (NULL) abraham (ibraayma) . (.) "
b.MAT.1.2 abraham begat isaac ; and isaac begat jacob ; and jacob begat judas and his brethren ;,b.MAT.1.2 (b.MAT.1.2) abraham (ibraayma) begat (jur) isaac (isaaxa) ; (;) and (NULL) isaac (isaaxa) begat (jur) jacob (yanqóoba) ; (;) and (NULL) jacob (yanqóoba) begat (jur) judas (yuda) and (NULL) his (i) brethren (doomi) ; (;) 
b.MAT.1.3 and judas begat phares and zara of thamar ; and phares begat esrom ; and esrom begat aram ;,"b.MAT.1.3 (b.MAT.1.3) and (NULL) judas (yuda) begat (,) phares (fares) and (NULL) zara (sara) of (ci) thamar (tamar) ; (;) and (NULL) phares (fares) begat (,) esrom (esrom) ; (;) and (NULL) esrom (esrom) begat (,) aram (aram) ; (;) "
b.MAT.1.4 and aram begat aminadab ; and aminadab begat naasson ; and naasson begat salmon ;,b.MAT.1.4 (b.MAT.1.4) and (NULL) aram (aram) begat (NULL) aminadab (aminadab) ; (;) and (NULL) aminadab (aminadab) begat (NULL) naasson (naason) ; (;) and (NULL) naasson (naason) begat (NULL) salmon (salmon) ; (;) 
b.MAT.1.5 and salmon begat booz of rachab ; and booz begat obed of ruth ; and obed begat jesse ;,b.MAT.1.5 (b.MAT.1.5) and (NULL) salmon (salmon) begat (jur) booz (bowas) of (ci) rachab (raxab) ; (;) and (NULL) booz (bowas) begat (jur) obed (obedd) of (ci) ruth (ruut) ; (;) and (NULL) obed (obedd) begat (jur) jesse (yese) ; (;) 
b.MAT.1.6 and jesse begat david the king ; and david the king begat solomon of her that had been the wife of urias ;,b.MAT.1.6 (b.MAT.1.6) and (bi) jesse (NULL) begat (baayu) david (daawuda) the (NULL) king (buur) ; (.) and (bi) david (daawuda) the (NULL) king (buur) begat (baayu) solomon (suleymaan) of (ci) her (NULL) that (ki) had (NULL) been (uri) the (NULL) wife (NULL) of (ci) urias (jabari) ; (.) 
b.MAT.1.7 and solomon begat roboam ; and roboam begat abia ; and abia begat asa ;,b.MAT.1.7 (b.MAT.1.7) and (NULL) solomon (suleymaan) begat (jur) roboam (robowam) ; (;) and (NULL) roboam (robowam) begat (jur) abia (abiya) ; (;) and (NULL) abia (abiya) begat (jur) asa (asaf) ; (;) 
b.MAT.1.8 and asa begat josaphat ; and josaphat begat joram ; and joram begat ozias ;,b.MAT.1.8 (b.MAT.1.8) and (NULL) asa (asaf) begat (NULL) josaphat (yosafat) ; (;) and (NULL) josaphat (yosafat) begat (NULL) joram (yoram) ; (;) and (NULL) joram (yoram) begat (NULL) ozias (osiyas) ; (;) 
b.MAT.1.9 and ozias begat joatham ; and joatham begat achaz ; and achaz begat ezekias ;,b.MAT.1.9 (b.MAT.1.9) and (NULL) ozias (osiyas) begat (jur) joatham (NULL) ; (NULL) and (NULL) joatham (NULL) begat (jur) achaz (akas) ; (NULL) and (NULL) achaz (akas) begat (jur) ezekias (esekiyas) ; (NULL) 
b.MAT.1.10 and ezekias begat manasses ; and manasses begat amon ; and amon begat josias ;,b.MAT.1.10 (b.MAT.1.10) and (NULL) ezekias (esekiyas) begat (NULL) manasses (manase) ; (;) and (NULL) manasses (manase) begat (NULL) amon (amon) ; (;) and (NULL) amon (amon) begat (NULL) josias (yosiyas) ; (;) 
"b.MAT.1.11 and josias begat jechonias and his brethren , about the time they were carried away to babylon :","b.MAT.1.11 (b.MAT.1.11) and (NULL) josias (yosiyas) begat (jur) jechonias (yekoñas) and (NULL) his (baayam) brethren (doomi) , (NULL) about (ca) the (,) time (jamono) they (NULL) were (ñu) carried (yóbbu) away (,) to (NULL) babylon (babilon) : (.) "
"b.MAT.1.12 and after they were brought to babylon , jechonias begat salathiel ; and salathiel begat zorobabel ;","b.MAT.1.12 (b.MAT.1.12) and (NULL) after (ba) they (ñu) were (NULL) brought (yóbboo) to (NULL) babylon (babilon) , (,) jechonias (yekoñas) begat (jur) salathiel (salacel) ; (;) and (NULL) salathiel (salacel) begat (jur) zorobabel (sorobabel) ; (;) "
b.MAT.1.13 and zorobabel begat abiud ; and abiud begat eliakim ; and eliakim begat azor ;,b.MAT.1.13 (b.MAT.1.13) and (NULL) zorobabel (NULL) begat (baayu) abiud (abiyudd) ; (;) and (NULL) abiud (abiyudd) begat (baayu) eliakim (eliyakim) ; (;) and (NULL) eliakim (eliyakim) begat (baayu) azor (asor) ; (;) 
b.MAT.1.14 and azor begat sadoc ; and sadoc begat achim ; and achim begat eliud ;,b.MAT.1.14 (b.MAT.1.14) and (NULL) azor (asor) begat (NULL) sadoc (sadog) ; (;) and (NULL) sadoc (sadog) begat (NULL) achim (akim) ; (;) and (NULL) achim (akim) begat (NULL) eliud (eliyudd) ; (;) 
b.MAT.1.15 and eliud begat eleazar ; and eleazar begat matthan ; and matthan begat jacob ;,b.MAT.1.15 (b.MAT.1.15) and (NULL) eliud (eliyudd) begat (NULL) eleazar (eleyasar) ; (;) and (NULL) eleazar (eleyasar) begat (NULL) matthan (matan) ; (;) and (NULL) matthan (matan) begat (NULL) jacob (yanqóoba) ; (;) 
"b.MAT.1.16 and jacob begat joseph the husband of mary , of whom was born jesus , who is called christ .","b.MAT.1.16 (b.MAT.1.16) and (NULL) jacob (yanqóoba) begat (jur) joseph (yuusufa) the (NULL) husband (jëkkëru) of (NULL) mary (maryaama) , (;) of (NULL) whom (te) was (,) born (juddoo) jesus (yeesu) , (;) who (mi) is (NULL) called (ñuy) christ (kirist) . (.) "
b.MAT.1.17 so all the generations from abraham to david are fourteen generations ; and from david until the carrying away into babylon are fourteen generations ; and from the carrying away into babylon unto christ are fourteen generations .,"b.MAT.1.17 (b.MAT.1.17) so (NULL) all (NULL) the (,) generations (dale) from (ca) abraham (ibraayma) to (ba) david (daawuda) are (,) fourteen (ñeent) generations (dale) ; (;) and (NULL) from (ca) david (daawuda) until (ba) the (,) carrying (njaam) away (NULL) into (ca) babylon (babilon) are (,) fourteen (ñeent) generations (dale) ; (;) and (NULL) from (ca) the (,) carrying (njaam) away (NULL) into (ca) babylon (babilon) unto (ci) christ (kirist) are (,) fourteen (ñeent) generations (dale) . (.) "
"b.MAT.1.18 now the birth of jesus christ was on this wise : when as his mother mary was espoused to joseph , before they came together , she was found with child of the holy ghost .","b.MAT.1.18 (b.MAT.1.18) now (NULL) the (NULL) birth (juddoo) of (NULL) jesus (yeesu) christ (kirist) was (ñu) on (NULL) this (nii) wise (NULL) : (.) when (bi) as (NULL) his (NULL) mother (ndeyam) mary (maryaama) was (ñu) espoused (mayee) to (NULL) joseph (yuusufa) , (,) before (laata) they (nañu) came (NULL) together (NULL) , (,) she (dafa) was (ñu) found (gis) with (ànd) child (ëmb) of (NULL) the (NULL) holy (sell) ghost (xel) . (.) "
"b.MAT.1.19 then joseph her husband , being a just man , and not willing to make her a publick example , was minded to put her away privily .","b.MAT.1.19 (b.MAT.1.19) then (nag) joseph (yuusufa) her (NULL) husband (jëkkëram) , (,) being (nekkoon) a (NULL) just (jub) man (nit) , (,) and (te) not (NULL) willing (NULL) to (NULL) make (NULL) her (NULL) a (NULL) publick (nar) example (NULL) , (,) was (NULL) minded (xàccook) to (NULL) put (NULL) her (NULL) away (NULL) privily (sutura) . (.) "
"b.MAT.1.20 but while he thought on these things , behold , the angel of the lord appeared unto him in a dream , saying , joseph , thou son of david , fear not to take unto thee mary thy wife : for that which is conceived in her is of the holy ghost .","b.MAT.1.20 (b.MAT.1.20) but (waaye) while (bi) he (muy) thought (xalaat) on (ci) these (loolu) things (NULL) , (,) behold (NULL) , (,) the (NULL) angel (malaakam) of (NULL) the (NULL) lord (boroom) appeared (feeñu) unto (NULL) him (ko) in (ci) a (NULL) dream (gént) , (,) saying (ne) , (,) joseph (yuusufa) , (,) thou (yaw) son (sëtu) of (NULL) david (daawuda) , (,) fear (ragal) not (bul) to (a) take (yeggali) unto (NULL) thee (NULL) mary (maryaama) thy (sa) wife (jabar) : (,) for (ndaxte) that (NULL) which (ji) is (NULL) conceived (ëmb) in (ci) her (mu) is (NULL) of (NULL) the (NULL) holy (sell) ghost (xel) . (.) "
"b.MAT.1.21 and she shall bring forth a son , and thou shalt call his name jesus : for he shall save his people from their sins .","b.MAT.1.21 (b.MAT.1.21) and (NULL) she (NULL) shall (dina) bring (NULL) forth (jur) a (ju) son (doom) , (;) and (NULL) thou (nga) shalt (NULL) call (tudde) his (ko) name (NULL) jesus (yeesu) : (,) for (ndaxte) he (kiy) shall (dina) save (musal) his (ko) people (xeetam) from (ci) their (seeni) sins (bàkkaar) . (.) "
"b.MAT.1.22 now all this was done , that it might be fulfilled which was spoken of the lord by the prophet , saying ,","b.MAT.1.22 (b.MAT.1.22) now (NULL) all (lépp) this (loolu) was (na) done (xewoon) , (,) that (NULL) it (NULL) might (ngir) be (NULL) fulfilled (amal) which (li) was (na) spoken (wax) of (NULL) the (bi) lord (boroom) by (jaarale) the (bi) prophet (yonent) , (,) saying (naan) , (,) "
