context,targ
"b.MAT.1.1 the book of the generation of jesus christ , the son of david , the son of abraham .","b.MAT.1.1 (b.MAT.1.1) the (NULL) book (incwadi) of (NULL) the (NULL) generation (yokuzalwa) of (NULL) jesus (kukajesu) christ (kristu) , (,) the (NULL) son (indodana) of (NULL) david (kadavide) , (,) the (NULL) son (indodana) of (NULL) abraham (abrahama) . (.) "
b.MAT.1.2 abraham begat isaac ; and isaac begat jacob ; and jacob begat judas and his brethren ;,"b.MAT.1.2 (b.MAT.1.2) abraham (abrahama) begat (wazala) isaac (isaka) ; (,) and (NULL) isaac (isaka) begat (wazala) jacob (ujakobe) ; (,) and (NULL) jacob (ujakobe) begat (wazala) judas (ujuda) and (NULL) his (NULL) brethren (nabafowabo) ; (,) "
b.MAT.1.3 and judas begat phares and zara of thamar ; and phares begat esrom ; and esrom begat aram ;,"b.MAT.1.3 (b.MAT.1.3) and (NULL) judas (ujuda) begat (wazala) phares (ofaresi) and (NULL) zara (nozara) of (NULL) thamar (kutamari) ; (,) and (NULL) phares (ofaresi) begat (wazala) esrom (esiromu) ; (,) and (NULL) esrom (esiromu) begat (wazala) aram (aramu) ; (,) "
b.MAT.1.4 and aram begat aminadab ; and aminadab begat naasson ; and naasson begat salmon ;,"b.MAT.1.4 (b.MAT.1.4) and (NULL) aram (aramu) begat (wazala) aminadab (aminadaba) ; (,) and (NULL) aminadab (aminadaba) begat (wazala) naasson (unasoni) ; (,) and (NULL) naasson (unasoni) begat (wazala) salmon (usalimoni) ; (,) "
b.MAT.1.5 and salmon begat booz of rachab ; and booz begat obed of ruth ; and obed begat jesse ;,"b.MAT.1.5 (b.MAT.1.5) and (NULL) salmon (usalimoni) begat (wazala) booz (ubowasi) of (NULL) rachab (kurakhabi) ; (,) and (NULL) booz (ubowasi) begat (wazala) obed (obede) of (NULL) ruth (kuruthe) ; (,) and (NULL) obed (obede) begat (wazala) jesse (ujesayi) ; (,) "
b.MAT.1.6 and jesse begat david the king ; and david the king begat solomon of her that had been the wife of urias ;,"b.MAT.1.6 (b.MAT.1.6) and (NULL) jesse (ujesayi) begat (wazala) david (udavide) the (,) king (inkosi) ; (.) and (NULL) david (udavide) the (,) king (inkosi) begat (wazala) solomon (usolomoni) of (NULL) her (NULL) that (NULL) had (NULL) been (kumka) the (,) wife (NULL) of (NULL) urias (uriya) ; (.) "
b.MAT.1.7 and solomon begat roboam ; and roboam begat abia ; and abia begat asa ;,"b.MAT.1.7 (b.MAT.1.7) and (NULL) solomon (usolomoni) begat (wazala) roboam (urobowamu) ; (,) and (NULL) roboam (urobowamu) begat (wazala) abia (abiya) ; (,) and (NULL) abia (abiya) begat (wazala) asa (asafa) ; (,) "
b.MAT.1.8 and asa begat josaphat ; and josaphat begat joram ; and joram begat ozias ;,"b.MAT.1.8 (b.MAT.1.8) and (NULL) asa (asafa) begat (wazala) josaphat (ujosafati) ; (,) and (NULL) josaphat (ujosafati) begat (wazala) joram (ujoramu) ; (,) and (NULL) joram (ujoramu) begat (wazala) ozias (oziya) ; (,) "
b.MAT.1.9 and ozias begat joatham ; and joatham begat achaz ; and achaz begat ezekias ;,"b.MAT.1.9 (b.MAT.1.9) and (NULL) ozias (oziya) begat (wazala) joatham (ujothamu) ; (,) and (NULL) joatham (ujothamu) begat (wazala) achaz (akazi) ; (,) and (NULL) achaz (akazi) begat (wazala) ezekias (uhezekiya) ; (,) "
b.MAT.1.10 and ezekias begat manasses ; and manasses begat amon ; and amon begat josias ;,"b.MAT.1.10 (b.MAT.1.10) and (NULL) ezekias (uhezekiya) begat (wazala) manasses (umanase) ; (,) and (NULL) manasses (umanase) begat (wazala) amon (amoni) ; (,) and (NULL) amon (amoni) begat (wazala) josias (ujosiya) ; (,) "
"b.MAT.1.11 and josias begat jechonias and his brethren , about the time they were carried away to babylon :","b.MAT.1.11 (b.MAT.1.11) and (NULL) josias (ujosiya) begat (wazala) jechonias (ujekoniya) and (NULL) his (NULL) brethren (nabafowabo) , (NULL) about (NULL) the (NULL) time (ngesikhathi) they (NULL) were (NULL) carried (sokuthunjelwa) away (NULL) to (NULL) babylon (ebabiloni) : (.) "
"b.MAT.1.12 and after they were brought to babylon , jechonias begat salathiel ; and salathiel begat zorobabel ;","b.MAT.1.12 (b.MAT.1.12) and (kwathi) after (emva) they (NULL) were (NULL) brought (kokuthunjelwa) to (NULL) babylon (ebabiloni) , (NULL) jechonias (ujekoniya) begat (wazala) salathiel (usalatiyeli) ; (,) and (kwathi) salathiel (usalatiyeli) begat (wazala) zorobabel (uzorobabeli) ; (,) "
