sent_id,text,sent_id2,text2
b.MAT.1.1,"The book of the generation of Jesus Christ , the son of David , the son of Abraham . ",b.MAT.1.1,"Ju papikia Jesucristo pachisar aarmawaitai . Jesucristo Davidta weari ayayi . Tura Davidcha Abrahama weari ayayi . Tura Abrahama weari ainau , tura Davidta weari ainau naaringkia ju papinum aarmawaitai . "
b.MAT.1.2,Abraham begat Isaac ; and Isaac begat Jacob ; and Jacob begat Judas and his brethren ; ,b.MAT.1.2,Abraham Isaacan yajutmarmiayi . Tura Isaac Jacobon yajutmarmiayi . Tura Jacob Judán tura Judá yachí ainauncha yajutmarmiayi . 
b.MAT.1.3,And Judas begat Phares and Zara of Thamar ; and Phares begat Esrom ; and Esrom begat Aram ; ,b.MAT.1.3,"Tura Judá Tamaran nuwatak , ni uchirin Faresan tura chikich uchirin Zara naartinun yajutmarmiayi . Tura Fares Esroman yajutmarmiayi . "
b.MAT.1.4,And Aram begat Aminadab ; and Aminadab begat Naasson ; and Naasson begat Salmon ; ,b.MAT.1.4,Tura Esrom Araman yajutmarmiayi . Tura Aram Aminadaban yajutmarmiayi . Tura Aminadab Naasónkan yajutmarmiayi . Tura Naasón Salmónkan yajutmarmiayi . 
b.MAT.1.5,And Salmon begat Booz of Rachab ; and Booz begat Obed of Ruth ; and Obed begat Jesse ; ,b.MAT.1.5,Tura Salmón Rahaban nuwatak Boozan yajutmarmiayi . Tura Booz Rutan nuwatak Obedan yajutmarmiayi . Tura Obed Isaín yajutmarmiayi . 
b.MAT.1.6,And Jesse begat David the king ; and David the king begat Solomon of her that had been the wife of Urias ; ,b.MAT.1.6,"Tura Isaí apu Davidtan yajutmarmiayi . Davidka Israela apuri ayayi . Tura David Uríasa nuwarin nuwatak , ni uchirin Salomónkan yajutmarmiayi . "
b.MAT.1.7,And Solomon begat Roboam ; and Roboam begat Abia ; and Abia begat Asa ; ,b.MAT.1.7,Tura Salomón Roboaman yajutmarmiayi . Tura Roboam Abíasan yajutmarmiayi . Tura Abías Asan yajutmarmiayi . 
b.MAT.1.8,And Asa begat Josaphat ; and Josaphat begat Joram ; and Joram begat Ozias ; ,b.MAT.1.8,Tura Asa Josafatan yajutmarmiayi . Tura Josafat Joraman yajutmarmiayi . Tura Joram Oseasan yajutmarmiayi . 
b.MAT.1.9,And Ozias begat Joatham ; and Joatham begat Achaz ; and Achaz begat Ezekias ; ,b.MAT.1.9,Tura Oseas Jotaman yajutmarmiayi . Tura Jotam Acazan yajutmarmiayi . Tura Acaz Ezequíasan yajutmarmiayi . 
b.MAT.1.10,And Ezekias begat Manasses ; and Manasses begat Amon ; and Amon begat Josias ; ,b.MAT.1.10,Tura Ezequías Manasésan yajutmarmiayi . Tura Manasés Amónkan yajutmarmiayi . Tura Amón Josíasan yajutmarmiayi . 
