sent_id,text,sent_id2,text2
b.MAT.1.1,"The book of the generation of Jesus Christ , the son of David , the son of Abraham . ",b.MAT.1.1,"Ju ainawai Jisukristu muunji aajakajua nuna daaji agatkamua duka . Nigka David , Abraham aina nu wegantu aajakuí . "
b.MAT.1.2,Abraham begat Isaac ; and Isaac begat Jacob ; and Jacob begat Judas and his brethren ; ,b.MAT.1.2,"Abragka uchijiyai Isaac , Isaaka uchijiyai Jacob , Jacopa uchijiyai Judá nuigtú yachi aidaushkam . "
b.MAT.1.3,And Judas begat Phares and Zara of Thamar ; and Phares begat Esrom ; and Esrom begat Aram ; ,b.MAT.1.3,"Judá Tamarai akiauwai Faresan , Zarajai . Faresa uchijiyai Esrom , Esroma uchijiyai Aram . "
b.MAT.1.4,And Aram begat Aminadab ; and Aminadab begat Naasson ; and Naasson begat Salmon ; ,b.MAT.1.4,"Arama uchijiyai Aminadab , Aminadapa uchijiyai Naasón , Naasogka uchijiyai Salmón . "
b.MAT.1.5,And Salmon begat Booz of Rachab ; and Booz begat Obed of Ruth ; and Obed begat Jesse ; ,b.MAT.1.5,"Salmón Rahapa juki akiauwai Boozan , Booz Rutan juki akiauwai Obetan , Obeta uchijiyai Isaí . "
b.MAT.1.6,And Jesse begat David the king ; and David the king begat Solomon of her that had been the wife of Urias ; ,b.MAT.1.6,"Isaí uchijiyai apu David , tuja David Uriasa nuwe aajakua nuna jukí Salomogkan akiauwai . "
b.MAT.1.7,And Solomon begat Roboam ; and Roboam begat Abia ; and Abia begat Asa ; ,b.MAT.1.7,"Salomogka uchijiyai Roboam , Roboama uchijiyai Abías , Abiasan uchijiyai Asa . "
b.MAT.1.8,And Asa begat Josaphat ; and Josaphat begat Joram ; and Joram begat Ozias ; ,b.MAT.1.8,"Asa uchijiyai Josafat , Josafata uchijiyai Joram , Jorama uchijiyai Uzías . "
b.MAT.1.9,And Ozias begat Joatham ; and Joatham begat Achaz ; and Achaz begat Ezekias ; ,b.MAT.1.9,"Uziasa uchijiyai Jotam , Jotama uchijiyai Acaz , Acaza uchijiyai Ezequías . "
b.MAT.1.10,And Ezekias begat Manasses ; and Manasses begat Amon ; and Amon begat Josias ; ,b.MAT.1.10,"Ezequiasa uchijiyai Manasés , Manasesa uchijiyai Amón , Amogka uchijiyai Josías . "
b.MAT.1.11,"And Josias begat Jechonias and his brethren , about the time they were carried away to Babylon : ",b.MAT.1.11,"Josiasa uchijiyai Jeconías nuigtú yachi aidaushkam , ditak akiinawajui Babilonianmaya aidau Israel aentsun achig yajuaku aina nunú tsawan jegatsaig . "
b.MAT.1.12,"And after they were brought to Babylon , Jechonias begat Salathiel ; and Salathiel begat Zorobabel ; ",b.MAT.1.12,"Tuja Babilonia yajuakam batsamsag Jeconías akiauwai Salatielan , Salatiela uchijiyai Zorobabel . "
b.MAT.1.13,And Zorobabel begat Abiud ; and Abiud begat Eliakim ; and Eliakim begat Azor ; ,b.MAT.1.13,"Zorobabela uchijiyai Abiud , Abiuta uchijiyai Eliaquim , Eliaquima uchijiyai Azor . "
b.MAT.1.14,And Azor begat Sadoc ; and Sadoc begat Achim ; and Achim begat Eliud ; ,b.MAT.1.14,"Azora uchijiyai Sadoc , Sadoca uchijiyai Aquim , Aquima uchijiyai Eliud . "
b.MAT.1.15,And Eliud begat Eleazar ; and Eleazar begat Matthan ; and Matthan begat Jacob ; ,b.MAT.1.15,"Eliuta uchijiyai Eleazar , Eleazara uchijiyai Matán , Matagka uchijiyai Jacob . "
b.MAT.1.16,"And Jacob begat Joseph the husband of Mary , of whom was born Jesus , who is called Christ . ",b.MAT.1.16,"Jacopa uchijiyai José , María aishi aajakua nunú ; tuja Maríayai akiinauwai Jisus , Apajuí awemamu taku Kristu tujakbauwa nu . "
b.MAT.1.17,So all the generations from Abraham to David are fourteen generations ; and from David until the carrying away into Babylon are fourteen generations ; and from the carrying away into Babylon unto Christ are fourteen generations . ,b.MAT.1.17,"Imaan aajakajua nunú Abragkai nagkamsa dekapa Davitai ejemak awai catorce aents , tuja Davitai nagkamsa dekapaja Babilonianmaya aidau Israel aentsun achijá yajuakajua nui ejemash catorce aents awai , aantsag Kristu akiinauwa imanui ejemashkam catorce aents awai . "
