sent_id,text,sent_id2,text2
b.MAT.1.1,"The book of the generation of Jesus Christ , the son of David , the son of Abraham . ",b.MAT.1.1,"Serɨ serɨ Sises tamokori ton ese ' asi ' , kin pe te ' sen Tepi ' pa pe iyesi ' pʉ , Epʉra ' an pa pe nɨrɨ kanan iyesi ' pʉ . "
b.MAT.1.2,Abraham begat Isaac ; and Isaac begat Jacob ; and Jacob begat Judas and his brethren ; ,b.MAT.1.2,"Epʉra ' an esi ' pʉ Aisi ' kʉipʉnʉ pe , Aisi ' esi ' pʉ Seko ' kʉipʉnʉ pe , Seko ' esi ' pʉ Isuta mɨrɨ awonsi ' kɨ iyakon non kʉipʉnʉ pe , "
b.MAT.1.3,And Judas begat Phares and Zara of Thamar ; and Phares begat Esrom ; and Esrom begat Aram ; ,b.MAT.1.3,"Isuta esi ' pʉ Peres mɨrɨ awonsi ' kɨ Sera pokon kʉipʉnʉ pe , Temarʉ esi ' pʉ na ' ne ' to ' san pe . Peres esi ' pʉ Esuran kʉipʉnʉ pe , Esuran esi ' pʉ Ran kʉipʉnʉ pe , "
b.MAT.1.4,And Aram begat Aminadab ; and Aminadab begat Naasson ; and Naasson begat Salmon ; ,b.MAT.1.4,"Ran esi ' pʉ Aminatapu kʉipʉnʉ pe , Aminatapu esi ' pʉ Naisan kʉipʉnʉ pe , Naisan esi ' pʉ Sarʉman kʉipʉnʉ pe , "
b.MAT.1.5,And Salmon begat Booz of Rachab ; and Booz begat Obed of Ruth ; and Obed begat Jesse ; ,b.MAT.1.5,"Sarʉman esi ' pʉ Powas kʉipʉnʉ pe , Reyapu esi ' pʉ na ' ne ' isan pe , Powas esi ' pʉ Ope ' kʉipʉnʉ pe , Ru ' esi ' pʉ na ' ne ' isan pe , Ope ' esi ' pʉ Ise ' si kʉipʉnʉ pe , "
b.MAT.1.6,And Jesse begat David the king ; and David the king begat Solomon of her that had been the wife of Urias ; ,b.MAT.1.6,"Ise ' si nin si esi ' pʉ mɨrɨ Tepi ' kin pe te ' sen kʉipʉnʉ pe . Tepi ' esi ' pʉ Saraman kʉipʉnʉ pe , Iuraya no ' pʉ rʉ ' pʉ esi ' pʉ na ' ne ' isan pe , "
b.MAT.1.7,And Solomon begat Roboam ; and Roboam begat Abia ; and Abia begat Asa ; ,b.MAT.1.7,"Saraman esi ' pʉ Reyopowan kʉipʉnʉ pe , Reyopowan esi ' pʉ Apaya kʉipʉnʉ pe , Apaya esi ' pʉ Esa kʉipʉnʉ pe , "
b.MAT.1.8,And Asa begat Josaphat ; and Josaphat begat Joram ; and Joram begat Ozias ; ,b.MAT.1.8,"Esa esi ' pʉ Iseyosapa ' kʉipʉnʉ pe , Iseyosapa ' esi ' pʉ Iseyoran kʉipʉnʉ pe , Iseyoran esi ' pʉ Usaya kʉipʉnʉ pe , "
b.MAT.1.9,And Ozias begat Joatham ; and Joatham begat Achaz ; and Achaz begat Ezekias ; ,b.MAT.1.9,"Usaya esi ' pʉ Iso ' tan kʉipʉnʉ pe , Iso ' tan esi ' pʉ Eyas kʉipʉnʉ pe , Eyas esi ' pʉ Esi ' kaya kʉipʉnʉ pe , "
b.MAT.1.10,And Ezekias begat Manasses ; and Manasses begat Amon ; and Amon begat Josias ; ,b.MAT.1.10,"Esi ' kaya esi ' pʉ Mana ' sa kʉipʉnʉ pe , Mana ' sa esi ' pʉ Eman kʉipʉnʉ pe , Eman esi ' pʉ Iso ' saya kʉipʉnʉ pe , "
