sent_id,text,sent_id2,text2
b.GEN.1.1,In the beginning God created the heaven and the earth . ,b.GEN.1.1,Ի սկզբանէ Աստուած ստեղծեց երկինքն ու երկիրը : 
b.GEN.1.2,"And the earth was without form , and void ; and darkness was upon the face of the deep . And the Spirit of God moved upon the face of the waters . ",b.GEN.1.2,"Երկիրն անձեւ ու անկազմ էր , խաւար էր տիրում անհունի վրայ , եւ Աստծու հոգին շրջում էր ջրերի վրայ : "
b.GEN.1.3,"And God said , Let there be light : and there was light . ",b.GEN.1.3,Եւ Աստուած ասաց . « Թող լոյս լինի » : Եւ լոյս եղաւ : 
b.GEN.1.4,"And God saw the light , that it was good : and God divided the light from the darkness . ",b.GEN.1.4,"Աստուած տեսաւ , որ լոյսը լաւ է , եւ Աստուած լոյսը բաժանեց խաւարից : "
b.GEN.1.5,"And God called the light Day , and the darkness he called Night . And the evening and the morning were the first day . ",b.GEN.1.5,"Աստուած լոյսը կոչեց ցերեկ , իսկ խաւարը կոչեց գիշեր : Եւ եղաւ երեկոյ , եւ եղաւ առաւօտ ՝ օր առաջին : "
b.GEN.1.6,"And God said , Let there be a firmament in the midst of the waters , and let it divide the waters from the waters . ",b.GEN.1.6,"Աստուած ասաց . « Թող տարածութիւն առաջանայ ջրերի միջեւ , եւ ջրերը թող բաժանուեն ջրերից » : Եւ եղաւ այդպէս : "
b.GEN.1.7,"And God made the firmament , and divided the waters which were under the firmament from the waters which were above the firmament : and it was so . ",b.GEN.1.7,"Աստուած ստեղծեց տարածութիւնը , որով Աստուած տարածութեան ներքեւում եղած ջրերը անջրպետեց տարածութեան վրայ եղած ջրերից : "
b.GEN.1.8,And God called the firmament Heaven . And the evening and the morning were the second day . ,b.GEN.1.8,"Աստուած տարածութիւնը կոչեց երկինք : Աստուած տեսաւ , որ լաւ է : Եւ եղաւ երեկոյ , եւ եղաւ առաւօտ ՝ օր երկրորդ : "
b.GEN.1.9,"And God said , Let the waters under the heaven be gathered together unto one place , and let the dry land appear : and it was so . ",b.GEN.1.9,"Աստուած ասաց . « Թող երկնքի տակ գտնուող ջրերը հաւաքուեն մի տեղ , եւ երեւայ ցամաքը » : Եւ եղաւ այդպէս . երկնքի տակի ջրերը հաւաքուեցին մի տեղ , ու երեւաց ցամաքը : "
b.GEN.1.10,And God called the dry land Earth ; and the gathering together of the waters called he Seas : and God saw that it was good . ,b.GEN.1.10,"Աստուած ցամաքը կոչեց երկիր , իսկ հաւաքուած ջրերը կոչեց ծով : Աստուած տեսաւ , որ լաւ է : "
b.GEN.1.11,"And God said , Let the earth bring forth grass , the herb yielding seed , and the fruit tree yielding fruit after his kind , whose seed is in itself , upon the earth : and it was so . ",b.GEN.1.11,"Աստուած ասաց . « Թող երկիրը իր տեսակի ու իր նմանութեան սերմը պարունակող դալար բոյս եւ իր տեսակի ու իր նմանութեան սերմը պարունակող , իր տեսակի միրգ տուող պտղաբեր ծառ աճեցնի երկրի վրայ » : Եւ եղաւ այդպէս . "
b.GEN.1.12,"And the earth brought forth grass , and herb yielding seed after his kind , and the tree yielding fruit , whose seed was in itself , after his kind : and God saw that it was good . ",b.GEN.1.12,"հողը ամբողջ երկրի վրայ ցանելու սերմը իր մէջ պարունակող դալար բոյս եւ իր տեսակի սերմը իր մէջ պարունակող , միրգ տուող ծառ աճեցրեց : Աստուած տեսաւ , որ լաւ է : "
b.GEN.1.13,And the evening and the morning were the third day . ,b.GEN.1.13,"Եւ եղաւ երեկոյ , եւ եղաւ առաւօտ ՝ օր երրորդ : "
b.GEN.1.14,"And God said , Let there be lights in the firmament of the heaven to divide the day from the night ; and let them be for signs , and for seasons , and for days , and years : ",b.GEN.1.14,"Աստուած ասաց . « Թող լուսատուներ լինեն երկնքի տարածութեան մէջ , որպէսզի լուսաւորեն երկիրը եւ իրարից բաժանեն ցերեկն ու գիշերը : Դրանք թող լինեն , որպէսզի ցոյց տան տարուայ եղանակները , տօնական օրերն ու տարիները , "
b.GEN.1.15,And let them be for lights in the firmament of the heaven to give light upon the earth : and it was so . ,b.GEN.1.15,"թող լինեն , ծագեն երկնքի տարածութեան մէջ ՝ երկիրը լուսաւորելու համար » : Եւ եղաւ այդպէս : "
b.GEN.1.16,"And God made two great lights ; the greater light to rule the day , and the lesser light to rule the night : he made the stars also . ",b.GEN.1.16,"Աստուած ստեղծեց երկու մեծ լուսատուներ . մեծ լուսատուն ՝ ցերեկն իշխելու , իսկ փոքր լուսատուն ՝ գիշերն իշխելու համար , ինչպէս նաեւ աստղեր : "
b.GEN.1.17,"And God set them in the firmament of the heaven to give light upon the earth , ",b.GEN.1.17,"Աստուած դրանք դրեց երկնքի տարածութեան մէջ ՝ երկիրը լուսաւորելու համար , "
b.GEN.1.18,"And to rule over the day and over the night , and to divide the light from the darkness : and God saw that it was good . ",b.GEN.1.18,"ինչպէս նաեւ ցերեկուայ ու գիշերուայ վրայ իշխելու եւ լոյսն ու խաւարը իրարից բաժանելու համար : Աստուած տեսաւ , որ լաւ է : "
b.GEN.1.19,And the evening and the morning were the fourth day . ,b.GEN.1.19,"Եւ եղաւ երեկոյ , եւ եղաւ առաւօտ ՝ օր չորրորդ : "
b.GEN.1.20,"And God said , Let the waters bring forth abundantly the moving creature that hath life , and fowl that may fly above the earth in the open firmament of heaven . ",b.GEN.1.20,"Աստուած ասաց . « Թող ջրերն արտադրեն կենդանութեան շունչ ունեցող զեռուններ , եւ երկրի վրայ ու երկնքի տարածութեան մէջ թող թեւաւոր թռչուններ լինեն » : Եւ եղաւ այդպէս : "
b.GEN.1.21,"And God created great whales , and every living creature that moveth , which the waters brought forth abundantly , after their kind , and every winged fowl after his kind : and God saw that it was good . ",b.GEN.1.21,"Աստուած ստեղծեց խոշոր կէտեր , կենդանութեան շունչ ունեցող ամէն տեսակ զեռուններ , որ արտադրեցին ջրերն ըստ տեսակների , եւ ամէն տեսակ թեւաւոր թռչուններ ՝ ըստ տեսակների : Աստուած տեսաւ , որ լաւ է : "
b.GEN.1.22,"And God blessed them , saying , Be fruitful , and multiply , and fill the waters in the seas , and let fowl multiply in the earth . ",b.GEN.1.22,"Աստուած օրհնեց դրանց ու ասաց . « Աճեցէ ՛ ք , բազմացէ ՛ ք եւ լցրէ ՛ ք ծովերի ջրերը , իսկ թռչունները թող բազմանան երկրի վրայ » : "
b.GEN.1.23,And the evening and the morning were the fifth day . ,b.GEN.1.23,"Եւ եղաւ երեկոյ , եւ եղաւ առաւօտ ՝ օր հինգերորդ : "
b.GEN.1.24,"And God said , Let the earth bring forth the living creature after his kind , cattle , and creeping thing , and beast of the earth after his kind : and it was so . ",b.GEN.1.24,"Աստուած ասաց . « Թող երկիրն արտադրի չորքոտանի կենդանիներ իրենց տեսակներով , սողուններ եւ գազաններ իրենց տեսակներով » : Եւ եղաւ այդպէս : "
b.GEN.1.25,"And God made the beast of the earth after his kind , and cattle after their kind , and every thing that creepeth upon the earth after his kind : and God saw that it was good . ",b.GEN.1.25,"Աստուած ստեղծեց երկրի գազաններն իրենց տեսակներով , անասուններն իրենց տեսակներով եւ երկրի բոլոր սողուններն իրենց տեսակներով : Աստուած տեսաւ , որ դրանք լաւ են : "
b.GEN.1.26,"And God said , Let us make man in our image , after our likeness : and let them have dominion over the fish of the sea , and over the fowl of the air , and over the cattle , and over all the earth , and over every creeping thing that creepeth upon the earth . ",b.GEN.1.26,"Աստուած ասաց . « Մարդ ստեղծենք մեր կերպարանքով ու նմանութեամբ , նա թող իշխի ծովի ձկների , երկնքի թռչունների , ողջ երկրի անասունների եւ երկրի վրայ սողացող բոլոր սողունների վրայ » : "
