sent_id,text,sent_id2,text2
b.MAT.1.1,"The book of the generation of Jesus Christ , the son of David , the son of Abraham . ",b.MAT.1.1,"IESVS CHRIST Dauid - en semearen , Abrahamen semearen generationeco Liburuä . "
b.MAT.1.2,Abraham begat Isaac ; and Isaac begat Jacob ; and Jacob begat Judas and his brethren ; ,b.MAT.1.2,Abrahamec engendra ceçan Isaac . Eta Isaac - ec engendra ceçan Iacob . Eta Iacob - ec engendra citzan Iuda eta haren anayeac . 
b.MAT.1.3,And Judas begat Phares and Zara of Thamar ; and Phares begat Esrom ; and Esrom begat Aram ; ,b.MAT.1.3,Eta Iudac engendra citzan Phares eta Zara Thamarganic . Eta Pharesec engendra ceçan Esrom . Eta Esromec engendra ceçan Aram . 
b.MAT.1.4,And Aram begat Aminadab ; and Aminadab begat Naasson ; and Naasson begat Salmon ; ,b.MAT.1.4,Eta Aramec engendra ceçan Aminadab . Eta Aminadab - ec engendra ceçan Naasson . Eta Naassonec engendra ceçan Salmon . 
b.MAT.1.5,And Salmon begat Booz of Rachab ; and Booz begat Obed of Ruth ; and Obed begat Jesse ; ,b.MAT.1.5,Eta Salmonec engendra ceçan Booz Rachabganic . Eta Boozec engendra ceçan Obed Ruthganic . Eta Obed - ec engendra ceçan Iesse . 
b.MAT.1.6,And Jesse begat David the king ; and David the king begat Solomon of her that had been the wife of Urias ; ,b.MAT.1.6,Eta Iessec engendra ceçan Dauid reguea . Eta Dauid regueac engendra ceçan Salomon Vriasen emazte içanaganic . 
b.MAT.1.7,And Solomon begat Roboam ; and Roboam begat Abia ; and Abia begat Asa ; ,b.MAT.1.7,Eta Salomonec engendra ceçan Roboam . Eta Roboamec engendra ceçan Abia . Eta Abiac engendra ceçan Asa . 
b.MAT.1.8,And Asa begat Josaphat ; and Josaphat begat Joram ; and Joram begat Ozias ; ,b.MAT.1.8,Eta Asac engendra ceçan Iosaphat . Eta Iosaphatec engendra ceçan Ioram . Eta Ioramec engendra ceçan Ozias . 
b.MAT.1.9,And Ozias begat Joatham ; and Joatham begat Achaz ; and Achaz begat Ezekias ; ,b.MAT.1.9,Eta Oziasec engendra ceçan Ioatham . Eta Ioathamec engendra ceçan Achaz . Eta Achazec engendra ceçan Ezechias . 
b.MAT.1.10,And Ezekias begat Manasses ; and Manasses begat Amon ; and Amon begat Josias ; ,b.MAT.1.10,Eta Ezechiasec engendra ceçan Manasse . Eta Manassec engendra ceçan Amon . Eta Amonec engendra ceçan Iosias . 
