sent_id,text,sent_id2,text2
b.MAT.1.1,"The book of the generation of Jesus Christ , the son of David , the son of Abraham . ",b.MAT.1.1,"Jesús ñacami “ Rotimu ̶ oru ̃ ̶ gõru ̶ cu ̶ ja mu ̶ ” yigu ̶ , Dios i ̃ cõar ' i , Abraham ñamasir ' i , to yicõari , U ̶ ju ̶ David ñamasir ' i jãnami . Tire mu ̶ a masisere bojagu ̶ ñari , i ̃ ñicu ̶ a vãmere mu ̶ are gotigu ̶ agu ̶ yaja yu ̶ . Ado bajiro vãme cu ̶ timasiñujarã i ̃ na : "
b.MAT.1.2,Abraham begat Isaac ; and Isaac begat Jacob ; and Jacob begat Judas and his brethren ; ,b.MAT.1.2,"Abraham ñamasir ' i macu ̶ ñamasiñuju Isaac . Isaac macu ̶ ñamasiñuju Jacob . Jacob macu ̶ ñamasiñuju Judá . To yicõari , gãjerã i ̃ bederã que ̃ ne ñamasiñujarã . "
b.MAT.1.3,And Judas begat Phares and Zara of Thamar ; and Phares begat Esrom ; and Esrom begat Aram ; ,b.MAT.1.3,"Judá ri ̃ a Fares , to yicõari , Zara ñamasiñujarã . I ̃ na jaco ñamasiñuju Tamar . Fares macu ̶ ñamasiñuju Esrom . Esrom macu ̶ ñamasiñuju Aram . "
b.MAT.1.4,And Aram begat Aminadab ; and Aminadab begat Naasson ; and Naasson begat Salmon ; ,b.MAT.1.4,Aram macu ̶ ñamasiñuju Aminadab . Aminadab macu ̶ ñamasiñuju Naasón . Naasón macu ̶ ñamasiñuju Salmón . 
b.MAT.1.5,And Salmon begat Booz of Rachab ; and Booz begat Obed of Ruth ; and Obed begat Jesse ; ,b.MAT.1.5,Salmón macu ̶ ñamasiñuju Booz . I ̃ jaco ñamasiñuju Rahab . Booz macu ̶ ñamasiñuju Obed . I ̃ jaco ñamasiñuju Rut . Obed macu ̶ ñamasiñuju Isa ' i . 
b.MAT.1.6,And Jesse begat David the king ; and David the king begat Solomon of her that had been the wife of Urias ; ,b.MAT.1.6,Isa ' i macu ̶ ñamasiñuju U ̶ ju ̶ David vãme cu ̶ tigu ̶ . David macu ̶ ñamasiñuju Salomón . I ̃ jaco ñamasiñuju Ur ' ias ñamasir ' i manajo . 
b.MAT.1.7,And Solomon begat Roboam ; and Roboam begat Abia ; and Abia begat Asa ; ,b.MAT.1.7,Salomón macu ̶ ñamasiñuju Roboam . Roboam macu ̶ ñamasiñuju Ab ' ias . Ab ' ias macu ̶ ñamasiñuju Asa . 
b.MAT.1.8,And Asa begat Josaphat ; and Josaphat begat Joram ; and Joram begat Ozias ; ,b.MAT.1.8,Asa macu ̶ ñamasiñuju Josafat . Josafat macu ̶ ñamasiñuju Joram . Joram macu ̶ ñamasiñuju Uz ' ias . 
b.MAT.1.9,And Ozias begat Joatham ; and Joatham begat Achaz ; and Achaz begat Ezekias ; ,b.MAT.1.9,Uz ' ias macu ̶ ñamasiñuju Jotam . Jotam macu ̶ ñamasiñuju Acaz . Acaz macu ̶ ñamasiñuju Ezequ ' ias . 
b.MAT.1.10,And Ezekias begat Manasses ; and Manasses begat Amon ; and Amon begat Josias ; ,b.MAT.1.10,Ezequ ' ias macu ̶ ñamasiñuju Manasés . Manasés macu ̶ ñamasiñuju Amón . Amón macu ̶ ñamasiñuju Jos ' ias . 
