sent_id,text,sent_id2,text2
b.MAT.1.1,"The book of the generation of Jesus Christ , the son of David , the son of Abraham . ",b.MAT.1.1,"Re wuj ri nuchop el waweˈ , jun wuj ri tzˈibatal wi ca ri quibiˈ ri ye ojer tak ratiˈt rumamaˈ ri Jesucristo . Can nikˈalajin wi cˈa chi Riyaˈ can jun chique ri ye ralcˈual ca ri rey David , y can ralcˈual ca chukaˈ ri Abraham . "
b.MAT.1.2,Abraham begat Isaac ; and Isaac begat Jacob ; and Jacob begat Judas and his brethren ; ,b.MAT.1.2,Ri Abraham yariˈ ri xalcˈualan ri Isaac ; ri Isaac xralcˈualaj ri Jacob ; ri Jacob xralcˈualaj ri Judá y ri nicˈaj chic rachˈalal . 
b.MAT.1.3,And Judas begat Phares and Zara of Thamar ; and Phares begat Esrom ; and Esrom begat Aram ; ,b.MAT.1.3,Yacˈa ri Judá y ri Tamar ri rixjayil xecalcˈualaj ri Fares y ri Zara ; yacˈa ri Fares ri xalcˈualan ri Esrom ; y ri Esrom xralcˈualaj ri Aram . 
b.MAT.1.4,And Aram begat Aminadab ; and Aminadab begat Naasson ; and Naasson begat Salmon ; ,b.MAT.1.4,Y ri Aram xralcˈualaj ri Aminadab ; ri Aminadab xralcˈualaj ri Naasón ; y ri Naasón xralcˈualaj ri Salmón . 
b.MAT.1.5,And Salmon begat Booz of Rachab ; and Booz begat Obed of Ruth ; and Obed begat Jesse ; ,b.MAT.1.5,Y ri Salmón y ri Rahab ri rixjayil xcalcˈualaj ri Booz ; ri Booz y ri Rut ri rixjayil xcalcˈualaj ri Obed ; y ri Obed xralcˈualaj ri Isaí . 
b.MAT.1.6,And Jesse begat David the king ; and David the king begat Solomon of her that had been the wife of Urias ; ,b.MAT.1.6,"Y ri Isaí xralcˈualaj ri David ri xoc jun rey ; y ri rey David xralcˈualaj ri Salomón . Y ri ruteˈ ri Salomón , ya ri rixjayil ca ri Urías . "
b.MAT.1.7,And Solomon begat Roboam ; and Roboam begat Abia ; and Abia begat Asa ; ,b.MAT.1.7,Yacˈa ri Salomón xralcˈualaj ri Roboam ; ri Roboam xralcˈualaj ri Abías ; y ri Abías xralcˈualaj ri Asa . 
b.MAT.1.8,And Asa begat Josaphat ; and Josaphat begat Joram ; and Joram begat Ozias ; ,b.MAT.1.8,Y ri Asa xralcˈualaj ri Josafat ; ri Josafat xralcˈualaj ri Joram ; y ri Joram xralcˈualaj ri Uzías . 
b.MAT.1.9,And Ozias begat Joatham ; and Joatham begat Achaz ; and Achaz begat Ezekias ; ,b.MAT.1.9,Y ri Uzías xralcˈualaj ri Jotam ; ri Jotam xralcˈualaj ri Acaz ; y ri Acaz xralcˈualaj ri Ezequías . 
b.MAT.1.10,And Ezekias begat Manasses ; and Manasses begat Amon ; and Amon begat Josias ; ,b.MAT.1.10,Y ri Ezequías xralcˈualaj ri Manasés ; ri Manasés xralcˈualaj ri Amón ; y ri Amón xralcˈualaj ri Josías . 
b.MAT.1.11,"And Josias begat Jechonias and his brethren , about the time they were carried away to Babylon : ",b.MAT.1.11,Y ri Josías xralcˈualaj ri Jeconías y ri ye nicˈaj chic rachˈalal ri Jeconías . Y ya tiempo riˈ tek ri kech aj Israel xechapatej el y xeˈucˈuex cˈa pa Babilonia . 
b.MAT.1.12,"And after they were brought to Babylon , Jechonias begat Salathiel ; and Salathiel begat Zorobabel ; ",b.MAT.1.12,"Y tek yecˈo chic chiriˈ pa Babilonia , ri Jeconías xralcˈualaj ri Salatiel ; y ri Salatiel xralcˈualaj ri Zorobabel . "
b.MAT.1.13,And Zorobabel begat Abiud ; and Abiud begat Eliakim ; and Eliakim begat Azor ; ,b.MAT.1.13,Y ri Zorobabel xralcˈualaj ri Abiud ; ri Abiud xralcˈualaj ri Eliaquim ; y ri Eliaquim xralcˈualaj ri Azor . 
