sent_id,text,sent_id2,text2
b.PSA.1.1,"Blessed is the man that walketh not in the counsel of the ungodly , nor standeth in the way of sinners , nor sitteth in the seat of the scornful . ",b.PSA.1.1,"DICHOSO y taotao , ni ti mamomocat gui pinagat y manaelaye , ni y ti sumasaga gui chalan manisao , ni y ti matatachong gui siyan ayo sija y manmanmofefea . "
b.PSA.1.2,But his delight is in the law of the LORD ; and in his law doth he meditate day and night . ,b.PSA.1.2,"Lao guiya lay Jeova , ayo y minagofña , ya y layña jajaso , jaane yan puenge . "
b.PSA.1.3,"And he shall be like a tree planted by the rivers of water , that bringeth forth his fruit in his season ; his leaf also shall not wither ; and whatsoever he doeth shall prosper . ",b.PSA.1.3,"Ya taegüijeja y trongcon jayo ni y matanme gui oriyan sadog , ya guaja tinegchaña gui tiempoña , ya y jagonña ti umalayo ; ya todo y finatinasña mumemegae . "
b.PSA.1.4,The ungodly are not so : but are like the chaff which the wind driveth away . ,b.PSA.1.4,Lao ti taegüine y manaelaye ; lao parejo yan y paja ni y güinaefe ni y manglo . 
b.PSA.1.5,"Therefore the ungodly shall not stand in the judgment , nor sinners in the congregation of the righteous . ",b.PSA.1.5,Sa enao na ti mangajujulo y manaelaye gui sentensia ; ni y manisao gui y inetnon manunas . 
b.PSA.1.6,For the LORD knoweth the way of the righteous : but the way of the ungodly shall perish . ,b.PSA.1.6,Sa si Jeova jatungo y chalan manunas : lao y chalan manaelaye ufanmalingo . 
b.PSA.2.1,"Why do the heathen rage , and the people imagine a vain thing ? ",b.PSA.2.1,"SA jafa na manlalalo y nasion sija , ya y taotao sija manmanjaso y banida ? "
b.PSA.2.2,"The kings of the earth set themselves , and the rulers take counsel together , against the LORD , and against his anointed , saying , ",b.PSA.2.2,"Manotojgue y ray sija gui tano , ya y prinsipe sija manafaesen entalo sija contra si Jeova , yan contra y pinalaeña , ilegñija : "
b.PSA.2.3,"Let us break their bands asunder , and cast away their cords from us . ",b.PSA.2.3,"Nita yulang y guinideña , ya nasuja guiya jita y godeña . "
b.PSA.2.4,He that sitteth in the heavens shall laugh : the Lord shall have them in derision . ,b.PSA.2.4,Ya y sumasaga gui langet uchumachaleg : ya y Señot jamofefea sija . 
b.PSA.2.5,"Then shall he speak unto them in his wrath , and vex them in his sore displeasure . ",b.PSA.2.5,Ayo nae cumuentos yan sija yan y linalaloña : ya y binibuña ninafañatsaga sija . 
b.PSA.2.6,Yet have I set my king upon my holy hill of Zion . ,b.PSA.2.6,"Lao guajo japolo y rayjo gui jilo Sion , gui santos na egsojo . "
b.PSA.2.7,"I will declare the decree : the LORD hath said unto me , Thou art my Son ; this day have I begotten thee . ",b.PSA.2.7,Guajo bae jusangan y tinagojo : si Jeova ilegña nu guajo : Lajijo jao ; ya guajo julilis jao pago na jaane . 
b.PSA.2.8,"Ask of me , and I shall give thee the heathen for thine inheritance , and the uttermost parts of the earth for thy possession . ",b.PSA.2.8,"Gagaoyo ya guajo junaejao ni y nasion sija pot y erensiamo ya y uttimon patte y tano , uiyomo . "
b.PSA.2.9,Thou shalt break them with a rod of iron ; thou shalt dash them in pieces like a potter ' s vessel . ,b.PSA.2.9,Ya unyulang sija ni y baran lulog ; taegüije y bason y yero unyogyog sija . 
b.PSA.2.10,"Be wise now therefore , O ye kings : be instructed , ye judges of the earth . ",b.PSA.2.10,"Ya pago , tingo , O ray sija : resibe finanagüe , jamyo man jues gui tano . "
b.PSA.2.11,"Serve the LORD with fear , and rejoice with trembling . ",b.PSA.2.11,"Setbe si Jeova ni y minaañao , yan fanmagof ni minayengyong . "
b.PSA.2.12,"Kiss the Son , lest he be angry , and ye perish from the way , when his wrath is kindled but a little . Blessed are all they that put their trust in him . ",b.PSA.2.12,"Chico y laje , no sea ulalálalo , ya unfanmalingo jamyo gui chalan , sa gusisija y linalaloña sinenggue . Mandichoso todos y umangoco sija guiya güiya . "
b.PSA.3.1,"LORD , how are they increased that trouble me ! many are they that rise up against me . ",b.PSA.3.1,"JEOVA , jafa muna manlajyan y enimigujo ! Megae mangajulo contra guajo . "
b.PSA.3.2,"Many there be which say of my soul , There is no help for him in God . Selah . ",b.PSA.3.2,"Megae umaalog ni y antijo : Taya inayuda para güiya , gui as Yuus . Sila . "
b.PSA.3.3,"But thou , O LORD , art a shield for me ; my glory , and the lifter up of mine head . ",b.PSA.3.3,"Lao jago , O Jeova , jago y patang gui oriyajo ; y minalagjo yan ayo ni y janacajulo y ilujo . "
b.PSA.3.4,"I cried unto the LORD with my voice , and he heard me out of his holy hill . Selah . ",b.PSA.3.4,"Ya y inagangjo juagang si Jeova , ya güiyaja umopeyo gui santos na ogsoña . Sila . "
b.PSA.3.5,I laid me down and slept ; I awaked ; for the LORD sustained me . ,b.PSA.3.5,Bae juason ya maegoyo ; ya magmatayo ; sa si Jeova gumuguutyo . 
b.PSA.3.6,"I will not be afraid of ten thousands of people , that have set themselves against me round about . ",b.PSA.3.6,"Ti maañaoyo nu y dies mit na taotao , ni y mapolo sija gui oriyajo contra guajo . "
b.PSA.3.7,"Arise , O LORD ; save me , O my God : for thou hast smitten all mine enemies upon the cheek bone ; thou hast broken the teeth of the ungodly . ",b.PSA.3.7,"Cajulo , O Jeova ; nalibre yo , O Yuusso : sa jago manalamen todo y enimigujo ni y guijadas ; y nifen y manaelaye unyamag . "
b.PSA.3.8,Salvation belongeth unto the LORD : thy blessing is upon thy people . Selah . ,b.PSA.3.8,Gui as Jeova nae gaegue y satbasion : ya y taotaomo nae gaegue y bendisonmo . Sila . 
b.PSA.4.1,"Hear me when I call , O God of my righteousness : thou hast enlarged me when I was in distress ; have mercy upon me , and hear my prayer . ",b.PSA.4.1,"ANAE juagangjao , opeyo , O Yuus y tininasso : anae chatsagayo jago munadangculoyo : maase nu guajo ya jungog y tinaetaejo . "
b.PSA.4.2,"O ye sons of men , how long will ye turn my glory into shame ? how long will ye love vanity , and seek after leasing ? Selah . ",b.PSA.4.2,"Jamyo , famaguon taotao , asta ñgaean nae innanalo y onraco gui minamajlao ? Asta ñgaean yanmiyo y banida ya inaliligao y dinague ? Sila . "
b.PSA.4.3,But know that the LORD hath set apart him that is godly for himself : the LORD will hear when I call unto him . ,b.PSA.4.3,"Tingoja , na si Jeova japolo apatte y deboto para güiya namaesa : si Jeova jajungog yo , anae juagang güe . "
b.PSA.4.4,"Stand in awe , and sin not : commune with your own heart upon your bed , and be still . Selah . ",b.PSA.4.4,"Fangalamten ya chatmiyo faniisao : fanmanjaso nu y corasonmiyo gui jilo camanmiyo , ya famacaca . Sila . "
b.PSA.4.5,"Offer the sacrifices of righteousness , and put your trust in the LORD . ",b.PSA.4.5,Nae y tunas na inefresen ya angoco si Jeova . 
b.PSA.4.6,"There be many that say , Who will shew us any good ? LORD , lift thou up the light of thy countenance upon us . ",b.PSA.4.6,"Megae umaalog : Jaye ufanuejit jafa minauleg ? Jatsa gui jilonmame , O Jeova , y minalag y matamo . "
b.PSA.4.7,"Thou hast put gladness in my heart , more than in the time that their corn and their wine increased . ",b.PSA.4.7,"Jago numae minagof y corasonjo , megaeña qui uguaja sija anae umemegae y maeisñija yan y binoñija . "
b.PSA.4.8,"I will both lay me down in peace , and sleep : for thou , LORD , only makest me dwell in safety . ",b.PSA.4.8,"Ya y pas nae umason yo ya taegüijeja maegoyo : sa jagoja Jeova , unnasagayo seguro . "
b.PSA.5.1,"Give ear to my words , O LORD , consider my meditation . ",b.PSA.5.1,"JUNGOG , O Jeova , y sinanganjo , ecungog y jinasoco . "
b.PSA.5.2,"Hearken unto the voice of my cry , my King , and my God : for unto thee will I pray . ",b.PSA.5.2,"Ecungog y vos y inagangjo , Ray jo , yan Yuusso : sa jago jutaetaetaye . "
b.PSA.5.3,"My voice shalt thou hear in the morning , O LORD ; in the morning will I direct my prayer unto thee , and will look up . ",b.PSA.5.3,"O Jeova , y egaan unjungog y vosso ; y egaan juguaguato y tinaetaejo guiya jago , ya jubébela . "
b.PSA.5.4,For thou art not a God that hath pleasure in wickedness : neither shall evil dwell with thee . ,b.PSA.5.4,Sa ti jago na Yuus ni y gumaeya y tinaelaye : y taelaye ti usaga guiya jago . 
b.PSA.5.5,The foolish shall not stand in thy sight : thou hatest all workers of iniquity . ,b.PSA.5.5,Ti manasaga y mangaduco gui menan matamo : ya ti yamo todo y fumatitinas y taelaye . 
b.PSA.5.6,Thou shalt destroy them that speak leasing : the LORD will abhor the bloody and deceitful man . ,b.PSA.5.6,"Jago yumulang y manguecuentos mandague : ya y taotao cajâgâ yan y dinague , si Jeova jaguefchatlie . "
b.PSA.5.7,"But as for me , I will come into thy house in the multitude of thy mercy : and in thy fear will I worship toward thy holy temple . ",b.PSA.5.7,"Ya guajoja , yan y megagae y minaasemo , bae jalom gui guimamo : ya juadora anae juatan y santo templomo ni y ninamaañaomo . "
b.PSA.5.8,"Lead me , O LORD , in thy righteousness because of mine enemies ; make thy way straight before my face . ",b.PSA.5.8,"O Jeova , esgaejonyo gui tininasmo , pot causa ya enimigujo ; natunas gui menajo y chalanmo . "
b.PSA.5.9,For there is no faithfulness in their mouth ; their inward part is very wickedness ; their throat is an open sepulchre ; they flatter with their tongue . ,b.PSA.5.9,Sa taya finitme gui pachotñija ; ya sanjalomñija senmanaelaye : naftan mababa y agagañija ; yan y jilañija finande : 
b.PSA.5.10,"Destroy thou them , O God ; let them fall by their own counsels ; cast them out in the multitude of their transgressions ; for they have rebelled against thee . ",b.PSA.5.10,"Condena sija , O Yuus , polo y ufamodong pot y pinagatñija : gui minegae y isaoñija nasuja sija sa managuaguat contra jago . "
b.PSA.5.11,"But let all those that put their trust in thee rejoice : let them ever shout for joy , because thou defendest them : let them also that love thy name be joyful in thee . ",b.PSA.5.11,"Nafanmagof todos y umangngocojao , polo para taejinecog ya ufanagang pot y minagofñija sa undefiende sija , polo ya ufanmagof ni jago , y gumaeya y naanmo . "
b.PSA.5.12,"For thou , LORD , wilt bless the righteous ; with favour wilt thou compass him as with a shield . ",b.PSA.5.12,"Sa jago bumendise y manunas ; O Jeova , parejoja yan un patang unpolo gui oriyaña y finaborese . "
b.PSA.6.1,"O LORD , rebuke me not in thine anger , neither chasten me in thy hot displeasure . ",b.PSA.6.1,JEOVA chamoyo lumalalatde ni y binibumo : chamoyo cumastitiga nu y dangculo na linalalomo . 
b.PSA.6.2,"Have mercy upon me , O LORD ; for I am weak : O LORD , heal me ; for my bones are vexed . ",b.PSA.6.2,"Gaease nu guajo , O Jeova , sa estagüe yo namasogsog : amte yo , O Jeova , sa y tolangjo esta mananatchatsaga . "
b.PSA.6.3,"My soul is also sore vexed : but thou , O LORD , how long ? ",b.PSA.6.3,"Ya y antijo esta senchatsaga : Ya jago , O Jeova , asta ngaean ? "
b.PSA.6.4,"Return , O LORD , deliver my soul : oh save me for thy mercies ' sake . ",b.PSA.6.4,"Nanalo , O Jeova , nalibre y antijo : satbayo pot causa y minaasemo . "
b.PSA.6.5,For in death there is no remembrance of thee : in the grave who shall give thee thanks ? ,b.PSA.6.5,Sa y finatae nae taya jinaso guiya jago : ya y naftan nae jaye numannae jao grasias ? 
b.PSA.6.6,I am weary with my groaning ; all the night make I my bed to swim ; I water my couch with my tears . ,b.PSA.6.6,Yayasyo nu y todo y siningonjo : todo y puenge junamamaya y camajo ni lagojo : junafotgon y catreco nu y lagojo . 
b.PSA.6.7,Mine eye is consumed because of grief ; it waxeth old because of all mine enemies . ,b.PSA.6.7,Y atadogjo esta magasta nu y pinite : ninafanbijo pot todo ayo y munachachatsaga yo . 
b.PSA.6.8,"Depart from me , all ye workers of iniquity ; for the LORD hath heard the voice of my weeping . ",b.PSA.6.8,Nafanjanao guiya guajo todo ayo y fumatitinas y taelaye : sa si Jeova jajungog y vos y casaojo . 
b.PSA.6.9,The LORD hath heard my supplication ; the LORD will receive my prayer . ,b.PSA.6.9,Si Jeova jajungog y guinagaojo : si Jeova uresibe y tinaetaejo . 
b.PSA.6.10,Let all mine enemies be ashamed and sore vexed : let them return and be ashamed suddenly . ,b.PSA.6.10,"Manmamajlao ya ninafañatsaga megae , todo y enimigujo : sija manalo , sija manmamajlao gusise . "
b.PSA.7.1,"O Lord my God , in thee do I put my trust : save me from all them that persecute me , and deliver me : ",b.PSA.7.1,"O Jeova , Yuusso , yya jago nae gaegue y inangococo : Satbayo todo gui pumetsisigue yo , ya nalibre yo . "
b.PSA.7.2,"Lest he tear my soul like a lion , rending it in pieces , while there is none to deliver . ",b.PSA.7.2,"Para chaña pumedasitos y antijo taegüije y leon , ni jayulang , anae taya jaye uninalibre . "
b.PSA.7.3,"O LORD my God , if I have done this ; if there be iniquity in my hands ; ",b.PSA.7.3,"O Jeova , Yuusso , yaguin jufatinas este : yaguin guaja gui canaejo taelaye ; "
b.PSA.7.4,"If I have rewarded evil unto him that was at peace with me ; ( yea , I have delivered him that without cause is mine enemy : ) ",b.PSA.7.4,"Yan juapase taelaye y sumaga guiya guajo yan pas , ( magajet na junalibre y pumetsisigue yo pot taya causa : ) "
b.PSA.7.5,"Let the enemy persecute my soul , and take it ; yea , let him tread down my life upon the earth , and lay mine honour in the dust . Selah . ",b.PSA.7.5,"Japetsisigue y enimigujo y antijo , ya jachule ; magajet , na jagacha gui tano y jaanijo : ya y onraco japolo gui eda . Sila . "
b.PSA.7.6,"Arise , O LORD , in thine anger , lift up thyself because of the rage of mine enemies : and awake for me to the judgment that thou hast commanded . ",b.PSA.7.6,"Cajulo , O Jeova , yan y linalalomo ; jatsa namaesa contra y binibon y munachachatsagayo : ya magmata pot guajo untago y sentensia . "
b.PSA.7.7,So shall the congregation of the people compass thee about : for their sakes therefore return thou on high . ,b.PSA.7.7,Polo ya y inetnon taotao unineriyaye jao : ya gui san jiloñija natalo jao guato gui san jilo . 
b.PSA.7.8,"The LORD shall judge the people : judge me , O LORD , according to my righteousness , and according to mine integrity that is in me . ",b.PSA.7.8,"Si Jeova jajusga y taotao : jusgayo , O Jeova , taemanoja y tininasso : taemanoja y minaulegmo ni y gaegue guiya guajo . "
b.PSA.7.9,Oh let the wickedness of the wicked come to an end ; but establish the just : for the righteous God trieth the hearts and reins . ,b.PSA.7.9,"Polo ya ujocog y taelayen manaelaye , lao nafitme y manunas : sa si Yuus , ni tinas , jachachague y corason yan y jinaso gui sanjalom . "
b.PSA.7.10,"My defence is of God , which saveth the upright in heart . ",b.PSA.7.10,"Y patangjo gaegue gui as Yuus , güiya munalibre y manunas gui corason . "
b.PSA.7.11,"God judgeth the righteous , and God is angry with the wicked every day . ",b.PSA.7.11,Si Yuus y tinas na jues : magajet na si Yuus lalalalo todo na jaane . 
b.PSA.7.12,"If he turn not , he will whet his sword ; he hath bent his bow , and made it ready . ",b.PSA.7.12,"Yaguin y taotao ti jabira güe , güiya janamalagtos y espadaña : janaregla y atcosña ya janalisto . "
b.PSA.7.13,He hath also prepared for him the instruments of death ; he ordaineth his arrows against the persecutors . ,b.PSA.7.13,Ya jafatinas para güiya y atmas y finatae : janafañila y flechaña . 
b.PSA.7.14,"Behold , he travaileth with iniquity , and hath conceived mischief , and brought forth falsehood . ",b.PSA.7.14,Estagüe na uguaja piniten mañago tinaelaye : magajet na mapotgue y inacacha ya mañago dinague . 
b.PSA.7.15,"He made a pit , and digged it , and is fallen into the ditch which he made . ",b.PSA.7.15,"Jaguadog y tipo , ya janatadong : ya esta podong gui joyo na y finatinasñaja . "
b.PSA.7.16,"His mischief shall return upon his own head , and his violent dealing shall come down upon his own pate . ",b.PSA.7.16,Polo ya y inacachaña ubira güi jilo y iluña : ya y binibuña upodong gui jilo cácagongña . 
b.PSA.7.17,I will praise the LORD according to his righteousness : and will sing praise to the name of the LORD most high . ,b.PSA.7.17,Bae junae si Jeova gracias taemanoja y tininasña : ya jucantaye ni y tinina y naan Jeova Gueftaquilo . 
b.PSA.8.1,"O LORD our Lord , how excellent is thy name in all the earth ! who hast set thy glory above the heavens . ",b.PSA.8.1,"O Jeova , Señotmame , jafa muna mauleg y naanmo gui todo y tano : ni y unpolo y minalagmo gui jilo y langet . "
b.PSA.8.2,"Out of the mouth of babes and sucklings hast thou ordained strength because of thine enemies , that thou mightest still the enemy and the avenger . ",b.PSA.8.2,Guinin pachot y mandiquique yan y mañususo nae unpolo y minetgot ? Pot y enimigumo sija : sa para unnasuja y enimigo yan y umeemog . 
b.PSA.8.3,"When I consider thy heavens , the work of thy fingers , the moon and the stars , which thou hast ordained ; ",b.PSA.8.3,"Anae julie y langetmo , ni y checho y calolotmo , y pilan yan y pution , ni jago pumolo ; "
b.PSA.8.4,"What is man , that thou art mindful of him ? and the son of man , that thou visitest him ? ",b.PSA.8.4,"Jaye y taotao , para uguaja guiya güiya jinaso ? yan lajin taotao para ubinesita güe . "
b.PSA.8.5,"For thou hast made him a little lower than the angels , and hast crowned him with glory and honour . ",b.PSA.8.5,"Sa unfatinas didide diquiqueña qui y angjeles , ya uncorona güe ni y minalag yan inenra . "
b.PSA.8.6,Thou madest him to have dominion over the works of thy hands ; thou hast put all things under his feet : ,b.PSA.8.6,Unnafanmagas todo ni checho y canaemo : todo unpolo gui papa y adengña . 
b.PSA.8.7,"All sheep and oxen , yea , and the beasts of the field ; ",b.PSA.8.7,Y quinilo yan y nobiyo todo ayo : taegüenaoja y gâgâ ni gaegue gui fangualuan . 
b.PSA.8.8,"The fowl of the air , and the fish of the sea , and whatsoever passeth through the paths of the seas . ",b.PSA.8.8,"Y pajaro gui langet , yan y güijan gui tase : ya jafaja ni manmalolofan gui chalan y tase . "
b.PSA.8.9,"O LORD our Lord , how excellent is thy name in all the earth ! ",b.PSA.8.9,"O Jeova , Señotmame : jafa muna mauleg y naanmo gui todo y tano . "
b.PSA.9.1,"I will praise thee , O LORD , with my whole heart ; I will shew forth all thy marvellous works . ",b.PSA.9.1,BAE junae grasias si Jeova contodo y corasonjo : bae jufanue todo ni ninamanman na chechomo . 
b.PSA.9.2,"I will be glad and rejoice in thee : I will sing praise to thy name , O thou most High . ",b.PSA.9.2,"Bae jumagof , ya unnasenmagofyo guiya jago : jucantaye ni y tinina y naanmo O jago Gueftaquilo . "
b.PSA.9.3,"When mine enemies are turned back , they shall fall and perish at thy presence . ",b.PSA.9.3,"Anae y enimiguja unnabira sija tate : manbasnag , ya manmalingo gui menamo . "
b.PSA.9.4,For thou hast maintained my right and my cause ; thou satest in the throne judging right . ,b.PSA.9.4,"Sa jago fumatinas y jinasoco yan y causaco : unfatachong gui trono , ya unjusga y tinas . "
b.PSA.9.5,"Thou hast rebuked the heathen , thou hast destroyed the wicked , thou hast put out their name for ever and ever . ",b.PSA.9.5,"Guinin unlalatde y nasion sija , guinin unyulang y manaelaye , guinin unfunas y naanñija para siempre taejinecog . "
b.PSA.9.6,"O thou enemy , destructions are come to a perpetual end : and thou hast destroyed cities ; their memorial is perished with them . ",b.PSA.9.6,"Esta malachae y enimigo ; esta mayulang para siempre : yan y siuda ni y inyilang , y jinasoñija manachamalingo yan sija . "
b.PSA.9.7,But the LORD shall endure for ever : he hath prepared his throne for judgment . ,b.PSA.9.7,"Ya si Jeova sumaga calang ray para siempre , ya janalisto y tronuña para usentensia . "
b.PSA.9.8,"And he shall judge the world in righteousness , he shall minister judgment to the people in uprightness . ",b.PSA.9.8,"Ya güiya jumusga y tano ni tininas , ujajusga y taotao sija yan y minagajet . "
b.PSA.9.9,"The LORD also will be a refuge for the oppressed , a refuge in times of trouble . ",b.PSA.9.9,"Ya si Jeova locue y taquilo na tore para y manmachiguit , y taquilo na tore gui tiempon chinatsaga . "
b.PSA.9.10,"And they that know thy name will put their trust in thee : for thou , LORD , hast not forsaken them that seek thee . ",b.PSA.9.10,"Ya jaangoco sija guiya jago y tumungo y naanmo ; sa jago , Jeova , ti unyute ayo y umaliligao jao . "
b.PSA.9.11,"Sing praises to the LORD , which dwelleth in Zion : declare among the people his doings . ",b.PSA.9.11,Cantaye si Jeova ni y tinina ni sumasaga gui Sion : namatungo gui entalo taotao sija y checoña . 
b.PSA.9.12,"When he maketh inquisition for blood , he remembereth them : he forgetteth not the cry of the humble . ",b.PSA.9.12,Sa anae jacocobla y jâgâ jajaso sija : ya ti malefa ni inagang y mamoble . 
b.PSA.9.13,"Have mercy upon me , O LORD ; consider my trouble which I suffer of them that hate me , thou that liftest me up from the gates of death : ",b.PSA.9.13,"Gaease nu guajo , O Jeova ; atan y pinitejo ni jususungonja y chumatlie yo , jago y munacajulo yo gui pettan finatae : "
b.PSA.9.14,That I may shew forth all thy praise in the gates of the daughter of Zion : I will rejoice in thy salvation . ,b.PSA.9.14,Para jufamanue todo ni y tininamo gui trangcan y jagan Sion : ya umagof yo gui satbasionmo . 
b.PSA.9.15,The heathen are sunk down in the pit that they made : in the net which they hid is their own foot taken . ,b.PSA.9.15,"Unnafanmafondo y nasion gui joyo ni y finatinasñija : ya y casiyas nae ni janaaatog , y patasñija esta mangodon . "
b.PSA.9.16,The LORD is known by the judgment which he executeth : the wicked is snared in the work of his own hands . Higgaion . Selah . ,b.PSA.9.16,Si Jeova janamatungo güe ni y sentensia ni jafatinas ; ya jalaso y taelaye ni y checho y canaena : Jinaso . Sila . 
b.PSA.9.17,"The wicked shall be turned into hell , and all the nations that forget God . ",b.PSA.9.17,Ufanmanalo guato y manaelaye gui sasalaguan : yan todo y taotao ni manmalefa as Yuus . 
b.PSA.9.18,For the needy shall not alway be forgotten : the expectation of the poor shall not perish for ever . ,b.PSA.9.18,Sa ti para siempre umamalefanñaejon y nesesitao : ni y ninanggan y mamoble ufanmalingo para siempre . 
b.PSA.9.19,"Arise , O LORD ; let not man prevail : let the heathen be judged in thy sight . ",b.PSA.9.19,"Cajulo , O Jeova : chamo munamametgot y taotao : ya ufanmajusga y nasion gui menamo . "
b.PSA.9.20,"Put them in fear , O LORD : that the nations may know themselves to be but men . Selah . ",b.PSA.9.20,"Polo , O Jeova , y minaañao guiya sija : polo ya utungo y nasion na sija taotaoja . "
b.PSA.10.1,"Why standest thou afar off , O LORD ? why hidest thou thyself in times of trouble ? ",b.PSA.10.1,"JAFA na tumojgue jao na chago , O Jeova ? jafa na umatogjao gui tiempon chinatsaga . "
b.PSA.10.2,The wicked in his pride doth persecute the poor : let them be taken in the devices that they have imagined . ,b.PSA.10.2,Sa pot sobetbia y taelaye na japetsisigue y pebble ; ufanmachule gui finababa y manmajajaso . 
b.PSA.10.3,"For the wicked boasteth of his heart ' s desire , and blesseth the covetous , whom the LORD abhorreth . ",b.PSA.10.3,"Sa enao mina jatunanmaesagüe y taelaye , ni y minalago y antiña : ya y manlagga jarechasa ; junggan , jadespresia si Jeova . "
b.PSA.10.4,"The wicked , through the pride of his countenance , will not seek after God : God is not in all his thoughts . ",b.PSA.10.4,jasangan : Taya Yuus . 
b.PSA.10.5,"His ways are always grievous ; thy judgments are far above out of his sight : as for all his enemies , he puffeth at them . ",b.PSA.10.5,"Y chalanña chatsaga todo y tiempo ; y juisiomo goschago gui linieña : ya todo y enimiguña , güiya jaguaefe sija . "
b.PSA.10.6,"He hath said in his heart , I shall not be moved : for I shall never be in adversity . ",b.PSA.10.6,"Ilegña gui corasonña : Ti jucalamten : gui todo y generasion sija , ti jufalag y chinatsaga . "
b.PSA.10.7,His mouth is full of cursing and deceit and fraud : under his tongue is mischief and vanity . ,b.PSA.10.7,Y matdision bula y pachotña yan dinague yan chiniguit : y papa y jilaña inacacha yan tinaelaye . 
b.PSA.10.8,He sitteth in the lurking places of the villages : in the secret places doth he murder the innocent : his eyes are privily set against the poor . ,b.PSA.10.8,Gaegue matatachong y lugat ti matungo gui sengsong : ya y umatog na lugat japupuno y taeisao : y atadogña manaatanja contra y pebble . 
b.PSA.10.9,"He lieth in wait secretly as a lion in his den : he lieth in wait to catch the poor : he doth catch the poor , when he draweth him into his net . ",b.PSA.10.9,"Jananangga gui lugat ti matungo , taegüije y leon gui liyangña : jananangga para ucone y pebble : jacone y pebble anae jayotte ni y lasoña . "
