sent_id,text,sent_id2,text2
b.MAT.1.1,"The book of the generation of Jesus Christ , the son of David , the son of Abraham . ",b.MAT.1.1,I ̱ lab jaléngˈˋ ˈlɨɨ ˜ yʉ ́ ʉˈ ˜ quiáˈˉ Dseaˋ Jmáangˉ i ̱ lɨ ́ ɨngˊ sɨju ̱ ˇ ˈlɨɨ ˜ yʉ ́ ʉˈ ˜ dseata ˜ Davíˈˆ có ̱ o ̱ ˈ ˜ guɨ ˈlɨɨ ˜ yʉ ́ ʉˈ ˜ Abraham . 
b.MAT.1.2,Abraham begat Isaac ; and Isaac begat Jacob ; and Jacob begat Judas and his brethren ; ,b.MAT.1.2,Jo ̱ Abraham calɨsíˋ tiquiáˈˆ Isáaˊ jo ̱ Isáaˊ calɨsíˋ tiquiáˈˆ Jacóoˆ jo ̱ Jacóoˆ calɨsíˋ tiquiáˈˆ Judá có ̱ o ̱ ˈ ˜ jaléngˈˋ rúiñˈˋ . 
b.MAT.1.3,And Judas begat Phares and Zara of Thamar ; and Phares begat Esrom ; and Esrom begat Aram ; ,b.MAT.1.3,Jo ̱ Judá calɨsíˋ tiquiáˈˆ Fares có ̱ o ̱ ˈ ˜ guɨ Zara jo ̱ niquiáˈrˆ calɨsírˋ Tamar . Jo ̱ Fares calɨsíˋ tiquiáˈˆ Esrom jo ̱ Esrom calɨsíˋ tiquiáˈˆ Aram . 
b.MAT.1.4,And Aram begat Aminadab ; and Aminadab begat Naasson ; and Naasson begat Salmon ; ,b.MAT.1.4,Jo ̱ Aram calɨsíˋ tiquiáˈˆ Aminadab jo ̱ Aminadab calɨsíˋ tiquiáˈˆ Naasón jo ̱ Naasón calɨsíˋ tiquiáˈˆ Salmón . 
b.MAT.1.5,And Salmon begat Booz of Rachab ; and Booz begat Obed of Ruth ; and Obed begat Jesse ; ,b.MAT.1.5,Jo ̱ Salmón calɨsíˋ tiquiáˈˆ Booz jo ̱ guɨ niquiáˈrˆ calɨsírˋ Rahab . Jo ̱ Booz calɨsíˋ tiquiáˈˆ Obed jo ̱ guɨ niquiáˈrˆ calɨsíˋ Rut . Jo ̱ Obed calɨsíˋ tiquiáˈˆ Isaí . 
b.MAT.1.6,And Jesse begat David the king ; and David the king begat Solomon of her that had been the wife of Urias ; ,b.MAT.1.6,Jo ̱ guɨ Isaí calɨsíˋ tiquiáˈˆ i ̱ dseata ˜ Davíˈˆ jo ̱ íbˋ tiquiáˈˆ Salomón jo ̱ guɨ niquiáˈrˆ i ̱ calɨ ́ ngˉ dseamɨ ́ ˋ quiáˈˉ Urías . 
b.MAT.1.7,And Solomon begat Roboam ; and Roboam begat Abia ; and Abia begat Asa ; ,b.MAT.1.7,Jo ̱ Salomón calɨsíˋ tiquiáˈˆ Roboam jo ̱ Roboam calɨsíˋ tiquiáˈˆ Abías jo ̱ Abías calɨsíˋ tiquiáˈˆ Asa . 
b.MAT.1.8,And Asa begat Josaphat ; and Josaphat begat Joram ; and Joram begat Ozias ; ,b.MAT.1.8,Jo ̱ Asa calɨsíˋ tiquiáˈˆ Josafat jo ̱ Josafat calɨsíˋ tiquiáˈˆ Joram jo ̱ Joram calɨsíˋ tiquiáˈˆ Uzías . 
b.MAT.1.9,And Ozias begat Joatham ; and Joatham begat Achaz ; and Achaz begat Ezekias ; ,b.MAT.1.9,Jo ̱ Uzías calɨsíˋ tiquiáˈˆ Jotam jo ̱ Jotam calɨsíˋ tiquiáˈˆ Acaz jo ̱ Acaz calɨsíˋ tiquiáˈˆ Ezequías . 
b.MAT.1.10,And Ezekias begat Manasses ; and Manasses begat Amon ; and Amon begat Josias ; ,b.MAT.1.10,Jo ̱ Ezequías calɨsíˋ tiquiáˈˆ Manasés jo ̱ Manasés calɨsíˋ tiquiáˈˆ Amón jo ̱ Amón calɨsíˋ tiquiáˈˆ Josías . 
b.MAT.1.11,"And Josias begat Jechonias and his brethren , about the time they were carried away to Babylon : ",b.MAT.1.11,Jo ̱ Josías calɨsíˋ tiquiáˈˆ Jeconías có ̱ o ̱ ˈ ˜ jaléngˈˋ rúiñˈˋ . Jo ̱ ie ˜ jo ̱ b mɨ ˜ catǿˉ dseaˋ i ̱ seengˋ fɨˊ Babilonia fɨ ́ ɨngˊ dseaˋ Israel fɨˊ góorˋ e ˈñúuiñˈ ˜ do . 
