sent_id,text,sent_id2,text2
b.MAT.5.24,"Leave there thy gift before the altar , and go thy way ; first be reconciled to thy brother , and then come and offer thy gift . ",b.MAT.5.24,остави тоу даръ твои прѣдъ олътаремъ ꙇ шедъ прѣжде съмири сѧ съ братромъ своимъ и тогда пришедъ принеси даръ твои 
b.MAT.5.25,"Agree with thine adversary quickly , whiles thou art in the way with him ; lest at any time the adversary deliver thee to the judge , and the judge deliver thee to the officer , and thou be cast into prison . ",b.MAT.5.25,Бѫди оувѣщаѩ сѧ съ сѫпьремь своимь скоро доньдеже еси на пѫти съ нимь да не прѣдастъ тебе сѫдии ꙇ сѫдии тѧ прѣдастъ слоуѕѣ ꙇ въ темьницѫ въвръжетъ тѧ 
b.MAT.5.26,"Verily I say unto thee , Thou shalt by no means come out thence , till thou hast paid the uttermost farthing . ",b.MAT.5.26,аминь г ҃ лѭ тебѣ не изидеши отъ тѫдѣ доньдеже въздаси послѣдьнии кодрантъ 
b.MAT.5.27,"Ye have heard that it was said by them of old time , Thou shalt not commit adultery : ",b.MAT.5.27,Слꙑшасте ѣко речено бꙑ ⷭ ҇ древънимъ не прѣлюбꙑ сътвориши 
b.MAT.5.28,"But I say unto you , That whosoever looketh on a woman to lust after her hath committed adultery with her already in his heart . ",b.MAT.5.28,азъ же г ҃ лѭ вамъ ѣко вьсѣкъ иже вьзьритъ на женѫ съ похотиѭ юже любꙑ сътвори съ неѭ въ с ҃ рдци своемь 
b.MAT.5.29,"And if thy right eye offend thee , pluck it out , and cast it from thee : for it is profitable for thee that one of thy members should perish , and not that thy whole body should be cast into hell . ",b.MAT.5.29,аще же око твое десное съблажнаатъ тѧ ꙇзьми е и връзи отъ тебе оунѣе бо ти естъ да погꙑблетъ единъ оудъ твоихъ а не вьсе тѣло твое въвръжено бѫдетъ въ ꙉеонѫ 
b.MAT.5.30,"And if thy right hand offend thee , cut if off , and cast it from thee : for it is profitable for thee that one of thy members should perish , and not that thy whole body should be cast into hell . ",b.MAT.5.30,ꙇ аште десна твоѣ рѫка съблажнаатъ тѧ оусѣци ѭ и връзи отъ себе оунѣе бо ти естъ да погꙑблетъ единъ оудъ твоихъ а не вьсе тѣло твое идетъ въ ꙉеонѫ 
b.MAT.5.31,"It hath been said , Whosoever shall put away his wife , let him give her a writing of divorcement : ",b.MAT.5.31,речено же бꙑстъ ꙇже аште поуститъ женѫ своѭ да дастъ еи кънигꙑ распоустънꙑѩ 
b.MAT.5.32,"But I say unto you , That whosoever shall put away his wife , saving for the cause of fornication , causeth her to commit adultery : and whosoever shall marry her that is divorced committeth adultery . ",b.MAT.5.32,азъ же г ҃ лѭ вамъ ѣко вьсѣкъ поуштаѩи женѫ своѭ развѣ словесе любодѣинааго творитъ ѭ прѣлюбꙑ дѣати ꙇ иже подъпѣгѫ поемлетъ прѣлюбꙑ творитъ 
b.MAT.5.33,"Again , ye have heard that it hath been said by them of old time , Thou shalt not forswear thyself , but shalt perform unto the Lord thine oaths : ",b.MAT.5.33,пакꙑ слꙑшасте ѣко речено бꙑ ⷭ ҇ древьниимъ не въ лъжѫ клънеши сѧ въздаси же г ҃ ви клѧтвꙑ твоѩ 
b.MAT.5.34,"But I say unto you , Swear not at all ; neither by heaven ; for it is God ' s throne : ",b.MAT.5.34,азъ же г ҃ лѭ вамъ не клѧти сѧ отънѫдъ ни н ҃ бмь ѣко прѣстолъ естъ б ҃ жии 
b.MAT.5.35,Nor by the earth ; for it is his footstool : neither by Jerusalem ; for it is the city of the great King . ,b.MAT.5.35,ни землеѭ ҄ ѣко подъножие естъ ногама его ни и ҃ ерслмъмъ ѣко г ⷬ ҇ дъ естъ великааго ц ҃ срѣ 
b.MAT.5.36,"Neither shalt thou swear by thy head , because thou canst not make one hair white or black . ",b.MAT.5.36,ни главоѭ своеѭ клъни сѧ ѣко не можеши власа единого бѣла ли чръна сътворити 
b.MAT.5.37,"But let your communication be , Yea , yea ; Nay , nay : for whatsoever is more than these cometh of evil . ",b.MAT.5.37,бѫди же слово ваше еи ей ꙇ ҅ ни ни лихое бо сеѭ отъ неприѣзни естъ 
b.MAT.5.38,"Ye have heard that it hath been said , An eye for an eye , and a tooth for a tooth : ",b.MAT.5.38,Слꙑшасте ѣко речено бꙑ ⷭ ҇ око за око и зѫбъ за зѫбъ 
b.MAT.5.39,"But I say unto you , That ye resist not evil : but whosoever shall smite thee on thy right cheek , turn to him the other also . ",b.MAT.5.39,азъ же г ҃ лѭ вамъ не противити сѧ зълоу Нъ аще кто тѧ оударитъ въ деснѫѭ ланитѫ обрати емоу и дроугѫѭ ҄ 
b.MAT.5.40,"And if any man will sue thee at the law , and take away thy coat , let him have thy cloke also . ",b.MAT.5.40,ꙇ хотѧщоумоу сѫдъ приѩти съ тобоѭ и ризѫ твоѭ възѧти отъпоусти емоу и срачицѫ твоѭ 
b.MAT.5.41,"And whosoever shall compel thee to go a mile , go with him twain . ",b.MAT.5.41,и аще къто поиметъ тѧ по силѣ попьрище едино ꙇди съ нимь дьвѣ 
b.MAT.5.42,"Give to him that asketh thee , and from him that would borrow of thee turn not thou away . ",b.MAT.5.42,Просѧштоумоу оу тебе даи ꙇ хотѧштаго отъ тебе заѩти не отъврати 
b.MAT.5.43,"Ye have heard that it hath been said , Thou shalt love thy neighbour , and hate thine enemy . ",b.MAT.5.43,слꙑшасте ѣко речено естъ възлюбиши искрьнѣго своего ꙇ вьзненавидиши врага своего 
b.MAT.5.44,"But I say unto you , Love your enemies , bless them that curse you , do good to them that hate you , and pray for them which despitefully use you , and persecute you ; ",b.MAT.5.44,азъ же г ҃ лѭ вамъ любите врагꙑ вашѧ б ҃ лагслвите клънѫштѧѩ вꙑ добро творите ненавидѧштиимъ васъ ꙇ молите за творѧщѧѩ вамъ напасти и изгонѧщѧѩ вꙑ 
b.MAT.5.45,"That ye may be the children of your Father which is in heaven : for he maketh his sun to rise on the evil and on the good , and sendeth rain on the just and on the unjust . ",b.MAT.5.45,да бѫдете с ҃ нве о ҃ тца вашего иже естъ на н ҃ ебсхъ ѣко слъньце свое сьѣатъ на зълꙑ и благꙑ ꙇ ҅ дъждитъ на праведънꙑ и на неправедънꙑ 
b.MAT.5.46,"For if ye love them which love you , what reward have ye ? do not even the publicans the same ? ",b.MAT.5.46,аще бо любите любѧщѧѩ вꙑ кѫѭ ҄ мъздѫ имате не и мꙑтаре ли тожде творѧтъ 
