sent_id,text,sent_id2,text2
b.MAT.1.1,"The book of the generation of Jesus Christ , the son of David , the son of Abraham . ",b.MAT.1.1,Meeca nosanquenajeitempiro ivajiropee icharinepeeni Jesoquirishito . Tempa irio ishanincani Iravirini aisati Avaramani . 
b.MAT.1.2,Abraham begat Isaac ; and Isaac begat Jacob ; and Jacob begat Judas and his brethren ; ,b.MAT.1.2,Ari itimini Avarama . Iri itomi iriori : Isaca . Iri itomi iriori Isaca : Jacovo . Iri itomipee iriori Jacovo : Jora aisati irirentipee . 
b.MAT.1.3,And Judas begat Phares and Zara of Thamar ; and Phares begat Esrom ; and Esrom begat Aram ; ,b.MAT.1.3,Iri itomipee Jora : Jareshi aisati Sara . Iro irinironi Jareshi opajitani Tamara . Iri itomi Jareshi : Eshiromo . Iri itomi Eshiromo : Arama . 
b.MAT.1.4,And Aram begat Aminadab ; and Aminadab begat Naasson ; and Naasson begat Salmon ; ,b.MAT.1.4,Iri itomi Arama : Aminarava . Iri itomi Aminarava : Naso . Iri itomi Naso : Saramo . 
b.MAT.1.5,And Salmon begat Booz of Rachab ; and Booz begat Obed of Ruth ; and Obed begat Jesse ; ,b.MAT.1.5,Iri itomi Saramo : Voso . Iro irinironi Voso opajitani Arava . Iri itomi Voso : Overe . Iro irinironi Overe opajitani Oroto . Iri itomi Overe : Jese . 
b.MAT.1.6,And Jesse begat David the king ; and David the king begat Solomon of her that had been the wife of Urias ; ,b.MAT.1.6,"Iri itomi Jese : Iraviri , yora pincatsaritatsiri . Ari icarajeitaque iriori 14 shirampari . Impoiji itimi itomi Iraviri : Saromo . Iro iriniro Saromo ora yaaveitaniri Oriashi . "
b.MAT.1.7,And Solomon begat Roboam ; and Roboam begat Abia ; and Abia begat Asa ; ,b.MAT.1.7,Iri itomi Saromo : Orovoama . Iri itomi Orovoama : Aviashi . Iri itomi Aviashi : Asa . 
b.MAT.1.8,And Asa begat Josaphat ; and Josaphat begat Joram ; and Joram begat Ozias ; ,b.MAT.1.8,Iri itomi Asa : Josavata . Iri itomi Josavata : Jorama . Iri itomi Jorama : Oshiashi . 
b.MAT.1.9,And Ozias begat Joatham ; and Joatham begat Achaz ; and Achaz begat Ezekias ; ,b.MAT.1.9,Iri itomi Oshiashi : Joatama . Iri itomi Joatama : Acasa . Iri itomi Acasa : Eshequiashi . 
b.MAT.1.10,And Ezekias begat Manasses ; and Manasses begat Amon ; and Amon begat Josias ; ,b.MAT.1.10,Iri itomi Eshequiashi : Manasheshi . Iri itomi Manasheshi : Amo . Iri itomi Amo : Joshiashi . 
