sent_id,text,sent_id2,text2
b.MAT.1.1,"The book of the generation of Jesus Christ , the son of David , the son of Abraham . ",b.MAT.1.1,ⲠϪⲰⲘ ⲘⲘⲒⲤⲒ ⲚⲦⲈⲒⲎⲤⲞⲨⲤ ⲠⲬⲢⲒⲤⲦⲞⲤ ⲠϢⲎⲢⲒ ⲚⲆⲀⲨⲒⲆ ⲠϢⲎⲢⲒ ⲚⲀⲂⲢⲀⲀⲘ . 
b.MAT.1.2,Abraham begat Isaac ; and Isaac begat Jacob ; and Jacob begat Judas and his brethren ; ,b.MAT.1.2,ⲀⲂⲢⲀⲀⲘ ⲆⲈ ⲀϤϪⲪⲈ ⲒⲤⲀⲀⲔ ⲒⲤⲀⲀⲔ ⲆⲈ ⲀϤϪⲪⲈ ⲒⲀⲔⲰⲂ ⲒⲀⲔⲰⲂ ⲆⲈ ⲀϤϪⲪⲈ ⲒⲞⲨⲆⲀⲤ ⲚⲈⲘ ⲚⲈϤⲤⲚⲎⲞⲨ . 
b.MAT.1.3,And Judas begat Phares and Zara of Thamar ; and Phares begat Esrom ; and Esrom begat Aram ; ,b.MAT.1.3,ⲒⲞⲨⲆⲀⲤ ⲆⲈ ⲀϤϪⲪⲈ ⲪⲀⲢⲈⲤ ⲚⲈⲘ ⲌⲀⲢⲀ ⲈⲂⲞⲖ ϦⲈⲚⲐⲀⲘⲀⲢ ⲪⲀⲢⲈⲤ ⲆⲈ ⲀϤϪⲪⲈ ⲈⲤⲢⲰⲘ . ⲈⲤⲢⲰⲘ ⲆⲈ ⲀϤϪⲪⲈ ⲀⲢⲀⲘ . 
b.MAT.1.4,And Aram begat Aminadab ; and Aminadab begat Naasson ; and Naasson begat Salmon ; ,b.MAT.1.4,ⲀⲢⲀⲘ ⲆⲈ ⲀϤϪⲪⲈ ⲀⲘⲒⲚⲀⲆⲀⲂ ⲀⲘⲒⲚⲀⲆⲀⲂ ⲆⲈ ⲀϤϪⲪⲈ ⲚⲀⲤⲤⲰⲚ ⲚⲀⲤⲤⲰⲚ ⲆⲈ ⲀϤϪⲪⲈ ⲤⲀⲖⲘⲰⲚ . 
b.MAT.1.5,And Salmon begat Booz of Rachab ; and Booz begat Obed of Ruth ; and Obed begat Jesse ; ,b.MAT.1.5,ⲤⲀⲖⲘⲰⲚ ⲆⲈ ⲀϤϪⲪⲈ ⲂⲞⲈⲤ ⲈⲂⲞⲖ ϦⲈⲚⲢⲎⲬⲀⲂ ⲂⲞⲈⲤ ⲆⲈ ⲀϤϪⲪⲈ ⲒⲞⲨⲂⲎⲆ ⲒⲞⲨⲂⲎⲆ ⲆⲈ ⲀϤϪⲪⲈ ⲒⲈⲤⲤⲈ . 
b.MAT.1.6,And Jesse begat David the king ; and David the king begat Solomon of her that had been the wife of Urias ; ,b.MAT.1.6,ⲒⲈⲤⲤⲈ ⲆⲈ ⲀϤϪⲪⲈ ⲆⲀⲨⲒⲆ ⲆⲀⲨⲒⲆ ⲆⲈ ⲀϤϪⲪⲈ ⲤⲞⲖⲞⲘⲰⲚ ⲈⲂⲞⲖ ϦⲈⲚⲐⲀ ⲞⲨⲢⲒⲀⲤ . 
b.MAT.1.7,And Solomon begat Roboam ; and Roboam begat Abia ; and Abia begat Asa ; ,b.MAT.1.7,ⲤⲞⲖⲞⲘⲰⲚ ⲆⲈ ⲀϤϪⲪⲈ ⲢⲞⲂⲞⲀⲘ ⲢⲞⲂⲞⲀⲘ ⲆⲈ ⲀϤϪⲪⲈ ⲀⲂⲒⲀ ⲀⲂⲒⲀ ⲆⲈ ⲀϤϪⲪⲈ ⲀⲤⲀⲪ . 
b.MAT.1.8,And Asa begat Josaphat ; and Josaphat begat Joram ; and Joram begat Ozias ; ,b.MAT.1.8,ⲀⲤⲀⲪ ⲆⲈ ⲀϤϪⲪⲈ ⲒⲰⲤⲀⲪⲀⲦ ⲒⲰⲤⲀⲪⲀⲦ ⲆⲈ ⲀϤϪⲪⲈ ⲒⲰⲢⲀⲘ ⲒⲰⲢⲀⲘ ⲆⲈ ⲀϤϪⲪⲈ ⲞⲌⲒⲀⲤ . 
b.MAT.1.9,And Ozias begat Joatham ; and Joatham begat Achaz ; and Achaz begat Ezekias ; ,b.MAT.1.9,ⲞⲌⲒⲀⲤ ⲆⲈ ⲀϤϪⲪⲈ ⲒⲰⲀⲐⲀⲘ ⲒⲰⲀⲐⲀⲘ ⲆⲈ ⲀϤϪⲪⲈ ⲀⲬⲀⲌ ⲀⲬⲀⲌ ⲆⲈ ⲀϤϪⲪⲈ ⲈⲌⲈⲔⲒⲀⲤ . 
b.MAT.1.10,And Ezekias begat Manasses ; and Manasses begat Amon ; and Amon begat Josias ; ,b.MAT.1.10,ⲈⲌⲈⲔⲒⲀⲤ ⲆⲈ ⲀϤϪⲪⲈ ⲘⲀⲚⲀⲤⲤⲎ ⲘⲀⲚⲀⲤⲤⲎ ⲆⲈ ⲀϤϪⲪⲈ ⲀⲘⲰⲤ ⲀⲘⲰⲤ ⲆⲈ ⲀϤϪⲪⲈ ⲒⲰⲤⲒⲀⲤ . 
b.MAT.1.11,"And Josias begat Jechonias and his brethren , about the time they were carried away to Babylon : ",b.MAT.1.11,ⲒⲰⲤⲒⲀⲤ ⲆⲈ ⲀϤϪⲪⲈ ⲒⲈⲬⲞⲚⲒⲀⲤ ⲚⲈⲘ ⲚⲈϤⲤⲚⲎⲞⲨ ϨⲒ ⲠⲒⲞⲨⲰⲦⲈⲂ ⲈⲂⲞⲖ ⲚⲦⲈⲂⲀⲂⲨⲖⲰⲚ . 
b.MAT.1.12,"And after they were brought to Babylon , Jechonias begat Salathiel ; and Salathiel begat Zorobabel ; ",b.MAT.1.12,ⲘⲈⲚⲈⲚⲤⲀ ⲠⲒⲞⲨⲰⲦⲈⲂ ⲈⲂⲞⲖ ⲚⲦⲈⲂⲀⲂⲨⲖⲰⲚ ⲒⲈⲬⲞⲚⲒⲀⲤ ⲀϤϪⲪⲈ ⲤⲀⲖⲀⲐⲒⲎⲖ ⲤⲀⲖⲀⲐⲒⲎⲖ ⲆⲈ ⲀϤϪⲪⲈ ⲌⲞⲢⲞⲂⲀⲂⲈⲖ . 
b.MAT.1.13,And Zorobabel begat Abiud ; and Abiud begat Eliakim ; and Eliakim begat Azor ; ,b.MAT.1.13,ⲌⲞⲢⲞⲂⲀⲂⲈⲖ ⲆⲈ ⲀϤϪⲪⲈ ⲀⲂⲒⲞⲨⲆ ⲀⲂⲒⲞⲨⲆ ⲆⲈ ⲀϤϪⲪⲈ ⲈⲖⲒⲀⲔⲒⲘ ⲈⲖⲒⲀⲔⲒⲘ ⲆⲈ ⲀϤϪⲪⲈ ⲀⲌⲰⲢ . 
b.MAT.1.14,And Azor begat Sadoc ; and Sadoc begat Achim ; and Achim begat Eliud ; ,b.MAT.1.14,ⲀⲌⲰⲢ ⲆⲈ ⲀϤϪⲪⲈ ⲤⲀⲆⲰⲔ ⲤⲀⲆⲰⲔ ⲆⲈ ⲀϤϪⲪⲈ ⲀⲬⲒⲚ ⲀⲬⲒⲚ ⲆⲈ ⲀϤϪⲪⲈ ⲈⲖⲒⲞⲨⲆ . 
b.MAT.1.15,And Eliud begat Eleazar ; and Eleazar begat Matthan ; and Matthan begat Jacob ; ,b.MAT.1.15,ⲈⲖⲒⲞⲨⲆ ⲆⲈ ⲀϤϪⲪⲈ ⲈⲖⲈⲀⲌⲀⲢ ⲈⲖⲈⲀⲌⲀⲢ ⲆⲈ ⲀϤϪⲪⲈ ⲘⲀⲦⲐⲀⲚ ⲘⲀⲦⲐⲀⲚ ⲆⲈ ⲀϤϪⲪⲈ ⲒⲀⲔⲰⲂ . 
