sent_id,text,sent_id2,text2
b.MAT.1.1,"The book of the generation of Jesus Christ , the son of David , the son of Abraham . ",b.MAT.1.1,"Awarek de kuen e dhienh ci Yecu Kritho dhieeth , ee Wen e Dabid , wen e Abraɣam . "
b.MAT.1.2,Abraham begat Isaac ; and Isaac begat Jacob ; and Jacob begat Judas and his brethren ; ,b.MAT.1.2,Abraɣam aci Yithak dhieeth ; ku dhieth Yithak Jakop ; ku dhieth Jakop Juda ku wɛɛtwuun ; 
b.MAT.1.3,And Judas begat Phares and Zara of Thamar ; and Phares begat Esrom ; and Esrom begat Aram ; ,b.MAT.1.3,ku dhieth Juda Peredh ku Dhera e Tamar ; ku dhieth Peredh Kedhron ; ku dhieth Kedhron Aram ; 
b.MAT.1.4,And Aram begat Aminadab ; and Aminadab begat Naasson ; and Naasson begat Salmon ; ,b.MAT.1.4,ku dhieth Aram Aminadab ; ku dhieth Aminadab Nacon ; ku dhieth Nacɔn Thalmon ; 
b.MAT.1.5,And Salmon begat Booz of Rachab ; and Booz begat Obed of Ruth ; and Obed begat Jesse ; ,b.MAT.1.5,ku dhieth Thalmon Boadh e Rakab ; ku dhieth Boadh Obed e Ruth ; ku dhieth Obed Jethe ; 
b.MAT.1.6,And Jesse begat David the king ; and David the king begat Solomon of her that had been the wife of Urias ; ,b.MAT.1.6,ku dhieth Jethe Dabid malik . Ku dhieth Dabid malik Tholomon ne tiiŋ waan ci kɔn aa tiiŋ de Uria ; 
b.MAT.1.7,And Solomon begat Roboam ; and Roboam begat Abia ; and Abia begat Asa ; ,b.MAT.1.7,ku dhieth Tholomon Rekoboam ; ku dhieth Rekoboam Abija ; ku dhieth Abija Atha ; 
b.MAT.1.8,And Asa begat Josaphat ; and Josaphat begat Joram ; and Joram begat Ozias ; ,b.MAT.1.8,ku dhieth Atha Jekocapat ; ku dhieth Jekocapat Joram ; ku dhieth Joram Udhia ; 
b.MAT.1.9,And Ozias begat Joatham ; and Joatham begat Achaz ; and Achaz begat Ezekias ; ,b.MAT.1.9,ku dhieth Udhia Jotham ; ku dhieth Jotham Akadh ; ku dhieth Akadh Kedhekia ; 
b.MAT.1.10,And Ezekias begat Manasses ; and Manasses begat Amon ; and Amon begat Josias ; ,b.MAT.1.10,ku dhieth Kedhekia Manathe ; ku dhieth Manathe Amon ; ku dhieth Amon Jothia ; 
