sent_id,text,sent_id2,text2
b.MAT.1.1,"The book of the generation of Jesus Christ , the son of David , the son of Abraham . ",b.MAT.1.1,"Apəlaham lʋlʋɣʋ tʋ ntɛ ́ Tafiiti , Tafiiti lʋlʋɣʋ tʋ Yesu Kilisiti lʋlʋɣʋ looŋa ntɛ ́ cənɛ . "
b.MAT.1.2,Abraham begat Isaac ; and Isaac begat Jacob ; and Jacob begat Judas and his brethren ; ,b.MAT.1.2,"Apəlaham lʋla Ɩsaaka , na Ɩsaaka náá lʋlɩ Yakɔpʋ , na Yakɔpʋ náá lʋlɩ Yuta na ɩ newaa . "
b.MAT.1.3,And Judas begat Phares and Zara of Thamar ; and Phares begat Esrom ; and Esrom begat Aram ; ,b.MAT.1.3,"Yuta ná lʋla Falɛsɩ na Sela . Pɛlɛ pa too kɛlɛ Tamaa . Falɛsɩ ná lʋla Hɛsəlɔŋ , na Hɛsəlɔŋ náá lʋlɩ Alam , "
b.MAT.1.4,And Aram begat Aminadab ; and Aminadab begat Naasson ; and Naasson begat Salmon ; ,b.MAT.1.4,"na Alam náá lʋlɩ Aminatapɩ , na Aminatapɩ náá lʋlɩ Naasɔŋ , na Naasɔŋ náá lʋlɩ Saləma . "
b.MAT.1.5,And Salmon begat Booz of Rachab ; and Booz begat Obed of Ruth ; and Obed begat Jesse ; ,b.MAT.1.5,"Saləma ná lʋla Poosi , Poosi too kɛlɛ Lahapɩ . Poosi ná lʋla Opɛtɩ , Opɛtɩ too kɛlɛ Luuti . Opɛtɩ ná lʋla Sesee , "
b.MAT.1.6,And Jesse begat David the king ; and David the king begat Solomon of her that had been the wife of Urias ; ,b.MAT.1.6,"na Sesee ná lʋləna wulaʋ sɔsɔ Tafiiti . Tafiiti ná lʋla Salʋmɔŋ , Salʋmɔŋ too kɛlɛ Yulii alʋ . "
b.MAT.1.7,And Solomon begat Roboam ; and Roboam begat Abia ; and Abia begat Asa ; ,b.MAT.1.7,"Salʋmɔŋ ná lʋla Lʋpʋwam , na Lʋpʋwam náá lʋlɩ Apiya , na Apiya náá lʋlɩ Asafɩ , "
b.MAT.1.8,And Asa begat Josaphat ; and Josaphat begat Joram ; and Joram begat Ozias ; ,b.MAT.1.8,"na Asafɩ náá lʋlɩ Yosafatɩ , na Yosafatɩ náá lʋlɩ Yolam , na Yolam náá lʋlɩ Osiyasɩ . "
b.MAT.1.9,And Ozias begat Joatham ; and Joatham begat Achaz ; and Achaz begat Ezekias ; ,b.MAT.1.9,"Osiyasɩ ná lʋla Yowatam , na Yowatam náá lʋlɩ Akasɩ , na Akasɩ náá lʋlɩ Ɩsekiyasɩ , "
b.MAT.1.10,And Ezekias begat Manasses ; and Manasses begat Amon ; and Amon begat Josias ; ,b.MAT.1.10,"na Ɩsekiyasɩ náá lʋlɩ Manasee , na Manasee náá lʋlɩ Amoŋ , na Amoŋ náá lʋlɩ Yosiyasɩ . "
b.MAT.1.11,"And Josias begat Jechonias and his brethren , about the time they were carried away to Babylon : ",b.MAT.1.11,Yosiyasɩ ná lʋləna Cekoniyasɩ na ɩ newaa kɛ waatʋ wei pa kuu Ɩsɛɣɛlɩ nyə ́ ma na pá pona Papiloni tɔ . 
b.MAT.1.12,"And after they were brought to Babylon , Jechonias begat Salathiel ; and Salathiel begat Zorobabel ; ",b.MAT.1.12,"Pa pona Ɩsɛɣɛlɩ nyə ́ ma kɛ Papiloni təna , ɩlɛna Cekoniyasɩ náá lʋlɩ Selatəyɛlɩ , na Selatəyɛlɩ náá lʋlɩ Solopapɛɛlɩ , "
b.MAT.1.13,And Zorobabel begat Abiud ; and Abiud begat Eliakim ; and Eliakim begat Azor ; ,b.MAT.1.13,"na Solopapɛɛlɩ náá lʋlɩ Apiyuti , na Apiyuti náá lʋlɩ Ɩliyakim , na Ɩliyakim náá lʋlɩ Asɔɔ . "
b.MAT.1.14,And Azor begat Sadoc ; and Sadoc begat Achim ; and Achim begat Eliud ; ,b.MAT.1.14,"Asɔɔ ná lʋla Satɔkɩ , na Satɔkɩ náá lʋlɩ Akim , na Akim náá lʋlɩ Ɩliyuti , "
