sent_id,text,sent_id2,text2
b.MAT.1.1,"The book of the generation of Jesus Christ , the son of David , the son of Abraham . ",b.MAT.1.1,"Yesu Kristo enye Abraham kple Fia David ƒe dzidzimevi , eƒe dzidzime lae nye esi . "
b.MAT.1.2,Abraham begat Isaac ; and Isaac begat Jacob ; and Jacob begat Judas and his brethren ; ,b.MAT.1.2,"Abraham dzi Isak , Isak dzi Yakɔb eye Yakɔb dzi Yuda kple nɔviawo . "
b.MAT.1.3,And Judas begat Phares and Zara of Thamar ; and Phares begat Esrom ; and Esrom begat Aram ; ,b.MAT.1.3,"Yuda dzi Perez kple Zera ame siawo dadae nye Temar , Hezrɔn fofoe nye Perez , Hezrɔn ha ̃ dzi Ram , "
b.MAT.1.4,And Aram begat Aminadab ; and Aminadab begat Naasson ; and Naasson begat Salmon ; ,b.MAT.1.4,"Ram dzi Aminadab , Aminadab dzi Nahesɔn , Nahesɔn dzi Salmo , "
b.MAT.1.5,And Salmon begat Booz of Rachab ; and Booz begat Obed of Ruth ; and Obed begat Jesse ; ,b.MAT.1.5,"Salmo ha ̃ dzi Boaz ame si dadae nye Rahab . Boaz dzi Obed , eye Obed dadae nye Rut , Obed dzi Yese . "
b.MAT.1.6,And Jesse begat David the king ; and David the king begat Solomon of her that had been the wife of Urias ; ,b.MAT.1.6,"Yese dzi Fia David , David dzi Salomo , Salomo dadae nye Batseba ame si nye Uria srɔ ̃ kpɔ , "
b.MAT.1.7,And Solomon begat Roboam ; and Roboam begat Abia ; and Abia begat Asa ; ,b.MAT.1.7,"Salomo dzi Rehoboam , Rehoboam dzi Abiya , eye Abiya ha ̃ dzi Asa , "
b.MAT.1.8,And Asa begat Josaphat ; and Josaphat begat Joram ; and Joram begat Ozias ; ,b.MAT.1.8,"Asa dzi Yehosafat , Yehosafat dzi Yoram , Yoram dzi Uzia , "
b.MAT.1.9,And Ozias begat Joatham ; and Joatham begat Achaz ; and Achaz begat Ezekias ; ,b.MAT.1.9,"Uzia dzi Yotam , Yotam dzi Ahaz , Ahaz dzi Hezekia , "
b.MAT.1.10,And Ezekias begat Manasses ; and Manasses begat Amon ; and Amon begat Josias ; ,b.MAT.1.10,"Hezekia dzi Manase , Manase dzi Amɔn , Amɔn dzi Yosia , "
b.MAT.1.11,"And Josias begat Jechonias and his brethren , about the time they were carried away to Babylon : ",b.MAT.1.11,Yosia dzi Yekonia kple nɔviawo . Wodzi ame siawo le esime woɖe aboyo Israel dukɔa yi Babilonia . 
