sent_id,text,sent_id2,text2
b.MAT.1.1,"The book of the generation of Jesus Christ , the son of David , the son of Abraham . ",b.MAT.1.1,"Manena gena o Yesus Kristus Awi sihino yalefo la aku ngone panako , ena gena Yesus Awi topora gena o Daud de o Daud awi topora gena o Abraham . "
b.MAT.1.2,Abraham begat Isaac ; and Isaac begat Jacob ; and Jacob begat Judas and his brethren ; ,b.MAT.1.2,"Ma nonomaka o Abraham ma ngopa yanau gena o Ishak , o Ishak ma ngopa yanau o Yakub , de o Yakub ma ngopa yanau gena o Yehuda de lo awi gianongoru . "
b.MAT.1.3,And Judas begat Phares and Zara of Thamar ; and Phares begat Esrom ; and Esrom begat Aram ; ,b.MAT.1.3,"O Yehuda de ma peqeka ongo Tamar manga ngopa yanau ena gena o Peres de o Zerah , o Peres ma ngopa yanau o Hezron , o Hezron ma ngopa yanau o Ram , "
b.MAT.1.4,And Aram begat Aminadab ; and Aminadab begat Naasson ; and Naasson begat Salmon ; ,b.MAT.1.4,"o Ram ma ngopa yanau o Abinadab , o Abinadab ma ngopa yanau o Nahason , de o Nahason ma ngopa yanau o Salmon . "
b.MAT.1.5,And Salmon begat Booz of Rachab ; and Booz begat Obed of Ruth ; and Obed begat Jesse ; ,b.MAT.1.5,"O Salmon de ma peqeka ongo Rahab manga ngopa yanau o Boas , o Boas de ma peqeka ongo Rut manga ngopa yanau o Obed , o Obed ma ngopa yanau o Isai , "
b.MAT.1.6,And Jesse begat David the king ; and David the king begat Solomon of her that had been the wife of Urias ; ,b.MAT.1.6,"de o Isai ma ngopa yanau ma Kolano Daud . So kagena de o Daud ma ngopa yanau o Salomo ( o Salomo ma awa ena gena o Uria ma balo ) , "
b.MAT.1.7,And Solomon begat Roboam ; and Roboam begat Abia ; and Abia begat Asa ; ,b.MAT.1.7,"o Salomo ma ngopa yanau gena o Rehabeam , o Rehabeam ma ngopa yanau o Abia , de o Abia ma ngopa yanau o Asa . "
b.MAT.1.8,And Asa begat Josaphat ; and Josaphat begat Joram ; and Joram begat Ozias ; ,b.MAT.1.8,"De o Asa ma ngopa yanau o Yosafat , o Yosafat ma ngopa yanau o Yoram , de o Yoram ma ngopa yanau o Uzia . "
b.MAT.1.9,And Ozias begat Joatham ; and Joatham begat Achaz ; and Achaz begat Ezekias ; ,b.MAT.1.9,"De o Uzia ma ngopa yanau o Yotam , o Yotam ma ngopa yanau o Ahas , o Ahas ma ngopa yanau o Hizkia , "
b.MAT.1.10,And Ezekias begat Manasses ; and Manasses begat Amon ; and Amon begat Josias ; ,b.MAT.1.10,"o Hizkia ma ngopa yanau o Manasye , o Manasye ma ngopa yanau o Amon , o Amon ma ngopa yanau o Yosia , "
b.MAT.1.11,"And Josias begat Jechonias and his brethren , about the time they were carried away to Babylon : ",b.MAT.1.11,"de o Yosia ma ngopa yanau o Yekhonya de kanaga lo awi gianongoru yamuruo naga , ena gena ma orasi o Yahudika ma nyawa yatago de yaumo o Babel ma tonaka . "
b.MAT.1.12,"And after they were brought to Babylon , Jechonias begat Salathiel ; and Salathiel begat Zorobabel ; ",b.MAT.1.12,"So o Babel ma tonaka yaumoka , de kagena o Yekhonya ma ngopa yanau o Sealtiel , o Sealtiel ma ngopa yanau o Zerubabel , "
