sent_id,text,sent_id2,text2
b.MAR.1.1,"The beginning of the gospel of Jesus Christ , the Son of God ; ",b.MAR.1.1,"T oiseachd soisgeul Iosa Criosda , Mac Dhe"
b.MAR.1.2,"As it is written in the prophets , Behold , I send my messenger before thy face , which shall prepare thy way before thee . ",b.MAR.1.2,"Air reir ` s mar tha e sgriobhte san fhaidh Isaias : seall , cuiridh mi m ` aingeal roimh do ghnuis , a reiticheas do shlighe romhad"
b.MAR.1.3,"The voice of one crying in the wilderness , Prepare ye the way of the Lord , make his paths straight . ",b.MAR.1.3,"Guth neach ag eigheach san fhasach : Reitichibh slighe an Tighearna , agus dianaibh a rathadain direach"
b.MAR.1.4,"John did baptize in the wilderness , and preach the baptism of repentance for the remission of sins . ",b.MAR.1.4,"Bha Eoin anns an fhasach a baisteadh , ` sa searmonachadh baisteadh an aithreachais gu mathanas pheacannan"
b.MAR.1.5,"And there went out unto him all the land of Judaea , and they of Jerusalem , and were all baptized of him in the river of Jordan , confessing their sins . ",b.MAR.1.5,"Agus chaidh duthaich Iudea uile mach ga ionnsuidh , agus muinntir Ierusalem gu leir , is bhaisteadh iad leis ann an abhuinn Iordain ag aideachadh am peacannan"
b.MAR.1.6,"And John was clothed with camel ' s hair , and with a girdle of a skin about his loins ; and he did eat locusts and wild honey ; ",b.MAR.1.6,"Agus bha Eoin air eideadh le fionnadh chamhal , is crios leathair mu mheadhon ; agus dh ` ith e locuist is mil fhiadhaich . Agus shearmonaich e ag radh"
b.MAR.1.7,"And preached , saying , There cometh one mightier than I after me , the latchet of whose shoes I am not worthy to stoop down and unloose . ",b.MAR.1.7,Tha fear nas cumhachdaiche na mise tighinn as mo dheigh : neach nach airidh mise air cromadh sios is barail a bhrogan fhuasgladh
b.MAR.1.8,I indeed have baptized you with water : but he shall baptize you with the Holy Ghost . ,b.MAR.1.8,Bhaist mise sibh le uisge ; ach baistidh esan sibh leis an Spiorad Naomh
b.MAR.1.9,"And it came to pass in those days , that Jesus came from Nazareth of Galilee , and was baptized of John in Jordan . ",b.MAR.1.9,"Is thachair , gun tainig Iosa anns na laithean sin bho Nasareth Ghalile ; agus bhaisteadh e le Eoin ann an abhuinn Iordan"
b.MAR.1.10,"And straightway coming up out of the water , he saw the heavens opened , and the Spirit like a dove descending upon him : ",b.MAR.1.10," ` S air ball a direadh as an uisge , chunnaic e neamh fosgailte , ` s an Spiorad mar chalman a tearnadh ` sa fantuinn air"
b.MAR.1.11,"And there came a voice from heaven , saying , Thou art my beloved Son , in whom I am well pleased . ",b.MAR.1.11,"Agus thainig guth bho neamh : Is tusa mo Mhac gaolach , is mor mo thlachd dhiot"
b.MAR.1.12,And immediately the Spirit driveth him into the wilderness . ,b.MAR.1.12,Agus ghrad - ghreas an Spiorad e dhan fhasach
b.MAR.1.13,"And he was there in the wilderness forty days , tempted of Satan ; and was with the wild beasts ; and the angels ministered unto him . ",b.MAR.1.13,"Agus bha e san fhasach da - fhichead latha , agus da - fhichead oidhche ; is bhuaireadh le Satan e ; ` s bha e comhla ris na h - ainmhidhean , agus bha na h - ainglean a frithealadh dha"
b.MAR.1.14,"Now after that John was put in prison , Jesus came into Galilee , preaching the gospel of the kingdom of God , ",b.MAR.1.14," ` S an deigh do dh ` Eoin a bhith air a chuir an greim , thainig Iosa do Ghalile , a searmonachadh soisgeul rioghachd Dhe"
b.MAR.1.15,"And saying , The time is fulfilled , and the kingdom of God is at hand : repent ye , and believe the gospel . ",b.MAR.1.15," ` S ag radh : Tha ` n t - am air a choimhlionadh , ` s tha rioghachd Dhe aig laimh ; deanaibh aithreachas , agus creidibh san t - soisgeul"
b.MAR.1.16,"Now as he walked by the sea of Galilee , he saw Simon and Andrew his brother casting a net into the sea : for they were fishers . ",b.MAR.1.16," ` Sa gabhail ri taobh muir Ghalile , chunnaic e Simon , agus Anndra a bhrathair , a cur lion sa mhuir ( oir b ` iasgairean iad . ) "
