sent_id,text,sent_id2,text2
b.EST.1.1,"Now it came to pass in the days of Ahasuerus , ( this is Ahasuerus which reigned , from India even unto Ethiopia , over an hundred and seven and twenty provinces : ) ",b.EST.1.1,"Nish haink eh gy - kione ayns lhing Ahasuerus ( shoh yn Ahasuerus shen ren reill voish India eer gys Ethiopia , harrish shey - feed as shiaght rheamyn ) "
b.EST.1.2,"That in those days , when the king Ahasuerus sat on the throne of his kingdom , which was in Shushan the palace , ",b.EST.1.2,"Ayns ny laghyn shen , tra va ree Ahasuerus ny hoie er stoyl - reeoil e reeriaght , va ayns Shushan yn phlaase reeoil , "
b.EST.1.3,"In the third year of his reign , he made a feast unto all his princes and his servants ; the power of Persia and Media , the nobles and princes of the provinces , being before him : ",b.EST.1.3,"Ayns y trass vlein jeh e reill , ren eh cuirraghyn da ooilley e phrinceyn , as e harvaantyn ; pooaraghyn Phersia as Media , ard gheiney as princeyn ny rheamyn ec y traa cheddin kionfenish . "
b.EST.1.4,"When he shewed the riches of his glorious kingdom and the honour of his excellent majesty many days , even an hundred and fourscore days . ",b.EST.1.4,"Tra hoilshee eh magh berchys e reeriaght ghloyroil , as onnor e ard - ooashley reeoil , ymmodee laghyn , eer nuy - feed laa . "
b.EST.1.5,"And when these days were expired , the king made a feast unto all the people that were present in Shushan the palace , both unto great and small , seven days , in the court of the garden of the king ' s palace ; ",b.EST.1.5,"As lurg da ny laghyn shoh ve harrish , ren y ree cuirraghyn da ooilley yn pobble va ry - gheddyn ayns Shushan y phlaase , chammah da ard as injil son shiaght laa , ayns cooyrtyn garey plaase y ree , "
b.EST.1.6,"Where were white , green , and blue , hangings , fastened with cords of fine linen and purple to silver rings and pillars of marble : the beds were of gold and silver , upon a pavement of red , and blue , and white , and black , marble . ",b.EST.1.6,"Raad va curtanyn baney , geayney , as gorrym , sheeynt er coyrdyn dy heeidey purple , lesh loopyn argid , as pillaryn marble : as nyn ynnydyn - soie dy airh , as argid , er laare dy phurple , as gorrym , as bane , as doo , "
b.EST.1.7,"And they gave them drink in vessels of gold , ( the vessels being diverse one from another , ) and royal wine in abundance , according to the state of the king . ",b.EST.1.7,"As hirveish ad jough orroo ayns siyn airhey ( va ny siyn jeh dagh sorch ) as palchey dy feeyn reeoil , cooie rish stayd y ree . "
b.EST.1.8,"And the drinking was according to the law ; none did compel : for so the king had appointed to all the officers of his house , that they should do according to every man ' s pleasure . ",b.EST.1.8,"As va ' n giu cordail rish y leigh , cha row fer erbee eginit : son shoh myr doardee yn ree da ooilley fir - oik e hie , dy row dy chooilley ghooinney dy ghoaill myr baillish . "
b.EST.1.9,Also Vashti the queen made a feast for the women in the royal house which belonged to king Ahasuerus . ,b.EST.1.9,"Ren Vashti yn ven - rein myrgeddin cuirraghyn son ny mraane , ayns thie reeoil Ahasuerus . "
b.EST.1.10,"On the seventh day , when the heart of the king was merry with wine , he commanded Mehuman , Biztha , Harbona , Bigtha , and Abagtha , Zethar , and Carcas , the seven chamberlains that served in the presence of Ahasuerus the king , ",b.EST.1.10,"Er y chiaghtoo laa , tra va cree yn ree gennal lesh feeyn , doardee eh Mehuman , Biztha , Harboua , Bigtha , as Abagtha , Zethar , as Carcas , ny shiaght ard fir - oik , va shirveish fenish Ahasuerus yn ree , "
b.EST.1.11,"To bring Vashti the queen before the king with the crown royal , to shew the people and the princes her beauty : for she was fair to look on . ",b.EST.1.11,"Dy chur lhieu Vashti yn ven - rein kiongoyrt rish y ree , ceau yn attey reeoil dy yeeaghyn da ' n pobble as ny princeyn yn aalid eck , son v ' ee feer aalin dy yeeaghyn urree . "
b.EST.1.12,"But the queen Vashti refused to come at the king ' s commandment by his chamberlains : therefore was the king very wroth , and his anger burned in him . ",b.EST.1.12,"Agh dob Vashti yn ven - rein dy heet er sarey yn ree liorish ny fir - oik : va ' n ree , er - y - fa shen , feer jymmoosagh , as ren e chorree lostey cheu - sthie jeh . "
b.EST.1.13,"Then the king said to the wise men , which knew the times , ( for so was the king ' s manner toward all that knew law and judgment : ",b.EST.1.13,"Eisht dooyrt y ree rish ny deiney creeney , va toiggal cooishyn ( son shoh va cliaghtey yn ree dy ghoaill y choyrle ocsyn va tushtagh ayns leigh as briwnys : "
b.EST.1.14,"And the next unto him was Carshena , Shethar , Admatha , Tarshish , Meres , Marsena , and Memucan , the seven princes of Persia and Media , which saw the king ' s face , and which sat the first in the kingdom ; ) ",b.EST.1.14,"As ny ard - gheiney jeu shoh va Carshena , Shethar , Admatha , Tarshish , Meres , Marsena , as Memucan , shiaght princeyn Phersia as Media , as fir - choyrlee kinjagh y ree , as ayns ard phooar ayns y reeriaght ) . "
