sent_id,text,sent_id2,text2
b.MAT.5.15,"Neither do men light a candle , and put it under a bushel , but on a candlestick ; and it giveth light unto all that are in the house . ",b.MAT.5.15,ak ana lukarnastaþin jah liuteiþ allaim þaim in þamma garda 
b.MAT.5.16,"Let your light so shine before men , that they may see your good works , and glorify your Father which is in heaven . ",b.MAT.5.16,swa liuhtjai liuhaþ izwar in andwairþja manne ei gasaiƕaina izwara goda waurstwa jah hauhjaina attan izwarana þana in himinam 
b.MAT.5.17,"Think not that I am come to destroy the law , or the prophets : I am not come to destroy , but to fulfil . ",b.MAT.5.17,ni hugjaiþ ei qemjau gatairan witoþ aiþþau praufetuns ni qam gatairan ak usfulljan 
b.MAT.5.18,"For verily I say unto you , Till heaven and earth pass , one jot or one tittle shall in no wise pass from the law , till all be fulfilled . ",b.MAT.5.18,amen auk qiþa izwis und þatei usleiþiþ himins jah airþa jota ains aiþþau ains striks ni usleiþiþ af witoda unte allata wairþiþ 
b.MAT.5.19,"Whosoever therefore shall break one of these least commandments , and shall teach men so , he shall be called the least in the kingdom of heaven : but whosoever shall do and teach them , the same shall be called great in the kingdom of heaven . ",b.MAT.5.19,iþ saei nu gatairiþ aina anabusne þizo minnistono jah laisjai swa mans minnista haitada in þiudangardjai himine iþ saei taujiþ jah laisjai swa sah mikils haitada in þiudangardjai himine 
b.MAT.5.20,"For I say unto you , That except your righteousness shall exceed the righteousness of the scribes and Pharisees , ye shall in no case enter into the kingdom of heaven . ",b.MAT.5.20,qiþa auk izwis þatei nibai managizo wairþiþ izwaraizos garaihteins þau þize bokarje jah Fareisaie ni þau qimiþ in þiudangardjai himine 
b.MAT.5.21,"Ye have heard that it was said by them of old time , Thou shalt not kill ; and whosoever shall kill shall be in danger of the judgment : ",b.MAT.5.21,hausideduþ þatei qiþan ist þaim airizam ni maurþrjais iþ saei maurþreiþ skula wairþiþ stauai 
b.MAT.5.22,"But I say unto you , That whosoever is angry with his brother without a cause shall be in danger of the judgment : and whosoever shall say to his brother , Raca , shall be in danger of the council : but whosoever shall say , Thou fool , shall be in danger of hell fire . ",b.MAT.5.22,aþþan ik qiþa izwis þatei ƕazuh modags broþr seinamma sware skula wairþiþ stauai iþ saei qiþiþ broþr seinamma raka skula wairþiþ gaqumþai aþþan saei qiþiþ dwala skula wairþiþ in gaiainnan funins 
b.MAT.5.23,"Therefore if thou bring thy gift to the altar , and there rememberest that thy brother hath ought against thee ; ",b.MAT.5.23,jabai nu bairais aibr þein du hunslastada jah jainar gamuneis þatei broþar þeins habaiþ ƕa bi þuk 
b.MAT.5.24,"Leave there thy gift before the altar , and go thy way ; first be reconciled to thy brother , and then come and offer thy gift . ",b.MAT.5.24,aflet jainar þo giba þeina in andwairþja hunslastadis jah gagg faurþis gasibjon broþr þeinamma jah biþe atgaggands atbair þo giba þeina 
