sent_id,text,sent_id2,text2
b.MAT.1.1,"The book of the generation of Jesus Christ , the son of David , the son of Abraham . ",b.MAT.1.1,"Haˈ icham Abraham yeb naj rey David , haˈ yichmam Comam Jesucristo . Hac tiˈ ye istxolal yichmam Comam hacaˈ tiˈ : "
b.MAT.1.2,Abraham begat Isaac ; and Isaac begat Jacob ; and Jacob begat Judas and his brethren ; ,b.MAT.1.2,"Icham Abraham , haˈ icham ismam naj Isaac , naj Isaac haˈ naj ismam naj Jacob , naj Jacob , haˈ naj ismam naj Judá yeb huntekˈanxa yuẍtaj . "
b.MAT.1.3,And Judas begat Phares and Zara of Thamar ; and Phares begat Esrom ; and Esrom begat Aram ; ,b.MAT.1.3,"Naj Judá , haˈ naj ismam naj Fares yeb naj Zara , haˈ xin ismiˈ ebnaj cawan ̈ tuˈ haˈ ton ix Tamar . Naj Fares haˈ naj ismam naj Esrom , naj Esrom haˈ naj ismam naj Aram . "
b.MAT.1.4,And Aram begat Aminadab ; and Aminadab begat Naasson ; and Naasson begat Salmon ; ,b.MAT.1.4,"Naj Aram , haˈ naj ismam naj Aminadab , naj Aminadab , haˈ naj ismam naj Naasón , naj Naasón , haˈ naj ismam naj Salmón . "
b.MAT.1.5,And Salmon begat Booz of Rachab ; and Booz begat Obed of Ruth ; and Obed begat Jesse ; ,b.MAT.1.5,"Naj Salmón , haˈ naj ismam naj Booz , wal ismiˈ naj Booz , haˈ ton ix Rahab . Naj Booz , haˈ naj ismam naj Obed , wal ismiˈ naj Obed tuˈ , haˈ ton ix Rut . Naj Obed , haˈ naj ismam naj Isaí . "
b.MAT.1.6,And Jesse begat David the king ; and David the king begat Solomon of her that had been the wife of Urias ; ,b.MAT.1.6,"Naj Isaí , haˈ naj ismam naj rey David . Haxa naj David , haˈ naj ismam naj Salomón , ismiˈ naj Salomón tuˈ xin , haˈ ton ix yixalticˈa naj Urías yet yalan ̈ tocanoj . "
b.MAT.1.7,And Solomon begat Roboam ; and Roboam begat Abia ; and Abia begat Asa ; ,b.MAT.1.7,"Wal naj Salomón , haˈ naj ismam naj Roboam , naj Roboam , haˈ naj ismam naj Abías , naj Abías , haˈ naj ismam naj Asa . "
b.MAT.1.8,And Asa begat Josaphat ; and Josaphat begat Joram ; and Joram begat Ozias ; ,b.MAT.1.8,"Naj Asa , haˈ naj ismam naj Josafat , naj Josafat haˈ naj ismam naj Joram , naj Joram , haˈ naj ismam naj Uzías . "
b.MAT.1.9,And Ozias begat Joatham ; and Joatham begat Achaz ; and Achaz begat Ezekias ; ,b.MAT.1.9,"Naj Uzías , haˈ naj ismam naj Jotam , naj Jotam , haˈ naj ismam naj Acaz , naj Acaz haˈ naj ismam naj Ezequías . "
b.MAT.1.10,And Ezekias begat Manasses ; and Manasses begat Amon ; and Amon begat Josias ; ,b.MAT.1.10,"Naj Ezequías , haˈ naj ismam naj Manasés , naj Manasés , haˈ naj ismam naj Amón , naj Amón haˈ naj ismam naj Josías . "
b.MAT.1.11,"And Josias begat Jechonias and his brethren , about the time they were carried away to Babylon : ",b.MAT.1.11,"Naj Josías , haˈ naj ismam naj Jeconías yeb huntekˈanxa yuẍtaj . Haˈ yin ̈ istiempohal naj Jeconías tuˈ ilaxto ebnaj Israel preso yul con ̈ ob Babilonia . "
b.MAT.1.12,"And after they were brought to Babylon , Jechonias begat Salathiel ; and Salathiel begat Zorobabel ; ",b.MAT.1.12,"Hayet yelti ebnaj yalan ̈ yip Babilonia tuˈ xin haˈ naj Jeconías , haˈ naj ismam naj Salatiel , naj Salatiel , haˈ naj ismam naj Zorobabel . "
b.MAT.1.13,And Zorobabel begat Abiud ; and Abiud begat Eliakim ; and Eliakim begat Azor ; ,b.MAT.1.13,"Naj Zorobabel , haˈ naj ismam naj Abiud , naj Abiud , haˈ naj ismam naj Eliaquim , naj Eliaquim , haˈ naj ismam naj Azor . "
