sent_id,text,sent_id2,text2
b.MAT.1.1,"The book of the generation of Jesus Christ , the son of David , the son of Abraham . ",b.MAT.1.1,Jesukrístu Weatrí ju ainiawai . Tura Ashí nankaamas ti uunt weat Tawitcha Apraámsha ainiawai . 
b.MAT.1.2,Abraham begat Isaac ; and Isaac begat Jacob ; and Jacob begat Judas and his brethren ; ,b.MAT.1.2,Apraáma Uchirí Isak . Tura Isaka Uchirí Jakup . Jakupa Uchirísha Jutá ni yachijiai . 
b.MAT.1.3,And Judas begat Phares and Zara of Thamar ; and Phares begat Esrom ; and Esrom begat Aram ; ,b.MAT.1.3,"Tura Jutá uchirin Páresan tura Sarancha Tamar jurermiayi . Páresa Uchirísha Esrum , nuna Uchirísha Aram . "
b.MAT.1.4,And Aram begat Aminadab ; and Aminadab begat Naasson ; and Naasson begat Salmon ; ,b.MAT.1.4,Nuna Uchirísha Aminiatáp . Nuna Uchirísha Nasun . Nuna Uchirísha Sarmun . 
b.MAT.1.5,And Salmon begat Booz of Rachab ; and Booz begat Obed of Ruth ; and Obed begat Jesse ; ,b.MAT.1.5,Sarmunka Uchiríncha Púusan Raap jurermiayi . Puusa Uchirín Uwitian Ruut jurermiayi . Uwitia Uchirísha Isaí . 
b.MAT.1.6,And Jesse begat David the king ; and David the king begat Solomon of her that had been the wife of Urias ; ,b.MAT.1.6,Nuna Uchirísha uunt akupin Tawit . Uunt akupin Tawitia Uchiríncha Sarumúnkan Patsepa jurermiayi . Patsepasha emka Uríasa nuweeyayi . 
b.MAT.1.7,And Solomon begat Roboam ; and Roboam begat Abia ; and Abia begat Asa ; ,b.MAT.1.7,Sarumúnka Uchirí Rupuam . Nuna Uchirísha Apías . Nuna Uchirísha Asa . 
b.MAT.1.8,And Asa begat Josaphat ; and Josaphat begat Joram ; and Joram begat Ozias ; ,b.MAT.1.8,Asa Uchirísha Jusapát . Nuna Uchirísha Juram . Nuna Uchirí Usías . 
b.MAT.1.9,And Ozias begat Joatham ; and Joatham begat Achaz ; and Achaz begat Ezekias ; ,b.MAT.1.9,Usíasa Uchirí Jutam . Nuna Uchirí Akas . Nuna Uchirí Esekías . 
b.MAT.1.10,And Ezekias begat Manasses ; and Manasses begat Amon ; and Amon begat Josias ; ,b.MAT.1.10,Esekíasa Uchirí Manasés . Nuna Uchirí Amun . Nuna Uchirí Jusías . 
b.MAT.1.11,"And Josias begat Jechonias and his brethren , about the time they were carried away to Babylon : ",b.MAT.1.11,Jusíasa Uchirí Jekunías ni yachi armia nujai . Nui Papirúnianmaya shuar Israer shuaran mesetjai nupetkar Papirúnia nunkanam achirar Júkiarmiayi . 
b.MAT.1.12,"And after they were brought to Babylon , Jechonias begat Salathiel ; and Salathiel begat Zorobabel ; ",b.MAT.1.12,Nu ukunmanka Jekuníasa Uchirí Saratiár akiiniamiayi . Tura nuna Uchirí Surupapír . 
b.MAT.1.13,And Zorobabel begat Abiud ; and Abiud begat Eliakim ; and Eliakim begat Azor ; ,b.MAT.1.13,Surupapíra Uchirí Awiut . Nuna Uchirí Iriakím . Nuna Uchirí Asur . 
b.MAT.1.14,And Azor begat Sadoc ; and Sadoc begat Achim ; and Achim begat Eliud ; ,b.MAT.1.14,Asura Uchirí Satuk . Nuna Uchirí Akim . Nuna Uchirí Eriut . 
b.MAT.1.15,And Eliud begat Eleazar ; and Eleazar begat Matthan ; and Matthan begat Jacob ; ,b.MAT.1.15,Eriuta Uchirí Ereasár . Nuna Uchirí Matan . Nuna Uchirí Jakup . 
