sent_id,text,sent_id2,text2
b.MAT.1.1,"The book of the generation of Jesus Christ , the son of David , the son of Abraham . ",b.MAT.1.1,A ten - an izur ̣ an n Ɛisa Lmasih ̣ yellan si dderya n Sidna Dawed akk - d Sidna Ibr ̣ ahim : 
b.MAT.1.2,Abraham begat Isaac ; and Isaac begat Jacob ; and Jacob begat Judas and his brethren ; ,b.MAT.1.2,"Sidna Ibr ̣ ahim yeg ̌ g ̌ a - d Ish ̣ aq , Ish ̣ aq yeg ̌ g ̌ a - d Yeɛqub , Yeɛqub yeg ̌ g ̌ a - d Yahuda d watmaten - is . "
b.MAT.1.3,And Judas begat Phares and Zara of Thamar ; and Phares begat Esrom ; and Esrom begat Aram ; ,b.MAT.1.3,"Yahuda akk - d Tamar ̣ g ̌ g ̌ an - d Fares , akk - d Zirah ̣ ; Fares yeg ̌ g ̌ a - d H ̣ esrun , H ̣ esrun yeg ̌ g ̌ a - d Aram . "
b.MAT.1.4,And Aram begat Aminadab ; and Aminadab begat Naasson ; and Naasson begat Salmon ; ,b.MAT.1.4,"Aram yeg ̌ g ̌ a - d Ɛaminadab , Ɛaminadab yeg ̌ g ̌ a - d Nah ̣ sun , Nah ̣ sun yeg ̌ g ̌ a - d Salmun . "
b.MAT.1.5,And Salmon begat Booz of Rachab ; and Booz begat Obed of Ruth ; and Obed begat Jesse ; ,b.MAT.1.5,"Salmun d Rah ̣ ab g ̌ g ̌ an - d Buɛaz , Buɛaz akk - d Rut sɛan - d Ɛubed , Ɛubed yeg ̌ g ̌ a - d Yassa . "
b.MAT.1.6,And Jesse begat David the king ; and David the king begat Solomon of her that had been the wife of Urias ; ,b.MAT.1.6,"Yassa yeg ̌ g ̌ a - d Sidna Dawed , Sidna Dawed yuɣal d agellid , yeg ̌ g ̌ a - d ɣer tmet ̣ t ̣ ut n Uryah ̣ Sidna Sliman . "
b.MAT.1.7,And Solomon begat Roboam ; and Roboam begat Abia ; and Abia begat Asa ; ,b.MAT.1.7,"Sidna Sliman yeg ̌ g ̌ a - d Rah ̣ abɛam , Rah ̣ abɛam yeg ̌ g ̌ a - d Abiya , Abiya yeg ̌ g ̌ a - d Asaf , "
b.MAT.1.8,And Asa begat Josaphat ; and Josaphat begat Joram ; and Joram begat Ozias ; ,b.MAT.1.8,Asaf yeg ̌ g ̌ a - d Yehucafat ; Yehucafat yeg ̌ g ̌ a - d Yihuram ; Yihuram yeg ̌ g ̌ a - d Ɛuzya ; 
b.MAT.1.9,And Ozias begat Joatham ; and Joatham begat Achaz ; and Achaz begat Ezekias ; ,b.MAT.1.9,Ɛuzya yeg ̌ g ̌ a - d Yut ̣ am ; Yut ̣ am yeg ̌ g ̌ a - d Ah ̣ az ; Ah ̣ az yeg ̌ g ̌ a - d H ̣ izeqya ; 
b.MAT.1.10,And Ezekias begat Manasses ; and Manasses begat Amon ; and Amon begat Josias ; ,b.MAT.1.10,H ̣ izeqya yeg ̌ g ̌ a - d Mennac ; Mennac yeg ̌ g ̌ a - d Ɛamun ; Ɛamun yeg ̌ g ̌ a - d Yuciya ; 
b.MAT.1.11,"And Josias begat Jechonias and his brethren , about the time they were carried away to Babylon : ",b.MAT.1.11,"Yuciya yeg ̌ g ̌ a - d Yixunya akk - d watmaten - is , di lweqt i deg iqaldiyen wwin at Isr ̣ ail d imeh ̣ bas ɣer tmurt n Babilun . "
b.MAT.1.12,"And after they were brought to Babylon , Jechonias begat Salathiel ; and Salathiel begat Zorobabel ; ",b.MAT.1.12,"Mbeɛd lweqt n usgig ̌ g ̌ i ɣer tmurtn Babilun , Yixunya yeg ̌ g ̌ a - d Calatyel ; Calatyel yeg ̌ g ̌ a - d Zurubabil . "
b.MAT.1.13,And Zorobabel begat Abiud ; and Abiud begat Eliakim ; and Eliakim begat Azor ; ,b.MAT.1.13,Zurubabil yeg ̌ g ̌ a - d Abihud . Abihud yeg ̌ g ̌ a - d Ilyaqim ; Ilyaqim yeg ̌ g ̌ a - d Ɛazur ̣ ; 
b.MAT.1.14,And Azor begat Sadoc ; and Sadoc begat Achim ; and Achim begat Eliud ; ,b.MAT.1.14,Ɛazur ̣ yeg ̌ g ̌ a - d Saduq ; Saduq yeg ̌ g ̌ a - d Yaxin ; Yaxin yeg ̌ g ̌ a - d Ilihud . 
b.MAT.1.15,And Eliud begat Eleazar ; and Eleazar begat Matthan ; and Matthan begat Jacob ; ,b.MAT.1.15,Ilhud yeg ̌ g ̌ a - d Ilɛazar ̣ ; Ilɛazar ̣ yeg ̌ g ̌ a - d Mattan ; Mattan yeg ̌ g ̌ a - d Yeɛqub . 
b.MAT.1.16,"And Jacob begat Joseph the husband of Mary , of whom was born Jesus , who is called Christ . ",b.MAT.1.16,"Yeɛqub yeg ̌ g ̌ a - d Yusef , d Yusef agi i d argaz n Meryem i d - yeg ̌ g ̌ an Sidna Ɛisa i get ̦ t ̦ usemman Lmasih ̣ . "
