sent_id,text,sent_id2,text2
b.MAT.1.1,"The book of the generation of Jesus Christ , the son of David , the son of Abraham . ",b.MAT.1.1,Quemënga imnamna Jesucristbe bëts taitanga : Jesucristna Rey David y Abrahámbents ̈ ana ents ̈ á inamna . 
b.MAT.1.2,Abraham begat Isaac ; and Isaac begat Jacob ; and Jacob begat Judas and his brethren ; ,b.MAT.1.2,"Abraham yojamna Isaacbe taitá ; Isaacna Jacobëbe taitá y Jacob , Judá y chabe cats ̈ átangbe taitá . Judá , Fares y Zarabe taitá ; y chatbe mamá Tamar yojamna ; Fares Esrombe taitá y mua Arambe taitá . Aram Aminadabëbe taitá ; Aminadab Naasonbe taitá y Naasón Salmonbe taitá . Salmón Boozbe taitá y muabe mamá Rahab yojamna ; Booz Obedbe taitá y muabe mamá Rut yojamna ; y Obedna Isaíbe taitá . Isaí Rey Davidbe taitá ; David Salomonbe taitá y muabe mamá yojamna chë Uríasbe shema inamná . "
b.MAT.1.7,And Solomon begat Roboam ; and Roboam begat Abia ; and Abia begat Asa ; ,b.MAT.1.7,"Salomón Roboambe taitá ; Roboam Abíasbe taitá y Abíasna Asabe taitá ; Asa Josafatbe taitá ; Josafat Jorambe taitá y Joramna Uzíasbe taitá . Uzías Jotambe taitá , Jotam Acazbe taitá y Acazna Ezequíasbe taitá . Ezequías Manasesbe taitá ; Manasés Amonbe taitá y Amón Josíasbe taitá . Josíasna Jeconías y chabe cats ̈ átangbe taitá yojamna . Chë Babilonioca ents ̈ anga chë israelitënga tmojánishëche y choca imojanëtámena ora , Josías chë básenga yojánabamna . "
b.MAT.1.12,"And after they were brought to Babylon , Jechonias begat Salathiel ; and Salathiel begat Zorobabel ; ",b.MAT.1.12,"Ya Babilonioca ndutámenënga ora ; Jeconías Salatielbe taitá ; Salatiel Zorobabelbe taitá . Zorobabel Abiudbe taitá ; Abiud Eliaquimbe taitá y Eliaquimna Azorbe taitá . Azor Sadocbe taitá ; Sadoc Aquimbe taitá y Aquimna Eliudbe taitá . Eliud Eleazarbe taitá ; Eleazar Matanbe taitá y Matán Jacobëbe taitá . Jacob Josebe taitá yojamna y Josena Mariybe boyá . María Jesusbe mamá , Jesús chë Bëngbe Bëtsabe Uámana Uabuayaná , chë Cristo ca uabainá . "
b.MAT.1.17,So all the generations from Abraham to David are fourteen generations ; and from David until the carrying away into Babylon are fourteen generations ; and from the carrying away into Babylon unto Christ are fourteen generations . ,b.MAT.1.17,"Chcasna , Abrahámbents ̈ ana Davidbentscoñe bnë ́ tsana canta bëts pamíllanga imojëftsemna . Davídbents ̈ ana y chë israelitënga Babilonioca imojanëtamenëntscuana inÿe bnë ́ tsana canta bëts pamíllanga ; y inÿe bnë ́ tsana canta bëts pamíllanga chë Israeloca ents ̈ anga imojanëtamenents ̈ ana , chë Cristo tojanonÿnántscoñe . "
b.MAT.1.18,"Now the birth of Jesus Christ was on this wise : When as his mother Mary was espoused to Joseph , before they came together , she was found with child of the Holy Ghost . ",b.MAT.1.18,"Jesucristo jónÿnanamna mënts ̈ á tojanopasá : María tbojans ̈ buachená Joséftaca jobouamayama , pero cabá ndoñe cánÿiñe ibontsiyena ora , tojanopasá Mariyna ngomamaná yojoquéda chë Uámana Espíritbe obenánaca . "
b.MAT.1.19,"Then Joseph her husband , being a just man , and not willing to make her a publick example , was minded to put her away privily . ",b.MAT.1.19,"José , Mariybe boyá , canÿe nÿetsca soyënguiñe ts ̈ abá jamama bos ̈ á inamna . Cha ndoñe yontsebos ̈ e ents ̈ angbe delante cha mal jaquédana ; chíyecna tojanjuabó nÿe iytëcana Maríybents ̈ ana jtsojuánañana . "
b.MAT.1.20,"But while he thought on these things , behold , the angel of the Lord appeared unto him in a dream , saying , Joseph , thou son of David , fear not to take unto thee Mary thy wife : for that which is conceived in her is of the Holy Ghost . ",b.MAT.1.20,"Y chca yojtsejuabnantscuana , mo otjenayoquëcá canÿe Bëngbe Bëtsabe ángel tbojáninÿe y chana Josébioye tbojaniyana : “ José , Davídbents ̈ ana ents ̈ á , ndoñe matenócochinÿenana Maríaftaca jobouamayama , er chë bochántsebomna s ̈ es ̈ ona chë Uámana Espíritbe obenánaca cha bochántsebomna . "
b.MAT.1.21,"And she shall bring forth a son , and thou shalt call his name JESUS : for he shall save his people from their sins . ",b.MAT.1.21,María canÿe s ̈ es ̈ ona bochántsebomna y cha Jesús ca cochjuabaye . Chca echantsabaina er cha chabe ents ̈ anga chëngbe bacna soyënguents ̈ ana echanjátsebacaye ca ” — chë ángel tbojaniyana . 
b.MAT.1.22,"Now all this was done , that it might be fulfilled which was spoken of the Lord by the prophet , saying , ",b.MAT.1.22,"Lempe chca tojanochnëngo , cachcá chaotsemnama nts ̈ amo Bëngbe Bëtsá chabe juabna oyebuambnayëngbiajana tojanayancá . Chë oyebuambnayá mënts ̈ á tojánayana : "
b.MAT.1.23,"Behold , a virgin shall be with child , and shall bring forth a son , and they shall call his name Emmanuel , which being interpreted is , God with us . ",b.MAT.1.23,"Chë cabá boyabása nduabuatmá ngomamaná echanjoquéda y canÿe s ̈ es ̈ ona boyabásetema bochántsebomna , y cha mochanjuabaye Emanuel ca . ( Emanuel endayana “ Bëngbe Bëtsá bë ́ ngaftaca ca ” . ) "
b.MAT.1.24,"Then Joseph being raised from sleep did as the angel of the Lord had bidden him , and took unto him his wife : ",b.MAT.1.24,"José chë otjénayents ̈ ana tojanofs ̈ ená ora , tojanma nts ̈ amo chë Bëngbe Bëtsabe ángel tbojanmandacá y Maríaftaca tojanobouamá . "
b.MAT.1.25,And knew her not till she had brought forth her firstborn son : and he called his name JESUS . ,b.MAT.1.25,"Pero ndoñe cánÿiñe ibontsaniyena , sinó nÿe chë s ̈ es ̈ onatema tojanonÿná orscana . Chë s ̈ es ̈ onatema tojanonÿná orna , José chábioye Jesús ca tbojanabaye . "
b.MAT.2.1,"Now when Jesus was born in Bethlehem of Judaea in the days of Herod the king , behold , there came wise men from the east to Jerusalem , ",b.MAT.2.1,"Herodes judiëngbe rey yojamna ora , canÿe pueblo Judeoca , Belén ca uabáinents ̈ e Jesús tojanonÿná . Chents ̈ ana , báseftanga , estrellënga uatsjéndayënga , magos ca uabáinënga , canÿe bëts puebloye Jerusalén ca uabáinoye tmojánashjajna . Chënga tmojánabo shinÿe bocanoye luarëngocana . "
b.MAT.2.2,"Saying , Where is he that is born King of the Jews ? for we have seen his star in the east , and are come to worship him . ",b.MAT.2.2,"Jerusalenocna chënga , Heródesbioye tmojána y tmojanënoticiá : “ ¿ Ndayents ̈ e yojtsemna chë judiëngbe rey jtsemnama tojonÿná cha ca ? Bëngbe luarëngoca shinÿe bocanoye chabe onÿnana estrella fsënjinÿe y as muents ̈ e cha jaboadórama tifjabo ca . ” "
b.MAT.2.3,"When Herod the king had heard these things , he was troubled , and all Jerusalem with him . ",b.MAT.2.3,"Rey Herodes chca tojanuena ora , corente yojtsenócochinÿena , y nÿetsca chë Jerusalenents ̈ e oyenë ́ ngnaca . "
b.MAT.2.4,"And when he had gathered all the chief priests and scribes of the people together , he demanded of them where Christ should be born . ",b.MAT.2.4,"Chents ̈ ana chë rey tojánachembo nÿetsca chë judiëngbe bachnangbe amë ́ ndayënga y chë judiëngbe ley abuátambayënga jenoyeunayëngama . Mënts ̈ á tojanatjá : — ¿ Ndayents ̈ e chë Bëngbe Bëtsabe Uámana Uabuayaná , chë Cristo ca uabainá , jónÿnama ibomna ca ? "
b.MAT.2.5,"And they said unto him , In Bethlehem of Judaea : for thus it is written by the prophet , ",b.MAT.2.5,"Chënga tmojanjuá : — Judeoca , Belén pueblents ̈ e ca . Bayté entsemna chë Bëngbe Bëtsabe juabna oyebuambnayá Miqueas mënts ̈ á tojanábema : "
