sent_id,text,sent_id2,text2
b.MAT.1.1,"The book of the generation of Jesus Christ , the son of David , the son of Abraham . ",b.MAT.1.1,"Jēzus Kristus , Dāvida dēla , Ābrahama dēla , cilts grāmata . "
b.MAT.1.2,Abraham begat Isaac ; and Isaac begat Jacob ; and Jacob begat Judas and his brethren ; ,b.MAT.1.2,Ābrahams dzemdināja Īzāku . Un Īzāks dzemdināja Jēkabu . Jēkabs dzemdināja Jūdu un viņa brāļus . 
b.MAT.1.3,And Judas begat Phares and Zara of Thamar ; and Phares begat Esrom ; and Esrom begat Aram ; ,b.MAT.1.3,Jūda dzemdināja Faresu un Zāru no Tamāras ; Faress dzemdināja Esronu ; Esrons dzemdināja Aramu ; 
b.MAT.1.4,And Aram begat Aminadab ; and Aminadab begat Naasson ; and Naasson begat Salmon ; ,b.MAT.1.4,Arams dzemdināja Aminadabu ; un Aminadabs dzemdināja Nāsonu ; Nāsons dzemdināja Salmonu ; 
b.MAT.1.5,And Salmon begat Booz of Rachab ; and Booz begat Obed of Ruth ; and Obed begat Jesse ; ,b.MAT.1.5,Salmons dzemdināja Boozu no Rahabas ; Boozs dzemdināja Obedu no Rutes ; Obeds dzemdināja Jesi ; Jese dzemdināja ķēniņu Dāvidu ; 
b.MAT.1.6,And Jesse begat David the king ; and David the king begat Solomon of her that had been the wife of Urias ; ,b.MAT.1.6,"Ķēniņš Dāvids dzemdināja Salomonu no tās , kas bija Ūrija ; "
b.MAT.1.7,And Solomon begat Roboam ; and Roboam begat Abia ; and Abia begat Asa ; ,b.MAT.1.7,Salomons dzemdināja Roboamu ; Roboams dzemdināja Abiju ; Abijs dzemdināja Azu ; 
b.MAT.1.8,And Asa begat Josaphat ; and Josaphat begat Joram ; and Joram begat Ozias ; ,b.MAT.1.8,Azs dzemdināja Jozafatu ; Jozafats dzemdināja Joramu ; Jorams dzemdināja Oziju ; 
b.MAT.1.9,And Ozias begat Joatham ; and Joatham begat Achaz ; and Achaz begat Ezekias ; ,b.MAT.1.9,Ozijs dzemdināja Joatamu ; Joatams dzemdināja Ahazu ; Ahazs dzemdināja Ezehiju ; 
b.MAT.1.10,And Ezekias begat Manasses ; and Manasses begat Amon ; and Amon begat Josias ; ,b.MAT.1.10,Un Ezehijs dzemdināja Manasu ; Manass dzemdināja Amonu ; Amons dzemdināja Josiju ; 
b.MAT.1.11,"And Josias begat Jechonias and his brethren , about the time they were carried away to Babylon : ",b.MAT.1.11,Josijs dzemdināja Jehoniju un viņa brāļus Babilonas verdzībā . 
b.MAT.1.12,"And after they were brought to Babylon , Jechonias begat Salathiel ; and Salathiel begat Zorobabel ; ",b.MAT.1.12,Pēc Babilonas verdzības Jehonijs dzemdināja Salatiēlu ; Salatiēls dzemdināja Zorobabelu ; 
b.MAT.1.13,And Zorobabel begat Abiud ; and Abiud begat Eliakim ; and Eliakim begat Azor ; ,b.MAT.1.13,Zorobabels dzemdināja Abiudu ; Abiuds dzemdināja Eliakimu ; Eliakims dzemdināja Azoru ; 
b.MAT.1.14,And Azor begat Sadoc ; and Sadoc begat Achim ; and Achim begat Eliud ; ,b.MAT.1.14,Azors dzemdināja Sadoku ; Sadoks dzemdināja Ahimu ; un Ahims dzemdināja Eliudu ; 
b.MAT.1.15,And Eliud begat Eleazar ; and Eleazar begat Matthan ; and Matthan begat Jacob ; ,b.MAT.1.15,Un Eliuds dzemdināja Eleazaru ; un Eleazars dzemdināja Matanu ; un Matans dzemdināja Jēkabu ; 
b.MAT.1.16,"And Jacob begat Joseph the husband of Mary , of whom was born Jesus , who is called Christ . ",b.MAT.1.16,"Bet Jēkabs dzemdināja Jāzepu , Marijas vīru , no kuras dzimis Jēzus , kas top saukts Kristus . "
b.MAT.1.17,So all the generations from Abraham to David are fourteen generations ; and from David until the carrying away into Babylon are fourteen generations ; and from the carrying away into Babylon unto Christ are fourteen generations . ,b.MAT.1.17,Visas paaudzes tātad no Ābrahama līdz Dāvidam ir četrpadsmit paaudzes ; un no Dāvida līdz Babilonas verdzībai ir četrpadsmit paaudzes ; un no Babilonas verdzības līdz Kristum četrpadsmit paaudzes . 
b.MAT.1.18,"Now the birth of Jesus Christ was on this wise : When as his mother Mary was espoused to Joseph , before they came together , she was found with child of the Holy Ghost . ",b.MAT.1.18,"Bet ar Kristus dzimšanu bija tā : kad Viņa māte Marija tika saderināta ar Jāzepu , iekams viņi sagāja kopā , izrādījās , ka viņa savās miesās ieņēmusi no Svētā Gara . "
b.MAT.1.19,"Then Joseph her husband , being a just man , and not willing to make her a publick example , was minded to put her away privily . ",b.MAT.1.19,"Bet Jāzeps , viņas vīrs , būdams taisnīgs un negribēdams viņai neslavu celt , gribēja viņu slepeni atstāt . "
b.MAT.1.20,"But while he thought on these things , behold , the angel of the Lord appeared unto him in a dream , saying , Joseph , thou son of David , fear not to take unto thee Mary thy wife : for that which is conceived in her is of the Holy Ghost . ",b.MAT.1.20,"Bet kamēr viņš par to domāja , lūk , Kunga eņģelis parādījās viņam sapnī , sacīdams : Jāzep , Dāvida dēls , nebīsties pieņemt savu sievu Mariju , jo kas viņā iedzimis , ir no Svētā Gara . "
b.MAT.1.21,"And she shall bring forth a son , and thou shalt call his name JESUS : for he shall save his people from their sins . ",b.MAT.1.21,"Viņa dzemdēs Dēlu , un tu nosauksi Viņu vārdā Jēzus , jo Viņš atpestīs savu tautu no tās grēkiem . "
b.MAT.1.22,"Now all this was done , that it might be fulfilled which was spoken of the Lord by the prophet , saying , ",b.MAT.1.22,"Bet tas viss ir noticis , lai piepildītos , ko Kungs runājis caur pravieti , kas saka : "
b.MAT.1.23,"Behold , a virgin shall be with child , and shall bring forth a son , and they shall call his name Emmanuel , which being interpreted is , God with us . ",b.MAT.1.23,"Lūk , jaunava ieņems savās miesās un dzemdēs Dēlu , un nosauks Viņu vārdā Emanuēls , kas ir tulkots : Dievs ar mums . "
b.MAT.1.24,"Then Joseph being raised from sleep did as the angel of the Lord had bidden him , and took unto him his wife : ",b.MAT.1.24,"Bet Jāzeps , uzmodies no miega , darīja tā , kā Kunga eņģelis bija viņam pavēlējis , un pieņēma savu sievu . "
b.MAT.1.25,And knew her not till she had brought forth her firstborn son : and he called his name JESUS . ,b.MAT.1.25,"Un viņš to neatzina , kamēr viņa dzemdēja savu pirmdzimto Dēlu , nosaucot Viņu vārdā Jēzus . "
b.MAT.2.1,"Now when Jesus was born in Bethlehem of Judaea in the days of Herod the king , behold , there came wise men from the east to Jerusalem , ",b.MAT.2.1,"Kad Jēzus ķēniņa Heroda laikā bija dzimis jūdu Betlēmē , gudrie no austrumiem aizgāja uz Jeruzalemi , "
