sent_id,text,sent_id2,text2
b.MAT.1.1,"The book of the generation of Jesus Christ , the son of David , the son of Abraham . ",b.MAT.1.1,"Atzin te luˈn atzin tajlal t ‑ xeˈchil Jesucrist , a tzajnin tiˈj qtzan David ex tiˈj qtzan Abraham : "
b.MAT.1.2,Abraham begat Isaac ; and Isaac begat Jacob ; and Jacob begat Judas and his brethren ; ,b.MAT.1.2,"Ante Abraham , ttata Isaac , a ttata Jacob , a ttata Judá junx kyukˈa ttziky ex titzˈin . "
b.MAT.1.3,And Judas begat Phares and Zara of Thamar ; and Phares begat Esrom ; and Esrom begat Aram ; ,b.MAT.1.3,"Ante Judá tukˈa Tamar , ayeˈ kytata Fares tukˈa Zara . Ante Fares ttata Esrom , a ttata Aram , "
b.MAT.1.4,And Aram begat Aminadab ; and Aminadab begat Naasson ; and Naasson begat Salmon ; ,b.MAT.1.4,"a ttata Aminadab , a ttata Naasón , a ttata Salmón . "
b.MAT.1.5,And Salmon begat Booz of Rachab ; and Booz begat Obed of Ruth ; and Obed begat Jesse ; ,b.MAT.1.5,"Ante Salmón tukˈa Rahab , ayeˈ ttata Booz , ex ante Booz tukˈa Rut , ayeˈ ttata Obed , a ttata Isaí . "
b.MAT.1.6,And Jesse begat David the king ; and David the king begat Solomon of her that had been the wife of Urias ; ,b.MAT.1.6,"Ante Isaí , ttata David , a nmaq kawiltaq . Ante David ttata Salomón , a taljo t ‑ xuˈjlbˈin Urías . "
b.MAT.1.7,And Solomon begat Roboam ; and Roboam begat Abia ; and Abia begat Asa ; ,b.MAT.1.7,"Ante Salomón ttata Roboam , a ttata Abías , a ttata Asa , "
b.MAT.1.8,And Asa begat Josaphat ; and Josaphat begat Joram ; and Joram begat Ozias ; ,b.MAT.1.8,"a ttata Josafat , a ttata Joram , a ttata Uzías , "
b.MAT.1.9,And Ozias begat Joatham ; and Joatham begat Achaz ; and Achaz begat Ezekias ; ,b.MAT.1.9,"a ttata Jotam , a ttata Acaz , a ttata Ezequías , "
b.MAT.1.10,And Ezekias begat Manasses ; and Manasses begat Amon ; and Amon begat Josias ; ,b.MAT.1.10,"a ttata Manasés , a ttata Amón , a ttata Josías , "
b.MAT.1.11,"And Josias begat Jechonias and his brethren , about the time they were carried away to Babylon : ",b.MAT.1.11,"a ttata Jeconías kyukˈa txqantl titzˈin , a teˈ kyxi jtzˈoˈn aj Israel tzmax toj txˈotxˈ te Babilonia . "
b.MAT.1.12,"And after they were brought to Babylon , Jechonias begat Salathiel ; and Salathiel begat Zorobabel ; ",b.MAT.1.12,"Axsa toj Babilonia ante Jeconías ok te ttata Salatiel , a ttata Zorobabel , "
b.MAT.1.13,And Zorobabel begat Abiud ; and Abiud begat Eliakim ; and Eliakim begat Azor ; ,b.MAT.1.13,"a ttata Abiud , a ttata Eliaquim , a ttata Azor , "
b.MAT.1.14,And Azor begat Sadoc ; and Sadoc begat Achim ; and Achim begat Eliud ; ,b.MAT.1.14,"a ttata Sadoc , a ttata Akim , a ttata Eliud , "
b.MAT.1.15,And Eliud begat Eleazar ; and Eleazar begat Matthan ; and Matthan begat Jacob ; ,b.MAT.1.15,"a ttata Eleazar , a ttata Matán , a ttata Jacob , "
b.MAT.1.16,"And Jacob begat Joseph the husband of Mary , of whom was born Jesus , who is called Christ . ",b.MAT.1.16,"a ttata Jse , a tchmil Mariy , a tnana Jesús , a ok tbˈi te Crist , a skˈoˈnxix tuˈn Dios tuˈn tok te Kolil . "
b.MAT.1.17,So all the generations from Abraham to David are fourteen generations ; and from David until the carrying away into Babylon are fourteen generations ; and from the carrying away into Babylon unto Christ are fourteen generations . ,b.MAT.1.17,"Ikytziˈn , attaq kyajlajaj tyajil tzajnin tiˈj Abraham tzmaxiˈ tej tul itzˈje David ; ex kyajlajaj tyajil tzajnin tiˈj David , tej kyxi jtzˈoˈn aj Israel tzmax toj txˈotxˈ te Babilonia . Ex attaq kyajlajaj tyajil tzajnin , atxix teˈ kyxi jtzˈoˈnxjal toj Babilonia tzmax tej tul itzˈje Crist . "
b.MAT.1.18,"Now the birth of Jesus Christ was on this wise : When as his mother Mary was espoused to Joseph , before they came together , she was found with child of the Holy Ghost . ",b.MAT.1.18,"Atzin titzˈjlin Jesucrist ikytziˈn kyjaluˈn : Ante Mariy , a tnana , otaq bˈant tiˈj , tuˈn tmeje tukˈa Jse . Me tej naˈmtaqx kykubˈ kẍe junx , bˈeˈx ok tzˈaq tal Mariy , noq tuˈn tipin Xewbˈaj Xjan . "
b.MAT.1.19,"Then Joseph her husband , being a just man , and not willing to make her a publick example , was minded to put her away privily . ",b.MAT.1.19,"Me ante Jse , a tuˈn toktaq te tchmil , tej tok tkaˈyin qa otaq tzˈok tzˈaq tal Mariy , kubˈ t ‑ ximin tuˈn tkubˈ tpaˈn tibˈ tukˈa , quˈn jun ichin tzˈaqle , ex kubˈ t ‑ ximin qa noq otaq skˈon Mariy tal . Me tkyˈeˈtaq tuˈn tel tqanil kywutzxjal , tuˈntzintla mi kubˈ kybˈinchinxjal mibˈin tiˈj Mariy ; qalaˈ kubˈ t ‑ ximin tuˈn chebˈetaq tuˈn tkubˈ tpaˈn tibˈ tukˈa toj ewajil . "
b.MAT.1.20,"But while he thought on these things , behold , the angel of the Lord appeared unto him in a dream , saying , Joseph , thou son of David , fear not to take unto thee Mary thy wife : for that which is conceived in her is of the Holy Ghost . ",b.MAT.1.20,"Ex tzmataq nximin tiˈjjo lo , ok tyekˈin jun t ‑ angel qAjaw tibˈ te toj wutzikyˈ , ex xi tqˈmaˈn te : Jse , ay tyajil qtzan nmaq kawil David . Mi xobˈa tuˈn tjaw mejey tukˈa Mariy , quˈn atzin tal k ‑ itzˈjil nya tkˈwal jun ichin , qalaˈ tuˈn Xewbˈaj Xjan . "
b.MAT.1.21,"And she shall bring forth a son , and thou shalt call his name JESUS : for he shall save his people from their sins . ",b.MAT.1.21,"Quˈn k ‑ itzˈjil jun tal qˈa , ex k ‑ okil tqˈoˈn tbˈi Jesús . K ‑ okil tbˈi ikyjo , quˈn kchi kletil xjal toj il tuˈn . "
b.MAT.1.22,"Now all this was done , that it might be fulfilled which was spoken of the Lord by the prophet , saying , ",b.MAT.1.22,"O bˈaj tkyaqiljo lo , noq tuˈn tjapiˈn yol tzaj tqˈmaˈn qAjaw tuˈn yolil Tyol Dios ojtxe , tej tqˈma : "
b.MAT.1.23,"Behold , a virgin shall be with child , and shall bring forth a son , and they shall call his name Emmanuel , which being interpreted is , God with us . ",b.MAT.1.23,"Jun tal txin , a naˈmxtaq tlonte ichin , ex tzul itzˈje jun tal tal qˈa . Ex k ‑ okil juntl tbˈi Emanuel , a ntqˈmaˈn qa Dios qukˈa . "
b.MAT.1.24,"Then Joseph being raised from sleep did as the angel of the Lord had bidden him , and took unto him his wife : ",b.MAT.1.24,"Tej tjaw sakˈpaj Jse toj twatl , kubˈ tbˈinchin tzeˈnkuxjo otaq tqˈma t ‑ angel qAjaw te , ex bˈeˈx xi tkˈleˈn Mariy te t ‑ xuˈjil . "
b.MAT.1.25,And knew her not till she had brought forth her firstborn son : and he called his name JESUS . ,b.MAT.1.25,"Me mix i kubˈe kẍe junx , tzmaxiˈ tej tul itzˈje tnejil tal , a qˈa , a otaqxi tzˈok tzˈaq . Ex ok tqˈoˈn tbˈi Jesús . "
b.MAT.2.1,"Now when Jesus was born in Bethlehem of Judaea in the days of Herod the king , behold , there came wise men from the east to Jerusalem , ",b.MAT.2.1,"Antza itzˈje Jesús tojjo tal tnam Belén , toj txˈotxˈ te Judey , tej toktaq Herodes te nmaq kawil tojjo txˈotxˈ anetziˈn . I kanin tojjo tnam Jerusalén junjun ichin aj nabˈlqe , tzajninqe toj tjawitz qˈij , "
b.MAT.2.2,"Saying , Where is he that is born King of the Jews ? for we have seen his star in the east , and are come to worship him . ",b.MAT.2.2,"ex xi kyqanin : ¿ Jaˈtzin taˈ nmaq kawil kye xjal aj Judiy , a ma tzˈitzˈje ? Quˈn ma qliˈy tcheˈw te tqanil tojjo qtxˈotxˈa toj tjawitz qˈij , ex ma qo tzaja tzaluˈn tuˈn qkˈulin twutz . "
b.MAT.2.3,"When Herod the king had heard these things , he was troubled , and all Jerusalem with him . ",b.MAT.2.3,"Atzaj teˈ tbˈinte Herodes , a nmaq kawil , bˈeˈx najx tnabˈl kyukˈa tkyaqilxjal toj Jerusalén . "
b.MAT.2.4,"And when he had gathered all the chief priests and scribes of the people together , he demanded of them where Christ should be born . ",b.MAT.2.4,"Tuˈnpetziˈn , bˈeˈx i tzaj ttxkoˈn kykyaqil kynejil pale exqetziˈn xnaqˈtzil tiˈj tkawbˈil aj Judiy , ex xi tqanin kye : ¿ Jaˈtzin tuˈn titzˈjetaq Crist ? "
b.MAT.2.5,"And they said unto him , In Bethlehem of Judaea : for thus it is written by the prophet , ",b.MAT.2.5,"Aye nejinel kyxol aj Judiy xi kytzaqˈwin : Toj tnam Belén toj txˈotxˈ Judey , chi chiˈ . Quˈn ikytziˈn kyij ttzˈibˈin yolil Tyol Dios ojtxe . Chiˈ kyjaluˈn : "
b.MAT.2.6,"And thou Bethlehem , in the land of Juda , art not the least among the princes of Juda : for out of thee shall come a Governor , that shall rule my people Israel . ",b.MAT.2.6,"Ante Belén , toj ttxˈotxˈ Judá , nya tal muˈẍ tnam te kyxol tkyaqil nmaq tnam kye aj Judiy . Quˈn toja , k ‑ elitze jun tnejil , a k ‑ okil kaˈyinte Ntanima , ayeˈ aj Israel , tzeˈnku jun kyikˈlel . "
b.MAT.2.7,"Then Herod , when he had privily called the wise men , inquired of them diligently what time the star appeared . ",b.MAT.2.7,"Tuˈnpetziˈn , i tzaj ttxkoˈnte Herodes toj ewajil aye aj nabˈl , ex xi tqanin alkyexix qˈij , tej kylonte cheˈw . "
b.MAT.2.8,"And he sent them to Bethlehem , and said , Go and search diligently for the young child ; and when ye have found him , bring me word again , that I may come and worship him also . ",b.MAT.2.8,"Ex bˈeˈxsin i xi tchqˈoˈn tzmax Belén , ex xi tqˈmaˈn kye : Ku kyxiˈy antza , ex kyxjelinxa wen tiˈjjo tal neˈẍ . Ajtzin knet kyuˈn , kysmaˈntza tqanil weˈy , tuˈntzin ex ikyx wejiˈy tuˈn nxiˈy kˈulil twutz . "
b.MAT.2.9,"When they had heard the king , they departed ; and , lo , the star , which they saw in the east , went before them , till it came and stood over where the young child was . ",b.MAT.2.9,"Tuˈntziˈn tyol Herodes , bˈeˈx i xiˈ aj nabˈl . Atzin teˈ cheˈw , a kyli toj tjawitz qˈij , nejnintaq kywutz ex tzmaxi weˈ , tej tkanin tibˈajjo ja , jaˈ taˈtaqjo tal kˈwal . "
b.MAT.2.10,"When they saw the star , they rejoiced with exceeding great joy . ",b.MAT.2.10,"Tej kylonte aj nabˈljo cheˈw tkubˈ weˈ , bˈeˈxsin i jaw tzalaj nimxix . "
b.MAT.2.11,"And when they were come into the house , they saw the young child with Mary his mother , and fell down , and worshipped him : and when they had opened their treasures , they presented unto him gifts ; gold , and frankincense , and myrrh . ",b.MAT.2.11,"Atzaj teˈ kyokx tuja , kyli tal kˈwal tukˈax tnana , a Mariy , ex bˈeˈx i kubˈ meje kˈulil twutz . Ex xi kyoyin qˈanpwaq , exsin storak ex jun kˈokˈjsbˈil , mir tbˈi . "
b.MAT.2.12,"And being warned of God in a dream that they should not return to Herod , they departed into their own country another way . ",b.MAT.2.12,"Tbˈajlinxiˈ ikyjo , tzaj tyekˈin Dios kye toj kywutzikyˈ , tuˈn mi chi meltzˈaj jaˈ taˈtaq Herodes . Tuˈnpetziˈn , tojxi junxil bˈe i ajtz meltzˈaj , tej kyajtz . "
b.MAT.2.13,"And when they were departed , behold , the angel of the Lord appeareth to Joseph in a dream , saying , Arise , and take the young child and his mother , and flee into Egypt , and be thou there until I bring thee word : for Herod will seek the young child to destroy him . ",b.MAT.2.13,"Tej kyajtz aj nabˈl , jun t ‑ angel qAjaw ok tyekˈin tibˈ toj twutzikyˈ Jse , ex xi tqˈmaˈn te : Kux jaw weˈksa . Chlentzjiy tal qˈa tukˈax tnana , ex kux cheˈxa toj txˈotxˈ Egipto , ex tenkja antza , tzmaxiˈ aj t ‑ xi nqˈmaˈn tey . Quˈn kjyol Herodes tiˈjjo tal qˈa , tuˈn tkubˈ bˈyet . "
b.MAT.2.14,"When he arose , he took the young child and his mother by night , and departed into Egypt : ",b.MAT.2.14,"Tuˈnpetziˈn , bˈeˈx jaw weˈ Jse , ex xi tchleˈn tal kˈwal tukˈa toj qnikyˈin tukˈaxjo tnana , tuˈn kyxiˈ Egipto . "
b.MAT.2.15,"And was there until the death of Herod : that it might be fulfilled which was spoken of the Lord by the prophet , saying , Out of Egypt have I called my son . ",b.MAT.2.15,"Antza i tene , tzmaxiˈ tej tkyim Herodes . Bˈant ikyjo , noq tuˈn tjapiˈn a tqˈma qAjaw tuˈn yolil Tyol Dios ojtxe . Chiˈ kyjaluˈn : Tzmax Egipto , ktzajil ntxkon weˈ nkˈwalch . "
b.MAT.2.16,"Then Herod , when he saw that he was mocked of the wise men , was exceeding wroth , and sent forth , and slew all the children that were in Bethlehem , and in all the coasts thereof , from two years old and under , according to the time which he had diligently inquired of the wise men . ",b.MAT.2.16,"Tej tel tnikyˈ Herodes te , qa otaq kubˈ sbˈuˈn kyuˈn aj nabˈl , bˈeˈx tzaj tqˈoj kyiˈj . Ex bˈeˈx ex tqˈoˈn jun tkawbˈil , tuˈn kykubˈ bˈyetjo jniˈ kˈwal , a naˈmtaq kyjapin te kabˈe abˈqˈe , ayeˈ iteˈtaq toj Belén ex kykyaqil kojbˈil tiˈjile , tzeˈnku otaq kyqˈma aj nabˈl , qa otaq tzˈitzˈje jun nmaq kawil antza . "
b.MAT.2.17,"Then was fulfilled that which was spoken by Jeremy the prophet , saying , ",b.MAT.2.17,"Quˈn ikytzin japin bˈajjo , a kubˈ ttzˈibˈin Jeremías , a yolil Tyol Dios ojtxe . Chiˈ kyjaluˈn : "
b.MAT.2.18,"In Rama was there a voice heard , lamentation , and weeping , and great mourning , Rachel weeping for her children , and would not be comforted , because they are not . ",b.MAT.2.18,"Bˈijte jun tqˈajqˈojil wibˈaj toj Ramá , tzeˈnku jun oqˈil tukˈa nimx bˈisbˈajil . Nyakuj kyoqˈil kykyaqil txubˈaj aj Israel junx kyukˈa kyimnin ex kyukˈa itzˈqe , nchi oqˈ kyiˈj kyal , ayeˈ i kubˈ bˈyoˈn , ex mix aˈl nchewsin teˈ kykˈuˈj . "
b.MAT.2.19,"But when Herod was dead , behold , an angel of the Lord appeareth in a dream to Joseph in Egypt , ",b.MAT.2.19,"Me teˈ otaqxi kyim Herodes , jun t ‑ angel qAjaw ok toj twutzikyˈ Jse , tej atxtaq toj txˈotxˈ Egipto , ex tqˈma : "
