sent_id,text,sent_id2,text2
b.MAT.1.1,"The book of the generation of Jesus Christ , the son of David , the son of Abraham . ",b.MAT.1.1,In se tocayomej de itajhuehuentzitzihuan Jesucristo yejhuan teicniu itech David niman Abraham . 
b.MAT.1.2,Abraham begat Isaac ; and Isaac begat Jacob ; and Jacob begat Judas and his brethren ; ,b.MAT.1.2,"Abraham tajtli catca itech Isaac , niman Isaac tajtli catca itech Jacob , niman Jacob tajtli catca intech Judá niman icnihuan Judá . "
b.MAT.1.3,And Judas begat Phares and Zara of Thamar ; and Phares begat Esrom ; and Esrom begat Aram ; ,b.MAT.1.3,"Judá tajtli catca intech Fares niman Zara , niman innan Fares niman Zara itoca catca Tamar . Fares tajtli catca itech Esrom , niman Esrom tajtli catca itech Aram . "
b.MAT.1.4,And Aram begat Aminadab ; and Aminadab begat Naasson ; and Naasson begat Salmon ; ,b.MAT.1.4,"Aram tajtli catca itech Aminadab , niman Aminadab tajtli catca itech Naasón , niman Naasón tajtli catca itech Salmón . "
b.MAT.1.5,And Salmon begat Booz of Rachab ; and Booz begat Obed of Ruth ; and Obed begat Jesse ; ,b.MAT.1.5,"Salmón tajtli catca itech Booz , niman inan Booz itoca catca Rahab . Booz tajtli catca itech Obed , niman inan Obed itoca catca Rut . Obed tajtli catca itech Isaí , "
b.MAT.1.6,And Jesse begat David the king ; and David the king begat Solomon of her that had been the wife of Urias ; ,b.MAT.1.6,"niman Isaí tajtli catca itech rey David . Rey David tajtli catca itech Salomón , niman inan Salomón cahuajli catca itech Urías . "
b.MAT.1.7,And Solomon begat Roboam ; and Roboam begat Abia ; and Abia begat Asa ; ,b.MAT.1.7,"Salomón tajtli catca itech Roboam , niman Roboam tajtli catca itech Abías , niman Abías tajtli catca itech Asa . "
b.MAT.1.8,And Asa begat Josaphat ; and Josaphat begat Joram ; and Joram begat Ozias ; ,b.MAT.1.8,"Asa tajtli catca itech Josafat , niman Josafat tajtli catca itech Joram , niman Joram tajtli catca itech Uzías . "
b.MAT.1.9,And Ozias begat Joatham ; and Joatham begat Achaz ; and Achaz begat Ezekias ; ,b.MAT.1.9,"Uzías tajtli catca itech Jotam , niman Jotam tajtli catca itech Acaz , niman Acaz tajtli catca itech Ezequías . "
b.MAT.1.10,And Ezekias begat Manasses ; and Manasses begat Amon ; and Amon begat Josias ; ,b.MAT.1.10,"Ezequías tajtli catca itech Manasés , niman Manasés tajtli catca itech Amón , niman Amón tajtli catca itech Josías . "
b.MAT.1.11,"And Josias begat Jechonias and his brethren , about the time they were carried away to Babylon : ",b.MAT.1.11,Josías tajtli catca intech Jeconías niman icnihuan . Niman yejhuamej nemiyaj ipan on tonaltin ijcuac on hebreos oquimajsiquej niman oquintzacuatoj ne ipan on país itoca Babilonia . 
b.MAT.1.12,"And after they were brought to Babylon , Jechonias begat Salathiel ; and Salathiel begat Zorobabel ; ",b.MAT.1.12,"Ijcuac on hebreos yoquintzacuatoj ne ipan on país itoca Babilonia , Jeconías onochiu tajtli itech Salatiel , niman Salatiel onochiu tajtli itech Zorobabel . "
b.MAT.1.13,And Zorobabel begat Abiud ; and Abiud begat Eliakim ; and Eliakim begat Azor ; ,b.MAT.1.13,"Zorobabel tajtli catca itech Abiud , niman Abiud tajtli catca itech Eliaquim , niman Eliaquim tajtli catca itech Azor . "
b.MAT.1.14,And Azor begat Sadoc ; and Sadoc begat Achim ; and Achim begat Eliud ; ,b.MAT.1.14,"Azor tajtli catca itech Sadoc , niman Sadoc tajtli catca itech Aquim , niman Aquim tajtli catca itech Eliud . "
b.MAT.1.15,And Eliud begat Eleazar ; and Eleazar begat Matthan ; and Matthan begat Jacob ; ,b.MAT.1.15,"Eliud tajtli catca itech Eleazar , niman Eleazar tajtli catca itech Matán , niman Matán tajtli catca itech Jacob . "
b.MAT.1.16,"And Jacob begat Joseph the husband of Mary , of whom was born Jesus , who is called Christ . ",b.MAT.1.16,"Jacob tajtli catca itech José yejhuan ihuehuentzin catca María , niman María nantli catca itech Jesús . Yejhua no itoca Cristo yejhuan quijtosnequi on yejhuan Dios quitlalia para tlamandaros . "
b.MAT.1.17,So all the generations from Abraham to David are fourteen generations ; and from David until the carrying away into Babylon are fourteen generations ; and from the carrying away into Babylon unto Christ are fourteen generations . ,b.MAT.1.17,"Yejhua ica , tej , Abraham hasta David , onochiu majtlactli huan nahui itajhuehuentzitzihuan Cristo . Niman David hasta on tonaltin ijcuac on hebreos oquimajsiquej niman oquintzacuatoj ne Babilonia , no onochiu majtlactli huan nahui itajhuehuentzitzihuan Cristo . Niman desde on tonaltin ijcuac on hebreos oquimajsiquej niman oquintzacuatoj ne Babilonia hasta onen Cristo , no ijqui onochiu majtlactli huan nahui itajhuehuentzitzihuan Cristo . "
b.MAT.1.18,"Now the birth of Jesus Christ was on this wise : When as his mother Mary was espoused to Joseph , before they came together , she was found with child of the Holy Ghost . ",b.MAT.1.18,"Ijquin otlacat Jesucristo . María , on inan , yoquitlalijca compromiso para nonamictis ihuan José . Pero ijcuac xe san secan nemij , yejhua oquimat ica yocan se conetzintli . On conetzintli quitlacatilis ipampa ipoder on Espíritu Santo . "
b.MAT.1.19,"Then Joseph her husband , being a just man , and not willing to make her a publick example , was minded to put her away privily . ",b.MAT.1.19,"José , on yejhuan más saquin ihuan ononamictij María , yejhua se tlacatl catca yejhuan nochipa oquichiu on tlen cuajli . Pero yejhua xoquinec para quipinajtis María . Yejhua ica José quinemiliaya san quichtacatlalcahuis para on tlacamej xquimatisquej . "
b.MAT.1.20,"But while he thought on these things , behold , the angel of the Lord appeared unto him in a dream , saying , Joseph , thou son of David , fear not to take unto thee Mary thy wife : for that which is conceived in her is of the Holy Ghost . ",b.MAT.1.20,"Niman chica yejhua ijquin quinemiliaya , se ilhuicactequitquetl yejhuan toTeco ocuajtitlan oquinotitij itemicpan niman oquijlij : ― José , huejca teixhuiu David , ma ca xmomojti ticselis María para mosihuau , pampa on conetzintli yejhuan quitlacatilis , quitlacatilis ipampa on Espíritu Santo . "
b.MAT.1.21,"And she shall bring forth a son , and thou shalt call his name JESUS : for he shall save his people from their sins . ",b.MAT.1.21,"María quitlacatilis se conetzintli , niman tictocayotis Jesús pampa yejhua quinmaquixtis ican intlajtlacolhuan on yejhuan quineltocasquej . "
b.MAT.1.22,"Now all this was done , that it might be fulfilled which was spoken of the Lord by the prophet , saying , ",b.MAT.1.22,Nochi yejhua in onochiu para otenquisquej on tlen toTeco oquijtoca itechcopa on tiotlajtojquetl . 
b.MAT.1.23,"Behold , a virgin shall be with child , and shall bring forth a son , and they shall call his name Emmanuel , which being interpreted is , God with us . ",b.MAT.1.23,"Yejhua oquijtoj : Sen ichpochtli yejhuan xe yacaj tlacatl quinixmachtia canas iconetzin , niman quitlacatilis se oquichconetl . Niman on oquichconetl itoca yes Emanuel . Emanuel quijtosnequi : Dios tohuan nemi . "
b.MAT.1.24,"Then Joseph being raised from sleep did as the angel of the Lord had bidden him , and took unto him his wife : ",b.MAT.1.24,"Ijcuac José otlachix , ihuan ononamictij María quen on ilhuicactequitquetl yejhuan toTeco ocuajtitlan oquinahuatij . "
b.MAT.1.25,And knew her not till she had brought forth her firstborn son : and he called his name JESUS . ,b.MAT.1.25,"Pero José ihuan María xnemiyaj quen on yejhuan yononamictijquej masqui ihuan nemiya , yej hasta ijcuac otlacat on conetzintli . Niman ijcuac otlacat on conetzintli , José oquitocayotij Jesús . "
b.MAT.2.1,"Now when Jesus was born in Bethlehem of Judaea in the days of Herod the king , behold , there came wise men from the east to Jerusalem , ",b.MAT.2.1,"Ijcuac Herodes rey catca , Jesús otlacat ne ipan on pueblo itoca Belén yejhuan oncaj ne Judea . Niman más saquin , oyejcoquej ne ipan on hueyican itoca Jerusalén sequimej tlacamej yejhuan intoca magos . Yejhuamej ohualejquej ipan on país yejhuan nocahua ne iquisayan on tonajli . "
b.MAT.2.2,"Saying , Where is he that is born King of the Jews ? for we have seen his star in the east , and are come to worship him . ",b.MAT.2.2,"Yejhuamej otlajtlanquej : ― ¿ Canon nemi inrey on hebreos yejhuan quemach otlacat ? Tej , desde ne ipan topaís yejhuan oncaj ne iquisayan on tonajli , otiquitaquej on sitlalin yejhuan otechititij ica yotlacat on rey . Yejhua ica otihualajquej para ticmahuistilisquej . "
b.MAT.2.3,"When Herod the king had heard these things , he was troubled , and all Jerusalem with him . ",b.MAT.2.3,"Ijcuac on rey Herodes ijcon ocac , sanoyej onomojtij , niman nochi tlacatl ne Jerusalén no onomojtij . "
b.MAT.2.4,"And when he had gathered all the chief priests and scribes of the people together , he demanded of them where Christ should be born . ",b.MAT.2.4,"Quemaj on rey oquinnotz nochimej on tlayecanquej tiopixquej niman on yejhuan quinmachtiayaj on tlacamej ica on tlanahuatiltin , niman oquintlajtoltij canon tlacatis yejhua on Cristo yejhuan quitenehuaj Dios quitlapejpenia para tlamandaros . "
b.MAT.2.5,"And they said unto him , In Bethlehem of Judaea : for thus it is written by the prophet , ",b.MAT.2.5,"Yejhuamej oquijlijquej : ― Tlacatis ipan on pueblo itoca Belén yejhuan oncaj ne Judea , pampa on tiotlajtojquetl ijquin oquijcuiloj : "
b.MAT.2.6,"And thou Bethlehem , in the land of Juda , art not the least among the princes of Juda : for out of thee shall come a Governor , that shall rule my people Israel . ",b.MAT.2.6,"Tejhua Belén yejhuan tioncaj ne ipan iregión Judá xtejhua más tipitentzin intzajlan on ocsequimej huejhueyican niman pueblos , pampa motech Belén quisas se tlayecanquetl yejhuan quinyecanas on noconehuan hebreos . "
b.MAT.2.7,"Then Herod , when he had privily called the wise men , inquired of them diligently what time the star appeared . ",b.MAT.2.7,"Quemaj Herodes oquimichtacanotz on magos , niman oquintlajtoltij tlen tonajli ones on sitlalin . "
b.MAT.2.8,"And he sent them to Bethlehem , and said , Go and search diligently for the young child ; and when ye have found him , bring me word again , that I may come and worship him also . ",b.MAT.2.8,"Quemaj oquintitlan ne Belén ica in tlanahuatijli , oquimijlij : ― Xhuiyan ne Belén , niman cuajli xtejtemocan on conetzintli . Ijcuac nenquinextisquej , xnechijlijtiquisacan para nejhua no nias niconmahuistilis . "
b.MAT.2.9,"When they had heard the king , they departed ; and , lo , the star , which they saw in the east , went before them , till it came and stood over where the young child was . ",b.MAT.2.9,"Ijcuac ocacquej on itlanahuatil on rey , on magos oyajquej . Niman on sitlalin yejhuan oquitaquej ne ipan impaís yejhuan oncaj ne iquisayan on tonajli yaya inyecapan , niman onoteltito ne campa nemiya on conetzintli . "
b.MAT.2.10,"When they saw the star , they rejoiced with exceeding great joy . ",b.MAT.2.10,"Ijcuac on magos oquitaquej onoteltij on sitlalin , sanoyej ocuelitaquej niman sanoyej opaquilistlamatquej . "
b.MAT.2.11,"And when they were come into the house , they saw the young child with Mary his mother , and fell down , and worshipped him : and when they had opened their treasures , they presented unto him gifts ; gold , and frankincense , and myrrh . ",b.MAT.2.11,"Yejhuamej ocalaquitoj ne ipan on cajli , niman oquitaquej on conetzintli ihuan María on inan . Quemaj onotlacuenquetzquej ixpan on conetzintli niman oquimahuistilijquej . Quemaj oquitlapojquej on incaja niman oquitlayocolijquej copajli yejhuan tlatla , incienso niman mirra . "
b.MAT.2.12,"And being warned of God in a dream that they should not return to Herod , they departed into their own country another way . ",b.MAT.2.12,"Ijcuac ye quisasquiaj para yasquej ne impaís , Dios oquinnahuatij ipan se temictli ma ca nocuepacan itech on rey Herodes . Yejhua ica on magos onocuepquej ne impaís ipan ocse ojtli . "
