sent_id,text,sent_id2,text2
b.MAT.1.1,"The book of the generation of Jesus Christ , the son of David , the son of Abraham . ",b.MAT.1.1,"ᒦᑕᔥ ᐅᐅᐌ ᐁᔑᐲᐃᑳᑌᓂᒃ ᐋᓃᑎ ᒋᓴᔅ X ᑳᐱᐅᒋ ᓂᑖᐎᑭᒡ , ᒦ ᐊᐌ ᑳᐅᑕᑳᓀᓯᒡ ᑌᐱᑎᕽ , ᑫᐐᓐ ᐁᑮᐅᑕᑳᓀᓯᓂᒡ ᐁᐸᕒᐊᐋᒥᕽ ᙮ "
b.MAT.1.2,Abraham begat Isaac ; and Isaac begat Jacob ; and Jacob begat Judas and his brethren ; ,b.MAT.1.2,"ᐁᐸᕒᐊᐋᒻ ᑮᐅᑯᓯᓯ ᐃᓂ ᐋᐃᓯᑰᓐ ᒦᓇᐙᔥ ᐊᐌ ᐋᐃᓯᒃ ᑮᐊᓂ ᐅᑯᓯᓯ ᐃᓂ ᒉᑲᐴᓐ , ᑲᔦ ᒉᑲᑉ ᑮᐊᓂ ᐅᑯᓯᓯ ᐃᓂ ᒎᑕᐗᓐ , ᐐᒋᑭᐌᔨᓂ ᑲᔦ ᙮ "
b.MAT.1.3,And Judas begat Phares and Zara of Thamar ; and Phares begat Esrom ; and Esrom begat Aram ; ,b.MAT.1.3,"ᔑᑾ ᒎᑕ ᑮᐅᑯᓯᓯ ᐃᓂᐌᓂᐗᐞ ᐲᕒᐃᓴᓐ , ᓰᕒᐋᐗᓐ ᙮ ᑌᒫᕒ ᑕᔥ ᑮᐃᔑᓂᑳᓱᐗᓐ ᐅᒫᒫᐙᓐ ᙮ ᑲᔦ ᐲᕒᐃᔅ ᑮᐅᑯᓯᓯ ᐃᓂ ᐁᔅᕒᐊᓇᓐ ᑲᔦ ᐁᔅᕒᐊᓐ ᑮᐅᑯᓯᓯ ᐃᓂ ᐅᕒᐋᒪᓐ , "
b.MAT.1.4,And Aram begat Aminadab ; and Aminadab begat Naasson ; and Naasson begat Salmon ; ,b.MAT.1.4,"ᑲᔦ ᐅᕒᐋᒻ ᑮᐊᓂ ᐅᑯᓯᓯ ᐃᓂ ᐊᒥᓇᑖᐸᓐ , ᑲᔦ ᐊᒥᓇᑖᑉ ᑮᐊᓂ ᐅᑯᓯᓯ ᐃᓂ ᓈᔕᓇᓐ , ᒦᓇᐙᔥ ᓈᔕᓐ ᑮᐊᓂ ᐅᑯᓯᓯ ᐃᓂ ᓵᓬᒪᓇᓐ ᙮ "
b.MAT.1.5,And Salmon begat Booz of Rachab ; and Booz begat Obed of Ruth ; and Obed begat Jesse ; ,b.MAT.1.5,ᑲᔦ ᓵᓬᒪᓐ ᑮᐊᓂ ᐅᑯᓯᓯ ᐃᓂ ᐴᐙᓴᓐ ᙮ ᐅᕒᐁᐋᑉ ᑮᐃᔑᓂᑳᓱᐗᓐ ᐅᒫᒫᓐ ᙮ ᑲᔦ ᐴᐙᔅ ᑮᐊᓂ ᐅᑯᓯᓯ ᐃᓂ ᐆᐱᑕᓐ ᙮ ᐅᕒᐆᑦ ᑮᐃᔑᓂᑳᓱᐗᓐ ᐅᒫᒫᓐ ᙮ ᑲᔦ ᐆᐱᑦ ᑮᐊᓂ ᐅᑯᓯᓯ ᐃᓂ ᒉᓯᐗᓐ ᙮ 
b.MAT.1.6,And Jesse begat David the king ; and David the king begat Solomon of her that had been the wife of Urias ; ,b.MAT.1.6,ᒉᓯ ᑮᐅᑯᓯᓯ ᐃᓂ ᑌᐱᑕᓐ ᑳᑮ ᑭᒋᐅᑭᒫᐎᓂᒡ ᙮ ᑲᔦ ᑌᐱᑦ ᑮᐊᓂ ᐅᑯᓯᓯ ᐃᓂ ᔂᓬᐊᒪᓇᓐ ᙮ ᔪᕒᐋᔭ ᐐᐗᓐ ᑮᐅᒫᒫ ᔂᓬᐊᒪᓐ ᙮ 
b.MAT.1.7,And Solomon begat Roboam ; and Roboam begat Abia ; and Abia begat Asa ; ,b.MAT.1.7,"ᑲᔦ ᔂᓬᐊᒪᓐ ᑮᐊᓂ ᐅᑯᓯᓯ ᐃᓂ ᐅᕒᐄᔭᐴᐗᒨᓐ , ᒦᓇᐙᔥ ᐅᕒᐄᔭᐴᐗᒻ ᑮᐊᓂ ᐅᑯᓯᓯ ᐃᓂ ᐊᐹᐃᒐᐗᓐ , ᑲᔦ ᐊᐹᐃᒐ ᑮᐊᓂ ᐅᑯᓯᓯ ᐃᓂ ᐁᓴᐗᓐ ᙮ "
b.MAT.1.8,And Asa begat Josaphat ; and Josaphat begat Joram ; and Joram begat Ozias ; ,b.MAT.1.8,"ᑲᔦ ᐁᓴ ᑮᐊᓂ ᐅᑯᓯᓯ ᐃᓂ ᒉᐆᔕᐹᑕᓐ , ᑲᔦ ᒉᐆᔕᐹᑦ ᑮᐊᓂ ᐅᑯᓯᓯ ᐃᓂ ᒎᕒᐊᒨᓐ , ᑲᔦ ᒎᕒᐊᒻ ᑮᐊᓂ ᐅᑯᓯᓯ ᐃᓂ ᐊᓵᔭᐗᓐ ᙮ "
b.MAT.1.9,And Ozias begat Joatham ; and Joatham begat Achaz ; and Achaz begat Ezekias ; ,b.MAT.1.9,"ᑲᔦ ᐊᓵᔭ ᑮᐊᓂ ᐅᑯᓯᓯ ᐃᓂ ᒎᑕᒨᓐ , ᑲᔦ ᒎᑕᒻ ᑮᐊᓂ ᐅᑯᓯᓯ ᐃᓂ ᐁᓯᑳᔭᐗᓐ , "
b.MAT.1.10,And Ezekias begat Manasses ; and Manasses begat Amon ; and Amon begat Josias ; ,b.MAT.1.10,"ᑲᔦ ᐁᓯᑳᔭ ᑮᐊᓂ ᐅᑯᓯᓯ ᐃᓂ ᒪᓈᓴᐗᓐ , ᑲᔦ ᒪᓈᓴ ᑮᐊᓂ ᐅᑯᓯᓯ ᐃᓂ ᐋᒪᓇᓐ , ᑲᔦ ᐋᒪᓐ ᑮᐊᓂ ᐅᑯᓯᓯ ᐃᓂ ᒍᓵᔭᐗᓐ ᙮ "
