sent_id,text,sent_id2,text2
b.MAT.1.1,"The book of the generation of Jesus Christ , the son of David , the son of Abraham . ",b.MAT.1.1,"OTISU ie ' i msInukIn iaianke ' pmatse ' cuk iukwan Cisus Knayst we ' kwIsmukot Te ' pItun , ipi Te ' pIt we ' kwusmukcIn E ' pIne ' amun ; "
b.MAT.1.2,Abraham begat Isaac ; and Isaac begat Jacob ; and Jacob begat Judas and his brethren ; ,b.MAT.1.2,"E ' pIne ' e ' m okiwosmukon AysIkIn , ipi AysIk kiwosmukon Ce ' kapIn , ipi Ce ' kap kiwosmukon CotusIn , ipi niw wikane ' iIn ; "
b.MAT.1.3,And Judas begat Phares and Zara of Thamar ; and Phares begat Esrom ; and Esrom begat Aram ; ,b.MAT.1.3,"IcI Cotus kiwosmukon Pe ' nIsIn , ipi Se ' ne ' , Te ' me ' cI kao kie ' iwat , ipi Pe ' nIs kiwosmukon E ' snumIn , ipi E ' snum kiwosmukon E ' numIn , "
b.MAT.1.4,And Aram begat Aminadab ; and Aminadab begat Naasson ; and Naasson begat Salmon ; ,b.MAT.1.4,"Ipi E ' num kiwosmukon E ' mInite ' pIn , ipi E ' mInite ' p kiwosmukon Ne ' e ' sunIn , ipi Ne ' e ' sun kiwosmukon SanmunIn , "
b.MAT.1.5,And Salmon begat Booz of Rachab ; and Booz begat Obed of Ruth ; and Obed begat Jesse ; ,b.MAT.1.5,"Ipi Sanmun kiwosmukon Poe ' sIn , niwcI kaokie ' icIn Ne ' ke ' pIn , ipi Poe ' s kiwosmukon , OpItIn , kaokie ' icIn NwtIn ipi OpIt kiwosmukon Ce ' siIn ; "
b.MAT.1.6,And Jesse begat David the king ; and David the king begat Solomon of her that had been the wife of Urias ; ,b.MAT.1.6,"Ipi Ce ' si kiwosmukon Te ' pItIn kaokumawIt , ipi Te ' pIt kaokumawIt kiwosmukon Sanumun ; kaokie ' cIn kaowiwpninIn Ionaie ' s ; "
b.MAT.1.7,And Solomon begat Roboam ; and Roboam begat Abia ; and Abia begat Asa ; ,b.MAT.1.7,"Ipi Sanumun kiwosmukon NopoumIn , ipi Nopoum , kiwosmukon E ' pie ' In , ipi E ' pie ' kiwosmukon E ' se ' In ; "
b.MAT.1.8,And Asa begat Josaphat ; and Josaphat begat Joram ; and Joram begat Ozias ; ,b.MAT.1.8,"Ipi E ' se ' kiwosmukon Cose ' pe ' tIn , ipi CosIpe ' t kiwosmukon Cone ' mIn , ipi Cone ' m kiwosmukon Osaye ' sIn : "
b.MAT.1.9,And Ozias begat Joatham ; and Joatham begat Achaz ; and Achaz begat Ezekias ; ,b.MAT.1.9,Ipi Osaye ' s kiwosmukon Cote ' mIn ipi Cote ' m kiwosmukon E ' ke ' sIn ipi E ' ke ' s kiwosmukon IsikayusIn ; 
b.MAT.1.10,And Ezekias begat Manasses ; and Manasses begat Amon ; and Amon begat Josias ; ,b.MAT.1.10,"Ipi Isikayus kiwosmukon Me ' ne ' se ' sIn , ipi Me ' ne ' se ' s kiwosmukon E ' munIn , ipi E ' mun kiwosmukon CosayusIn ; "
