sent_id,text,sent_id2,text2
b.MAT.1.1,"The book of the generation of Jesus Christ , the son of David , the son of Abraham . ",b.MAT.1.1,"Toi - mi pomeduncu - duncu to mpomuli - ki Yesus Kristus . Yesus muli Magau ' Daud , muli Abraham . "
b.MAT.1.2,Abraham begat Isaac ; and Isaac begat Jacob ; and Jacob begat Judas and his brethren ; ,b.MAT.1.2,"Ngkai Abraham rata hi Daud , hanga ' ntu ' a - na Yesus toi - ramo : Abraham mpobubu Ishak , Ishak mpobubu Yakub , Yakub mpobubu Yehuda pai ' ompi ' - ompi ' - na , "
b.MAT.1.3,And Judas begat Phares and Zara of Thamar ; and Phares begat Esrom ; and Esrom begat Aram ; ,b.MAT.1.3,"Yehuda mpobubu Peres pai ' Zerah ( hanga ' tina - ra : Tamar ) , Peres mpobubu Hezron , Hezron mpobubu Ram , "
b.MAT.1.4,And Aram begat Aminadab ; and Aminadab begat Naasson ; and Naasson begat Salmon ; ,b.MAT.1.4,"Ram mpobubu Aminadab , Aminadab mpobubu Nahason , Nahason mpobubu Salmon , "
b.MAT.1.5,And Salmon begat Booz of Rachab ; and Booz begat Obed of Ruth ; and Obed begat Jesse ; ,b.MAT.1.5,"Salmon mpobubu Boas ( hanga ' tina - na : Rahab ) , Boas mpobubu Obed ( hanga ' tina - na : Rut ) , Obed mpobubu Isai , "
b.MAT.1.6,And Jesse begat David the king ; and David the king begat Solomon of her that had been the wife of Urias ; ,b.MAT.1.6,"pai ' Isai mpobubu Magau ' Daud . Daud mpobubu Salomo ( tina - na : balu - na Uria ) , "
b.MAT.1.7,And Solomon begat Roboam ; and Roboam begat Abia ; and Abia begat Asa ; ,b.MAT.1.7,"Salomo mpobubu Rehabeam , Rehabeam mpobubu Abia , Abia mpobubu Asa , "
b.MAT.1.8,And Asa begat Josaphat ; and Josaphat begat Joram ; and Joram begat Ozias ; ,b.MAT.1.8,"Asa mpobubu Yosafat , Yosafat mpobubu Yoram , Yoram mpobubu Uzia , "
b.MAT.1.9,And Ozias begat Joatham ; and Joatham begat Achaz ; and Achaz begat Ezekias ; ,b.MAT.1.9,"Uzia mpobubu Yotam , Yotam mpobubu Ahas , Ahas mpobubu Hizkia , "
b.MAT.1.10,And Ezekias begat Manasses ; and Manasses begat Amon ; and Amon begat Josias ; ,b.MAT.1.10,"Hizkia mpobubu Manasye , Manasye mpobubu Amon , Amon mpobubu Yosia , "
b.MAT.1.11,"And Josias begat Jechonias and his brethren , about the time they were carried away to Babylon : ",b.MAT.1.11,Yosia mpobubu Yekhonya pai ' ompi ' - na . 
b.MAT.1.12,"And after they were brought to Babylon , Jechonias begat Salathiel ; and Salathiel begat Zorobabel ; ",b.MAT.1.12,"Ngkai karatawani - ra to Yahudi hilou hi Babel rata hi kaputu - na Yesus , hanga ' ntu ' a - na Yesus , toi - ra : Yekhonya mpobubu Sealtiel , Sealtiel mpobubu Zerubabel , "
b.MAT.1.13,And Zorobabel begat Abiud ; and Abiud begat Eliakim ; and Eliakim begat Azor ; ,b.MAT.1.13,"Zerubabel mpobubu Abihud , Abihud mpobubu Elyakim , Elyakim mpobubu Azor , "
b.MAT.1.14,And Azor begat Sadoc ; and Sadoc begat Achim ; and Achim begat Eliud ; ,b.MAT.1.14,"Azor mpobubu Zadok , Zadok mpobubu Akhim , Akhim mpobubu Eliud , "
b.MAT.1.15,And Eliud begat Eleazar ; and Eleazar begat Matthan ; and Matthan begat Jacob ; ,b.MAT.1.15,"Eliud mpobubu Eleazar , Eleazar mpobubu Matan , Matan mpobubu Yakub , "
b.MAT.1.16,"And Jacob begat Joseph the husband of Mary , of whom was born Jesus , who is called Christ . ",b.MAT.1.16,Yakub mpobubu Yusuf tomane - na Maria . 
b.MAT.1.17,So all the generations from Abraham to David are fourteen generations ; and from David until the carrying away into Babylon are fourteen generations ; and from the carrying away into Babylon unto Christ are fourteen generations . ,b.MAT.1.17,"Jadi ' , ngkai Abraham rata hi Daud , kadea pomeduncu to mpomuli - ki Yesus hampulu ' opo ' lapi . Ngkai Daud rata hi karatawani - ra to Yahudi lou hi Babel , hampulu ' opo ' lapi wo ' o . Pai ' ngkai karatawani - ra to Yahudi lou hi Babel rata hi kaputu - na Kristus , hampulu ' opo ' lapi wo ' o . "
b.MAT.1.18,"Now the birth of Jesus Christ was on this wise : When as his mother Mary was espoused to Joseph , before they came together , she was found with child of the Holy Ghost . ",b.MAT.1.18,"Hewa toi tutura kaputu - na Yesus Kristus . Tina - na to rahanga ' Maria mokamae ' hante Yusuf . Aga kako ' ia - ra ncamoko , muu - mule ' motina ' i - imi Maria . Potina ' i - na toe , ngkai baraka ' Inoha ' Tomoroli ' . "
b.MAT.1.19,"Then Joseph her husband , being a just man , and not willing to make her a publick example , was minded to put her away privily . ",b.MAT.1.19,"Yusuf , tauna to mengkoru hi Atura Musa . Toe pai ' na ' uli ' hi rala nono - na : "" Kupohu lau - mi pokamae ' - ku hante Maria . "" Aga uma - i dota mpaka ' ea ' Maria . Jadi ' , patuju - na bona napohu bongo - wadi , uma mingki ' ra ' incai ntodea . "
