sent_id,text,sent_id2,text2
b.MAT.1.1,"The book of the generation of Jesus Christ , the son of David , the son of Abraham . ",b.MAT.1.1,Are waˈ ri qui biˈ ri u mam ri Jesús ojer . Ri Jesús Are rachalaxic ri ka mam David xukujeˈ ri ka mam Abraham ojer . 
b.MAT.1.2,Abraham begat Isaac ; and Isaac begat Jacob ; and Jacob begat Judas and his brethren ; ,b.MAT.1.2,Ri ka mam Abraham are u tat ri ka mam Isaac . Ri ka mam Isaac are u tat ri ka mam Jacob . Ri ka mam Jacob are u tat ri ka mam Judá xukujeˈ tak ri e rachalal ri areˈ . 
b.MAT.1.3,And Judas begat Phares and Zara of Thamar ; and Phares begat Esrom ; and Esrom begat Aram ; ,b.MAT.1.3,Ri ka mam Judá are u tat ri ka mam Fares xukujeˈ ri ka mam Zara . Ri qui nan cˈut are ri nan Tamar . Ri ka mam Fares are u tat ri ka mam Esrom . Ri ka mam Esrom are u tat ri ka mam Aram . 
b.MAT.1.4,And Aram begat Aminadab ; and Aminadab begat Naasson ; and Naasson begat Salmon ; ,b.MAT.1.4,Ri ka mam Aram are u tat ri ka mam Aminadab . Ri ka mam Aminadab are u tat ri ka mam Naasón . Ri ka mam Naasón are u tat ri ka mam Salmón . 
b.MAT.1.5,And Salmon begat Booz of Rachab ; and Booz begat Obed of Ruth ; and Obed begat Jesse ; ,b.MAT.1.5,Ri ka mam Salmón are u tat ri ka mam Booz . Ru nan ri ka mam Booz are ri nan Rahab . Ri ka mam Booz are u tat ri ka mam Obed . Ru nan ri ka mam Obed are ri nan Rut . Ri ka mam Obed are u tat ri ka mam Isaí . 
b.MAT.1.6,And Jesse begat David the king ; and David the king begat Solomon of her that had been the wife of Urias ; ,b.MAT.1.6,"Ri ka mam Isaí are u tat ri ka mam David ri nim takanel . Ri ka mam David ri nim takanel rucˈ ri chichuˈ ri xrixokilaj na ri tat Urías , e areˈ u nan u tat ri ka mam Salomón . "
b.MAT.1.7,And Solomon begat Roboam ; and Roboam begat Abia ; and Abia begat Asa ; ,b.MAT.1.7,Ri ka mam Salomón are u tat ri ka mam Roboam . Ri ka mam Roboam are u tat ri ka mam Abías . Ri ka mam Abías are u tat ri ka mam Asa . 
b.MAT.1.8,And Asa begat Josaphat ; and Josaphat begat Joram ; and Joram begat Ozias ; ,b.MAT.1.8,Ri ka mam Asa are u tat ri ka mam Josafat . Ri ka mam Josafat are u tat ri ka mam Joram . Ri ka mam Joram are u tat ri ka mam Uzías . 
b.MAT.1.9,And Ozias begat Joatham ; and Joatham begat Achaz ; and Achaz begat Ezekias ; ,b.MAT.1.9,Ri ka mam Uzías are u tat ri ka mam Jotam . Ri ka mam Jotam are u tat ri ka mam Acaz . Ri ka mam Acaz are u tat ri ka mam Ezequías . 
b.MAT.1.10,And Ezekias begat Manasses ; and Manasses begat Amon ; and Amon begat Josias ; ,b.MAT.1.10,Ri ka mam Ezequías are u tat ri ka mam Manasés . Ri ka mam Manasés are u tat ri ka mam Amón . Ri ka mam Amón are u tat ri ka mam Josías . 
b.MAT.1.11,"And Josias begat Jechonias and his brethren , about the time they were carried away to Babylon : ",b.MAT.1.11,"Ri ka mam Josías are u tat ri ka mam Jeconías , xukujeˈ ri e rachalal . Pa tak ri kˈij riˈ xecˈam bi ri winak aj Israel , xeopan cˈu pa ri tinimit Babilonia . "
b.MAT.1.12,"And after they were brought to Babylon , Jechonias begat Salathiel ; and Salathiel begat Zorobabel ; ",b.MAT.1.12,"Aretak ri winak aj Israel e cˈo chic pa ri tinimit Babilonia , ri ka mam Jeconías xcˈoji jun u cˈojol , Salatiel u biˈ . Ri ka mam Salatiel are u tat ri ka mam Zorobabel . "
b.MAT.1.13,And Zorobabel begat Abiud ; and Abiud begat Eliakim ; and Eliakim begat Azor ; ,b.MAT.1.13,Ri ka mam Zorobabel are u tat ri ka mam Abiud . Ri ka mam Abiud are u tat ri ka mam Eliaquim . Ri ka mam Eliaquim are u tat ri ka mam Azor . 
b.MAT.1.14,And Azor begat Sadoc ; and Sadoc begat Achim ; and Achim begat Eliud ; ,b.MAT.1.14,Ri ka mam Azor are u tat ri ka mam Sadoc . Ri ka mam Sadoc are u tat ri ka mam Aquim . Ri ka mam Aquim are u tat ri ka mam Eliud . 
