sent_id,text,sent_id2,text2
b.MAT.1.1,"The book of the generation of Jesus Christ , the son of David , the son of Abraham . ",b.MAT.1.1,"Jesucristo aillu quillca , Davidmanda mirai , David Abrahanmanda mirai . "
b.MAT.1.2,Abraham begat Isaac ; and Isaac begat Jacob ; and Jacob begat Judas and his brethren ; ,b.MAT.1.2,"Abrahamba churi Isac aca , Isacpa churi Jacob aca , Jacobpa churiuna Judá aca paihua uquiunandi . "
b.MAT.1.3,And Judas begat Phares and Zara of Thamar ; and Phares begat Esrom ; and Esrom begat Aram ; ,b.MAT.1.3,"Judá churiuna Fares Zarandi aca , Tamarmanda llucshijguna , Farespa churi Esrom aca , Esromba churi Aram aca . "
b.MAT.1.4,And Aram begat Aminadab ; and Aminadab begat Naasson ; and Naasson begat Salmon ; ,b.MAT.1.4,"Aramba churi Aminadab aca , Aminadabpa churi Naason aca , Naasomba churi Salmón aca . "
b.MAT.1.5,And Salmon begat Booz of Rachab ; and Booz begat Obed of Ruth ; and Obed begat Jesse ; ,b.MAT.1.5,"Salmomba churi Booz aca , Rahabmanda llucshij , Boozpa churi Obed aca , Rutmanda llucshij , Obedpa churi Isai aca . "
b.MAT.1.6,And Jesse begat David the king ; and David the king begat Solomon of her that had been the wife of Urias ; ,b.MAT.1.6,"Isaihua churi rey apu David aca , rey apu Davidpa churi Salomón aca , Uriaspa huarmimanda llucshij . "
b.MAT.1.7,And Solomon begat Roboam ; and Roboam begat Abia ; and Abia begat Asa ; ,b.MAT.1.7,"Salomomba churi Roboam aca , Roboamba churi Abías aca , Abíaspa churi Asa aca . "
b.MAT.1.8,And Asa begat Josaphat ; and Josaphat begat Joram ; and Joram begat Ozias ; ,b.MAT.1.8,"Asajpa churi Josafat aca , Josafatpa churi Joram aca , Joramba churi Uzías aca . "
b.MAT.1.9,And Ozias begat Joatham ; and Joatham begat Achaz ; and Achaz begat Ezekias ; ,b.MAT.1.9,"Uzíaspa churi Jotam aca , Jotamba churi Acaz aca , Acazpa churi Ezequías aca . "
b.MAT.1.10,And Ezekias begat Manasses ; and Manasses begat Amon ; and Amon begat Josias ; ,b.MAT.1.10,"Ezequíaspa churi Manases aca , Manasespa churi Amón aca , Amomba churi Josías aca . "
b.MAT.1.11,"And Josias begat Jechonias and his brethren , about the time they were carried away to Babylon : ",b.MAT.1.11,"Josíaspa churiuna Jeconías aca paihua uquiunandi , Babilonia llactama apashca horas . "
b.MAT.1.12,"And after they were brought to Babylon , Jechonias begat Salathiel ; and Salathiel begat Zorobabel ; ",b.MAT.1.12,"Babiloniama apashca huasha , Jeconíaspa churi Salatiel aca , Salatielba churi Zorobabel aca . "
b.MAT.1.13,And Zorobabel begat Abiud ; and Abiud begat Eliakim ; and Eliakim begat Azor ; ,b.MAT.1.13,"Zorobabelba churiuna Abiud aca , Eliaquindi , Eliaquimba churi Azor aca . "
b.MAT.1.14,And Azor begat Sadoc ; and Sadoc begat Achim ; and Achim begat Eliud ; ,b.MAT.1.14,"Azorba churi Sadoc aca , Sadocpa churi Aquim aca , Aquimba churi Eliud aca . "
b.MAT.1.15,And Eliud begat Eleazar ; and Eleazar begat Matthan ; and Matthan begat Jacob ; ,b.MAT.1.15,"Eliudpa churi Eleazar aca , Eleazarba churi Matan aca , Matamba churi Jacob aca . "
b.MAT.1.16,"And Jacob begat Joseph the husband of Mary , of whom was born Jesus , who is called Christ . ",b.MAT.1.16,"Jacobpa churi José aca , Josega María cari aca . Maríamanda Cristo nishca Jesús pagarimuca . Cristo Dios ajllashca nin . "
b.MAT.1.17,So all the generations from Abraham to David are fourteen generations ; and from David until the carrying away into Babylon are fourteen generations ; and from the carrying away into Babylon unto Christ are fourteen generations . ,b.MAT.1.17,"Shinajpi , Abrahanmanda Davidgama chunga chuscu cuti mirashcauna tianauca . Davidmanda Babiloniama apanagama chunga chuscu miraiguna tiaca . Babiloniama apashcamanda Cristogama chunga chuscu miraiguna aca . "
b.MAT.1.18,"Now the birth of Jesus Christ was on this wise : When as his mother Mary was espoused to Joseph , before they came together , she was found with child of the Holy Ghost . ",b.MAT.1.18,"Jesucristo pagarina casnami aca . Paihua mama María , Josehua pactachishca asha , manaraj llutarijllaira , huahuara tupaca icsai , Santo Espiritumanda . "
b.MAT.1.19,"Then Joseph her husband , being a just man , and not willing to make her a publick example , was minded to put her away privily . ",b.MAT.1.19,"Paihua cari José , ali shungu runa asha , huarmi ama manali rimashca achu nisha , pacalla pacalla paita saquinara iyaca . "
