sent_id,text,sent_id2,text2
b.MAT.1.1,"The book of the generation of Jesus Christ , the son of David , the son of Abraham . ",b.MAT.1.1,"Eta so si ramome te zhangliolpe e vitsa le Jesus Kristoski , avilo katar o David kai avilo katar o Abraham . "
b.MAT.1.2,Abraham begat Isaac ; and Isaac begat Jacob ; and Jacob begat Judas and his brethren ; ,b.MAT.1.2,O Abraham sas o dat le Isaakosko ; O Isaak sas o dat le Jakovosko ; o Jakov sas o dat le Judasko ai leske phralengo ; 
b.MAT.1.3,And Judas begat Phares and Zara of Thamar ; and Phares begat Esrom ; and Esrom begat Aram ; ,b.MAT.1.3,O Judah sas o dat le Pharesko ai le Zarahosko ( lenge dei sas e Thamar ) ; O Phares sas o dat le Esromosko ; O Esrom sas o dat le Aramosko ; 
b.MAT.1.4,And Aram begat Aminadab ; and Aminadab begat Naasson ; and Naasson begat Salmon ; ,b.MAT.1.4,O Aram sas o dat le Aminadabosko ; O Amindab sas o dat le Naassonosko ; O Naasson sas o dat le Salmonosko ; 
b.MAT.1.5,And Salmon begat Booz of Rachab ; and Booz begat Obed of Ruth ; and Obed begat Jesse ; ,b.MAT.1.5,O Salmon sas o dat le Boazosko ( E Rachab sas leski dei ) ; O Boaz sas o dat le Obedosko ( Ruth sas leski dei ) ; o Obed sas o dat le Jessesko ; 
b.MAT.1.6,And Jesse begat David the king ; and David the king begat Solomon of her that had been the wife of Urias ; ,b.MAT.1.6,"O Jesse sas o dat le Davidosko , o amperato ; "
b.MAT.1.7,And Solomon begat Roboam ; and Roboam begat Abia ; and Abia begat Asa ; ,b.MAT.1.7,O David sas o dat le Solomonosko ( leski dei sas e rhomni le Uriaseski ) ; O Solomon sas o dat le Roboamosko ; O Roboam sas o dat le Abiahosko ; O Abia sas o dat le Asahosko ; 
b.MAT.1.8,And Asa begat Josaphat ; and Josaphat begat Joram ; and Joram begat Ozias ; ,b.MAT.1.8,O Asa sas o dat le Josaphatosko ; O Josphat sas o dat le Joramosko ; o Joram sas o dat le Oziasosko ; 
b.MAT.1.9,And Ozias begat Joatham ; and Joatham begat Achaz ; and Achaz begat Ezekias ; ,b.MAT.1.9,O Ozias sas o dat le Joathamosko ; O Joatham sas o dat le Achazosko ; O Achaz sas o dat le Ezekiasko ; 
b.MAT.1.10,And Ezekias begat Manasses ; and Manasses begat Amon ; and Amon begat Josias ; ,b.MAT.1.10,O Ezekias sas o dat le Manassesko ; O Manasses sas o dat le Amonosko ; O Amon sas o dat le Josiasko ; 
b.MAT.1.11,"And Josias begat Jechonias and his brethren , about the time they were carried away to Babylon : ",b.MAT.1.11,"O Josias sas o dat le Jechoniasko ai leske phralengo , pe vriama kai ningerde la narodos Israel ande Babylon . "
b.MAT.1.12,"And after they were brought to Babylon , Jechonias begat Salathiel ; and Salathiel begat Zorobabel ; ",b.MAT.1.12,"Kana sas ande Babylon , O Jechonias sas o dat le Salathielosko ; O Salathiel sas o dat le Zorobabelosko ; "
b.MAT.1.13,And Zorobabel begat Abiud ; and Abiud begat Eliakim ; and Eliakim begat Azor ; ,b.MAT.1.13,O Zorobabel sas o dat le Abuidosko ; O Abiud sas o dat le Eliakimosko ; O Eliamkim sas o dat le Azorosko ; 
b.MAT.1.14,And Azor begat Sadoc ; and Sadoc begat Achim ; and Achim begat Eliud ; ,b.MAT.1.14,O Azor sas o dat le Zadocobosko ; O Zadoc sas o dat le Achimosko ; O Achim sas o dat le Eliudosko ; 
b.MAT.1.15,And Eliud begat Eleazar ; and Eleazar begat Matthan ; and Matthan begat Jacob ; ,b.MAT.1.15,O Eliud sas o dat le Eleazarosko ; o Eleazar sas o dat le Matthanosko ; O Matthan sas o dat le Jacobosko ; 
b.MAT.1.16,"And Jacob begat Joseph the husband of Mary , of whom was born Jesus , who is called Christ . ",b.MAT.1.16,"O Jacob sas o dat le Josephosko , o rhom la mariako , kastar arakhadilo biandilo o Jesus , kai akharen ' Kristo ' . "
