sent_id,text,sent_id2,text2
b.MAT.1.1,"The book of the generation of Jesus Christ , the son of David , the son of Abraham . ",b.MAT.1.1,arra n - tlalit n - yasuɛ lmasih ̣ yus n - dawd yus n - ibrahim . 
b.MAT.1.2,Abraham begat Isaac ; and Isaac begat Jacob ; and Jacob begat Judas and his brethren ; ,b.MAT.1.2,ibrahim yuru ish ̣ aq . ish ̣ aq yuru yaɛqub . yaɛqub yuru yahuda d - aytmas . 
b.MAT.1.3,And Judas begat Phares and Zara of Thamar ; and Phares begat Esrom ; and Esrom begat Aram ; ,b.MAT.1.3,"yahuda yuru faris ̣ d - zarah ̣ ( tga innatsn tamar ) . faris ̣ yuru h ̣ as ̣ run , h ̣ as ̣ run yuru aram , "
b.MAT.1.4,And Aram begat Aminadab ; and Aminadab begat Naasson ; and Naasson begat Salmon ; ,b.MAT.1.4,"aram yuru ɛamminadab , ɛamminadab yuru nah ̣ šun , nah ̣ šun yuru salmun . "
b.MAT.1.5,And Salmon begat Booz of Rachab ; and Booz begat Obed of Ruth ; and Obed begat Jesse ; ,b.MAT.1.5,"salmun yuru buɛaz ( tga innas rah ̣ ab ) . buɛaz yuru ɛubid ( tga innas raɛut ) . ɛubid yuru yassa , "
b.MAT.1.6,And Jesse begat David the king ; and David the king begat Solomon of her that had been the wife of Urias ; ,b.MAT.1.6,yassa yuru dawd agllid . dawd yuru suliman ( innas n - suliman tkka - ttin tga tamg ̇ art n - urriyya ) . 
b.MAT.1.7,And Solomon begat Roboam ; and Roboam begat Abia ; and Abia begat Asa ; ,b.MAT.1.7,"suliman yuru rah ̣ bɛam , rah ̣ bɛam yuru abiyya , abiyya yuru asa , "
b.MAT.1.8,And Asa begat Josaphat ; and Josaphat begat Joram ; and Joram begat Ozias ; ,b.MAT.1.8,"asa yuru yahušafat ̣ , yahušafat ̣ yuru yuram , yuram yuru ɛuzziyya , "
b.MAT.1.9,And Ozias begat Joatham ; and Joatham begat Achaz ; and Achaz begat Ezekias ; ,b.MAT.1.9,"ɛuzziyya yuru yutam , yutam yuru ah ̣ az , ah ̣ az yuru h ̣ azqiyya , "
b.MAT.1.10,And Ezekias begat Manasses ; and Manasses begat Amon ; and Amon begat Josias ; ,b.MAT.1.10,"h ̣ azqiyya yuru manassa , manassa yuru amun , amun yuru yušiyya , "
b.MAT.1.11,"And Josias begat Jechonias and his brethren , about the time they were carried away to Babylon : ",b.MAT.1.11,yušiyya yuru yakuniyya d - aytmas g ̇ akud llig ̇ nkrn ayt - babil awin kullu ayt - yudaya s - tmazirt n - babil . 
b.MAT.1.12,"And after they were brought to Babylon , Jechonias begat Salathiel ; and Salathiel begat Zorobabel ; ",b.MAT.1.12,"tigira n - ma - tn - iwin s - babil yakuniyya yuru šaltil , šaltil yuru zarubbabil , "
b.MAT.1.13,And Zorobabel begat Abiud ; and Abiud begat Eliakim ; and Eliakim begat Azor ; ,b.MAT.1.13,"zarubbabil yuru abihuda , abihuda yuru alyaqim , alyaqim yuru ɛazur , "
b.MAT.1.14,And Azor begat Sadoc ; and Sadoc begat Achim ; and Achim begat Eliud ; ,b.MAT.1.14,"ɛazur yuru s ̣ aduq , s ̣ aduq yuru ah ̬ im , ah ̬ im yuru alyud . "
b.MAT.1.15,And Eliud begat Eleazar ; and Eleazar begat Matthan ; and Matthan begat Jacob ; ,b.MAT.1.15,"alyud yuru aliɛazr , aliɛazr yuru mattan , mattan yuru yaɛqub . "
b.MAT.1.16,"And Jacob begat Joseph the husband of Mary , of whom was born Jesus , who is called Christ . ",b.MAT.1.16,yaɛqub yuru yusf argaz n - maryam lli - igan innas n - yasuɛ lli - mi - ttinin lmasih ̣ . 
b.MAT.1.17,So all the generations from Abraham to David are fourteen generations ; and from David until the carrying away into Babylon are fourteen generations ; and from the carrying away into Babylon unto Christ are fourteen generations . ,b.MAT.1.17,kkuz ̣ t ̣ d - mrawt n - tasut a - illan zg ̇ - ibrahim ar dawd . kkuz ̣ t ̣ d - mrawt n - tasut a - illan zg ̇ - dawd ar akud llig ̇ iwin ayt - yudaya s - babil . d - kkuz ̣ t ̣ d - mrawt n - tasut a - illan zg ̇ - llig ̇ - tn - iwin s - babil ar akud llig ̇ ilul lmasih ̣ . 
b.MAT.1.18,"Now the birth of Jesus Christ was on this wise : When as his mother Mary was espoused to Joseph , before they came together , she was found with child of the Holy Ghost . ",b.MAT.1.18,"g ̇ mkad a - tga - tlalit n - yasuɛ lmasih ̣ . innas maryam ttyawd ̣ alab i - yusf , ur - ta - stt - yiwi . taf - n ih ̬ f - ns is - a - trbbu zg ̇ - th ̣ kimt n - rruh ̣ lqudus n - rbbi . "
b.MAT.1.19,"Then Joseph her husband , being a just man , and not willing to make her a publick example , was minded to put her away privily . ",b.MAT.1.19,"imma yusf lli - stt - in - id ̣ albn iga wad bdda iran a - ird ̣ u rbbi . iswangm ad - as - ifru s - tntla , ašku ur - iri a - stt - iššh ̣ ššm g ̇ - lgddam n - mddn . "
b.MAT.1.20,"But while he thought on these things , behold , the angel of the Lord appeared unto him in a dream , saying , Joseph , thou son of David , fear not to take unto thee Mary thy wife : for that which is conceived in her is of the Holy Ghost . ",b.MAT.1.20,"ar - sul - iswingim g ̇ - mayan s - as - d - iban yal - lmalak n - sidi rbbi g ̇ - twargit yini - as : « wa - yusf yus n - dawd , ad - ur - tiksat ̣ t ̣ a - tawit maryam a - tg tamg ̇ art - nnk , ašku nttat zg ̇ - th ̣ kimt n - rruh ̣ lqudus ayn - s - tffug ̇ ar - trbbu . "
b.MAT.1.21,"And she shall bring forth a son , and thou shalt call his name JESUS : for he shall save his people from their sins . ",b.MAT.1.21,"ra - taru yan - warraw , tgt - as ism ‹ yasuɛ › ašku ra - ijjnjm mddn - ns zg ̇ - ddnub - nsn . » "
b.MAT.1.22,"Now all this was done , that it might be fulfilled which was spoken of the Lord by the prophet , saying , ",b.MAT.1.22,kullu mayad ijra baš a - yafu maylli inna sidi rbbi f - ils n - nnabi g ̇ ayd izrin inna : 
b.MAT.1.23,"Behold , a virgin shall be with child , and shall bring forth a son , and they shall call his name Emmanuel , which being interpreted is , God with us . ",b.MAT.1.23," « ha - yat - taɛyyalt ra - tffug ̇ ar - trbbu , taru yan - warraw . rad - as - ttinin ‹ ɛimmanuwwil › . » tga lmɛna - ns ‹ rbbi didnng ̇ › . "
b.MAT.1.24,"Then Joseph being raised from sleep did as the angel of the Lord had bidden him , and took unto him his wife : ",b.MAT.1.24,llig ̇ - d - ifaq yusf zg ̇ - it ̣ s iskr g ̇ mklli - as - inna lmalak n - sidi rbbi . yawi maryam a - tg tamg ̇ art - ns
