sent_id,text,sent_id2,text2
b.MAT.1.1,"The book of the generation of Jesus Christ , the son of David , the son of Abraham . ",b.MAT.1.1,"Yesu Kristo alikuwa mzawa wa Daudi , mzawa wa Abrahamu . Hii ndiyo orodha ya ukoo wake : "
b.MAT.1.2,Abraham begat Isaac ; and Isaac begat Jacob ; and Jacob begat Judas and his brethren ; ,b.MAT.1.2,"Abrahamu alimzaa Isaka , Isaka alimzaa Yakobo , Yakobo alimzaa Yuda na ndugu zake , "
b.MAT.1.3,And Judas begat Phares and Zara of Thamar ; and Phares begat Esrom ; and Esrom begat Aram ; ,b.MAT.1.3,"Yuda alimzaa Faresi na Zera ( mama yao alikuwa Tamari ) , Faresi alimzaa Hesroni , Hesroni alimzaa Rami , "
b.MAT.1.4,And Aram begat Aminadab ; and Aminadab begat Naasson ; and Naasson begat Salmon ; ,b.MAT.1.4,"Rami alimzaa Aminadabu , Aminadabu alimzaa Nashoni , Nashoni alimzaa Salmoni , "
b.MAT.1.5,And Salmon begat Booz of Rachab ; and Booz begat Obed of Ruth ; and Obed begat Jesse ; ,b.MAT.1.5,"Salmoni alimzaa Boazi ( mama yake Boazi alikuwa Rahabu ) . Boazi na Ruthi walikuwa wazazi wa Obedi , Obedi alimzaa Yese , "
b.MAT.1.6,And Jesse begat David the king ; and David the king begat Solomon of her that had been the wife of Urias ; ,b.MAT.1.6,naye Yese alimzaa Mfalme Daudi . Daudi alimzaa Solomoni ( mama yake Solomoni alikuwa mke wa Uria ) . 
b.MAT.1.7,And Solomon begat Roboam ; and Roboam begat Abia ; and Abia begat Asa ; ,b.MAT.1.7,"Solomoni alimzaa Rehoboamu , Rehoboamu alimzaa Abiya , Abiya alimzaa Asa , "
b.MAT.1.8,And Asa begat Josaphat ; and Josaphat begat Joram ; and Joram begat Ozias ; ,b.MAT.1.8,"Asa alimzaa Yehoshafati , Yehoshafati alimzaa Yoramu , Yoramu alimzaa Uzia , "
b.MAT.1.9,And Ozias begat Joatham ; and Joatham begat Achaz ; and Achaz begat Ezekias ; ,b.MAT.1.9,"Uzia alimzaa Yothamu , Yothamu alimzaa Ahazi , Ahazi alimzaa Hezekia , "
b.MAT.1.10,And Ezekias begat Manasses ; and Manasses begat Amon ; and Amon begat Josias ; ,b.MAT.1.10,"Hezekia alimzaa Manase , Manase alimzaa Amoni , Amoni alimzaa Yosia , "
b.MAT.1.11,"And Josias begat Jechonias and his brethren , about the time they were carried away to Babylon : ",b.MAT.1.11,Yosia alimzaa Yekonia na ndugu zake . Huo ulikuwa wakati Wayahudi walipopelekwa uhamishoni Babuloni . 
b.MAT.1.12,"And after they were brought to Babylon , Jechonias begat Salathiel ; and Salathiel begat Zorobabel ; ",b.MAT.1.12,"Baada ya Wayahudi kupelekwa uhamishomi Babuloni : Yekonia alimzaa Shealtieli , Shealtieli alimzaa Zerobabeli , "
b.MAT.1.13,And Zorobabel begat Abiud ; and Abiud begat Eliakim ; and Eliakim begat Azor ; ,b.MAT.1.13,"Zerobabeli alimzaa Abiudi , Abiudi alimzaa Eliakimu , Eliakimu alimzaa Azori , "
b.MAT.1.14,And Azor begat Sadoc ; and Sadoc begat Achim ; and Achim begat Eliud ; ,b.MAT.1.14,"Azori alimzaa Zadoki , Zadoki alimzaa Akimu , Akimu alimzaa Eliudi , "
