sent_id,text,sent_id2,text2
b.GEN.1.2,"And the earth was without form , and void ; and darkness was upon the face of the deep . And the Spirit of God moved upon the face of the waters . ",b.GEN.1.2,"Am ̣ adal wər iga təməwit waliyyat , əlsan - tu am ̣ an əknanen igət , wər t - illa ar šiyyay əwarnen afalla n am ̣ an win , amaran In ̣ fas ən Məššina ənta ollay fəl am ̣ an win . "
b.GEN.1.3,"And God said , Let there be light : and there was light . ",b.GEN.1.3,"In ̣ n ̣ a Məššina : « Ən ̣ n ̣ ur , əməl - t . » Təzzar imal - t ən ̣ n ̣ ur . "
b.GEN.1.4,"And God saw the light , that it was good : and God divided the light from the darkness . ",b.GEN.1.4,"Inay Məššina as ən ̣ n ̣ ur im ̣ os arat olaɣan , təzzar izammazzay Məššina ən ̣ n ̣ ur əd šiyyay . "
b.GEN.1.5,"And God called the light Day , and the darkness he called Night . And the evening and the morning were the first day . ",b.GEN.1.5,"Iga Məššina y ən ̣ n ̣ ur es ̣ əm ezal amaran šiyyay ig - asnat es ̣ əm ehad , ig ' ahad təga tifawt , ig ' əzəl w ' azzaran . "
b.GEN.1.6,"And God said , Let there be a firmament in the midst of the waters , and let it divide the waters from the waters . ",b.GEN.1.6,In ̣ n ̣ a Məššina : « Iməlet - tu aɣarɣar az z - izəmməzzəyan am ̣ an . » 
b.GEN.1.7,"And God made the firmament , and divided the waters which were under the firmament from the waters which were above the firmament : and it was so . ",b.GEN.1.7,Təzzar iga - ddu Məššina aɣarɣar izammazzay am ̣ an win əllanen daw aɣarɣar a əd win əwarnen afalla - nnet . Ig ' a wen da . 
b.GEN.1.8,And God called the firmament Heaven . And the evening and the morning were the second day . ,b.GEN.1.8,"Iga Məššina y aɣarɣar a es ̣ əm ijənnawan . Ig ' ahad təga tifawt , ig ' əzəl wa n əššin . "
b.GEN.1.9,"And God said , Let the waters under the heaven be gathered together unto one place , and let the dry land appear : and it was so . ",b.GEN.1.9,"In ̣ n ̣ a Məššina : « Am ̣ an win daw jənnawan iddawanet , əggəzan edagg iyyanda fəl ad - d - inəfiləl edag wa iqquran . » Iga a wen da . "
b.GEN.1.10,And God called the dry land Earth ; and the gathering together of the waters called he Seas : and God saw that it was good . ,b.GEN.1.10,"Iga Məššina y adag wa iqquran es ̣ əm am ̣ adal , iga y adag wa daɣ əddewan am ̣ an es ̣ əm igərwan . Inay Məššina as arat ̣ wa olaɣ . "
b.GEN.1.11,"And God said , Let the earth bring forth grass , the herb yielding seed , and the fruit tree yielding fruit after his kind , whose seed is in itself , upon the earth : and it was so . ",b.GEN.1.11,Təzzar in ̣ n ̣ a : « Am ̣ adal təwəret - tu taddalət təgat daɣ yel ilan am ̣ asa əd rawan n eškan ətarawnen aratan əlanen am ̣ asa nasan . » Təzzar ig ' a wen da . 
b.GEN.1.12,"And the earth brought forth grass , and herb yielding seed after his kind , and the tree yielding fruit , whose seed was in itself , after his kind : and God saw that it was good . ",b.GEN.1.12,"Issəg ̣ mad - du am ̣ adal taddalət təgat daɣ yel ilan am ̣ asa əkkulluk n iyyan d iri - nnet , əd rawan n eškan ətarawnen aratan əlanen am ̣ asa - nnasan . Inay Məššina as arat wa olaɣ . "
b.GEN.1.13,And the evening and the morning were the third day . ,b.GEN.1.13,"Ig ' ahad təga tifawt , ig ' əzəl wa n karad . "
b.GEN.1.14,"And God said , Let there be lights in the firmament of the heaven to divide the day from the night ; and let them be for signs , and for seasons , and for days , and years : ",b.GEN.1.14,"In ̣ n ̣ a Məššina : « Əməlanet - tu ən ̣ n ̣ uran daɣ jənnawan az za - zəmməzzinen ehad d azal , əqqəlanet asannal az z - izləyan šimeren d ad ̣ an d elan . "
b.GEN.1.15,And let them be for lights in the firmament of the heaven to give light upon the earth : and it was so . ,b.GEN.1.15,Əqqəlanet tolas ən ̣ n ̣ uran daɣ jənnawan az z - əsəmmələwləwnen am ̣ adal . » Təzzar iga a wen da . 
b.GEN.1.16,"And God made two great lights ; the greater light to rule the day , and the lesser light to rule the night : he made the stars also . ",b.GEN.1.16,"Iga Məššina ən ̣ n ̣ uran win n əššin zawwarnen . Ən ̣ n ̣ ur wa ogaran , ənta t ̣ əfuk , ad - isəmmələwləw ezal , wa ənd ̣ ərran , tallit , ad - isəmmələwləw ehad . Iga - ddu et ̣ ran əntanay da . "
b.GEN.1.17,"And God set them in the firmament of the heaven to give light upon the earth , ",b.GEN.1.17,"Ig - en daɣ jənnawan fəl ad - səmmələwləwan am ̣ adal , "
b.GEN.1.18,"And to rule over the day and over the night , and to divide the light from the darkness : and God saw that it was good . ",b.GEN.1.18,"fəl ad - əzənnəməzləyan ezal d ahad , zəmməzzəyyan ən ̣ n ̣ ur əd šiyyay . Inay Məššina as arat wa olaɣ . "
b.GEN.1.19,And the evening and the morning were the fourth day . ,b.GEN.1.19,"Ig ' ahad təga tifawt , ig ' əzəl wa n əkkoz . "
b.GEN.1.20,"And God said , Let the waters bring forth abundantly the moving creature that hath life , and fowl that may fly above the earth in the open firmament of heaven . ",b.GEN.1.20,"In ̣ n ̣ a Məššina : « Wəšənkəlnatet təxəllak əddarnen daɣ am ̣ an , əggədanet g ̣ ədad əntanay da daɣ jənnawan fəl afalla n am ̣ adal . » "
