sent_id,text,sent_id2,text2
b.MAT.1.1,"The book of the generation of Jesus Christ , the son of David , the son of Abraham . ",b.MAT.1.1,"Книга родоводу Ісуса Христа , сина Давидового , сина Авраамового . "
b.MAT.1.2,Abraham begat Isaac ; and Isaac begat Jacob ; and Jacob begat Judas and his brethren ; ,b.MAT.1.2,Авраам породив Ісаака ; а Ісаак породив Якова ; а Яков породив Юду та братів його ; 
b.MAT.1.3,And Judas begat Phares and Zara of Thamar ; and Phares begat Esrom ; and Esrom begat Aram ; ,b.MAT.1.3,а Юда породив Фареса та Зару від Тамари ; а Фарес породив Єсрома ; а Єсром породив Арама ; 
b.MAT.1.4,And Aram begat Aminadab ; and Aminadab begat Naasson ; and Naasson begat Salmon ; ,b.MAT.1.4,а Арам породив Аминадава ; а Амннадав породив Насона ; а Насон погодив Салмона ; 
b.MAT.1.5,And Salmon begat Booz of Rachab ; and Booz begat Obed of Ruth ; and Obed begat Jesse ; ,b.MAT.1.5,а Салмон породив Вооза від Рахави ; а Вооз породив Овида від Рути ; а Овид породив Єссея ; 
b.MAT.1.6,And Jesse begat David the king ; and David the king begat Solomon of her that had been the wife of Urias ; ,b.MAT.1.6,а Єссей породив Давида царя ; а Давид цар породив Соломона від Урієвої ; 
b.MAT.1.7,And Solomon begat Roboam ; and Roboam begat Abia ; and Abia begat Asa ; ,b.MAT.1.7,а Соломон породив Ровоама ; а Ровоам породив Авію ; а Авія породив Асу ; 
b.MAT.1.8,And Asa begat Josaphat ; and Josaphat begat Joram ; and Joram begat Ozias ; ,b.MAT.1.8,а Аса породив Йосафата ; а Йосафат породив Йорама ; а Йорам породив Озію ; 
b.MAT.1.9,And Ozias begat Joatham ; and Joatham begat Achaz ; and Achaz begat Ezekias ; ,b.MAT.1.9,а Озія породив Йоатама ; а Йоатам породив Ахаза ; а Ахаз породив Єзекію ; 
b.MAT.1.10,And Ezekias begat Manasses ; and Manasses begat Amon ; and Amon begat Josias ; ,b.MAT.1.10,"а Єзекія породив Манассію , а Манассія породив Амона ; а Амон породив Йосію ; "
b.MAT.1.11,"And Josias begat Jechonias and his brethren , about the time they were carried away to Babylon : ",b.MAT.1.11,"а Йосія породив Єхонїю та братів його , під час переселення у Вавилон ; "
