sent_id,text,sent_id2,text2
b.MAT.1.1,"The book of the generation of Jesus Christ , the son of David , the son of Abraham . ",b.MAT.1.1,Riˈ ri jbˈijak yak jmam Kakaj Jesucristo ri rijajl David y Abraham . 
b.MAT.1.2,Abraham begat Isaac ; and Isaac begat Jacob ; and Jacob begat Judas and his brethren ; ,b.MAT.1.2,"Abraham riˈ ri jkaj Isaac , Isaac riˈ ri jkaj Jacob y Jacob riˈ ri jkaj Judá pach yak jkˈun y ratz . "
b.MAT.1.3,And Judas begat Phares and Zara of Thamar ; and Phares begat Esrom ; and Esrom begat Aram ; ,b.MAT.1.3,Judá riˈ ri jkajak Fares pach Zara y jchuchak riˈ Tamar . Fares riˈ ri jkaj Esrom y Esrom riˈ ri jkaj Aram . 
b.MAT.1.4,And Aram begat Aminadab ; and Aminadab begat Naasson ; and Naasson begat Salmon ; ,b.MAT.1.4,"Aram riˈ ri jkaj Aminadab , Aminadab riˈ ri jkaj Naasón y Naasón riˈ ri jkaj Salmón . "
b.MAT.1.5,And Salmon begat Booz of Rachab ; and Booz begat Obed of Ruth ; and Obed begat Jesse ; ,b.MAT.1.5,"Salmón riˈ ri jkaj Booz y jchuch riˈ Rahab , Booz riˈ ri jkaj Obed y jchuch riˈ Rut y Obed riˈ ri jkaj Isaí . "
b.MAT.1.6,And Jesse begat David the king ; and David the king begat Solomon of her that had been the wife of Urias ; ,b.MAT.1.6,"Isaí riˈ ri jkaj rey David , David riˈ ri jkaj Salomón y jchuch Salomón riˈ ri anm ri xwaˈx pire rixokl Urías . "
b.MAT.1.7,And Solomon begat Roboam ; and Roboam begat Abia ; and Abia begat Asa ; ,b.MAT.1.7,"Salomón riˈ ri jkaj Roboam , Roboam riˈ ri jkaj Abías y Abías riˈ ri jkaj Asa . "
b.MAT.1.8,And Asa begat Josaphat ; and Josaphat begat Joram ; and Joram begat Ozias ; ,b.MAT.1.8,"Asa riˈ ri jkaj Josafat , Josafat riˈ ri jkaj Joram y Joram riˈ ri jkaj Uzías . "
b.MAT.1.9,And Ozias begat Joatham ; and Joatham begat Achaz ; and Achaz begat Ezekias ; ,b.MAT.1.9,"Uzías riˈ ri jkaj Jotam , Jotam riˈ ri jkaj Acaz y Acaz riˈ ri jkaj Ezequías . "
b.MAT.1.10,And Ezekias begat Manasses ; and Manasses begat Amon ; and Amon begat Josias ; ,b.MAT.1.10,"Ezequías riˈ ri jkaj Manasés , Manasés riˈ ri jkaj Amón y Amón riˈ ri jkaj Josías . "
b.MAT.1.11,"And Josias begat Jechonias and his brethren , about the time they were carried away to Babylon : ",b.MAT.1.11,Josías riˈ ri jkaj Jeconías pach yak jkˈun y ratz laˈ mak junabˈ cuando yak rijajl Israel xcˈamsajtakbˈi prexil Babilonia . 
b.MAT.1.12,"And after they were brought to Babylon , Jechonias begat Salathiel ; and Salathiel begat Zorobabel ; ",b.MAT.1.12,"Cuando xkˈajtakch prexil yak rijajl Israel Babilonia , xwaˈx jun jcˈajol Jeconías y xcoj jbˈij pi Salatiel . Salatiel riˈ ri jkaj Zorobabel . "
