sent_id,text,sent_id2,text2
b.MAT.1.1,"The book of the generation of Jesus Christ , the son of David , the son of Abraham . ",b.MAT.1.1,Hagee Daawita zarenne Abrahaama zare gidida Yesuus Kiristtoosa yeletaa yootiya maxaafaa . 
b.MAT.1.2,Abraham begat Isaac ; and Isaac begat Jacob ; and Jacob begat Judas and his brethren ; ,b.MAT.1.2,Abrahaami Yisaaqa yeliis ; Yisaaqi Yaaqooba yeliis ; Yaaqoobi Yihudaanne a ishantta yeliis . 
b.MAT.1.3,And Judas begat Phares and Zara of Thamar ; and Phares begat Esrom ; and Esrom begat Aram ; ,b.MAT.1.3,Yihudai Ti7imaaro giyo maccaaseeppe Paareesanne Zaraaha yeliis ; Paareesi Hexiroona yeliis ; Hexirooni Raama yeliis . 
b.MAT.1.4,And Aram begat Aminadab ; and Aminadab begat Naasson ; and Naasson begat Salmon ; ,b.MAT.1.4,Raami Aminadaaba yeliis ; Aminadaabi Na7asoona yeliis ; Na7asooni Solomona yeliis . 
b.MAT.1.5,And Salmon begat Booz of Rachab ; and Booz begat Obed of Ruth ; and Obed begat Jesse ; ,b.MAT.1.5,Solomoni Ra7aabo giyo maccaaseeppe Boo7eeza yeliis ; Boo7eezi Uruto giyo maccaaseeppe Yobeeda yeliis ; Yobeedi Isseya yeliis . 
b.MAT.1.6,And Jesse begat David the king ; and David the king begat Solomon of her that had been the wife of Urias ; ,b.MAT.1.6,Isseyi Kawuwaa Daawita yeliis . Kawoi Daawiti Solomona yeliis . Solomona aayyiyaa koiro Ooriyoona giyoogaa machchiyo . 
b.MAT.1.7,And Solomon begat Roboam ; and Roboam begat Abia ; and Abia begat Asa ; ,b.MAT.1.7,Solomoni Robi7aama yeliis ; Robi7aami Abiiya yeliis ; Abiiyi Asaafa yeliis . 
b.MAT.1.8,And Asa begat Josaphat ; and Josaphat begat Joram ; and Joram begat Ozias ; ,b.MAT.1.8,Asaafi Yoosaafixa yeliis ; Yoosaafixi Yoraama yeliis ; Yoraami Ooziyaana yeliis . 
b.MAT.1.9,And Ozias begat Joatham ; and Joatham begat Achaz ; and Achaz begat Ezekias ; ,b.MAT.1.9,Ooziyaani Yo7aataama yeliis ; Yo7aataami Akaaza yeliis ; Akaazi Hizqqiyaasa yeliis . 
b.MAT.1.10,And Ezekias begat Manasses ; and Manasses begat Amon ; and Amon begat Josias ; ,b.MAT.1.10,Hizqqiyaasi Minaasa yeliis ; Minaasee Amoona yeliis ; Amooni Yoosiyaasa yeliis . 
b.MAT.1.11,"And Josias begat Jechonias and his brethren , about the time they were carried away to Babylon : ",b.MAT.1.11,"Israa7eela asai omoodettidi , Baabiloone biitti biido wode , Yoosiyaasi Yo7aakiinanne a ishantta yeliis . "
b.MAT.1.12,"And after they were brought to Babylon , Jechonias begat Salathiel ; and Salathiel begat Zorobabel ; ",b.MAT.1.12,"Asai omoodetti Baabiloone biitti biidoogaappe guyyiyan , Yo7aakiini Salaatiyaala yeliis ; Salaatiyaali Zarubaabeela yeliis . "
b.MAT.1.13,And Zorobabel begat Abiud ; and Abiud begat Eliakim ; and Eliakim begat Azor ; ,b.MAT.1.13,Zarubaabeeli Abiyuuda yeliis ; Abiyuudi Eliyaaqiima yeliis ; Eliyaaqiimi Azoora yeliis . 
b.MAT.1.14,And Azor begat Sadoc ; and Sadoc begat Achim ; and Achim begat Eliud ; ,b.MAT.1.14,Azoori Xaadooqa yeliis ; Xaadooqi Akiima yeliis ; Akiimi Eliyuuda yeliis . 
b.MAT.1.15,And Eliud begat Eleazar ; and Eleazar begat Matthan ; and Matthan begat Jacob ; ,b.MAT.1.15,Eliyuudi El77aazara yeliis ; El77aazari Maataana yeliis ; Maataani Yaaqooba yeliis . 
b.MAT.1.16,"And Jacob begat Joseph the husband of Mary , of whom was born Jesus , who is called Christ . ",b.MAT.1.16,Yaaqoobi Kiristtoosa giyo Yesuusa yelida Mairaami azinaa Yooseefa yeliis . 
b.MAT.1.17,So all the generations from Abraham to David are fourteen generations ; and from David until the carrying away into Babylon are fourteen generations ; and from the carrying away into Babylon unto Christ are fourteen generations . ,b.MAT.1.17,"Hegaa gishshau , zare ubbai Abrahaamappe Daawita gakkanaassi tammanne oidda ; Daawitappe doommidi , asai Baabiloone biitti omoodettidi biido wode gakkanaassi tammanne oidda ; asai Baabiloone biitti omoodettidi biido wodeppe Kiristtoosi yelettido wodiyaa gakkanaassi tammanne oidda . "
b.MAT.1.18,"Now the birth of Jesus Christ was on this wise : When as his mother Mary was espoused to Joseph , before they came together , she was found with child of the Holy Ghost . ",b.MAT.1.18,"Yesuus Kiristtoosa yeletai hagaa mala ; a aayyiyaa Mairaama Yooseefayyo giigaasu ; a he wode Yooseefaara gaittennan de7aidda , Geeshsha Ayyaanau shahaaraasu . "
b.MAT.1.19,"Then Joseph her husband , being a just man , and not willing to make her a publick example , was minded to put her away privily . ",b.MAT.1.19,"O giigissi wottida Yooseefi , xillo asa gididaagee , o kaushshanau koyibeenna ; ibaa qonccissennan o aggi bayanau qoppiis . "
b.MAT.1.20,"But while he thought on these things , behold , the angel of the Lord appeared unto him in a dream , saying , Joseph , thou son of David , fear not to take unto thee Mary thy wife : for that which is conceived in her is of the Holy Ghost . ",b.MAT.1.20,"SHin i hegaa qoppishin , Godaa kiitanchchai aimuwan aara gaittidi , “ Daawita na7au Yooseefaa , Mairaama Geeshsha Ayyaanau shahaarido gishshau , o ekkanaagaa yayyoppa . "
b.MAT.1.21,"And she shall bring forth a son , and thou shalt call his name JESUS : for he shall save his people from their sins . ",b.MAT.1.21,"Attuma na7a a yelana ; qassi neeni Yesuusa gaada a sunttana ; aissi giikko , i ba asaa eta nagaraappe ashshana ” yaagiis . "
