sent_id,text,sent_id2,text2
b.MAT.1.1,"The book of the generation of Jesus Christ , the son of David , the son of Abraham . ",b.MAT.1.1,"Lii mooy cosaanu Yeesu Kirist , sëtu Daawuda , sëtu Ibraayma . "
b.MAT.1.2,Abraham begat Isaac ; and Isaac begat Jacob ; and Jacob begat Judas and his brethren ; ,b.MAT.1.2,Ibraayma moo jur Isaaxa ; Isaaxa jur Yanqóoba ; Yanqóoba jur Yuda ak i doomi baayam ; 
b.MAT.1.3,And Judas begat Phares and Zara of Thamar ; and Phares begat Esrom ; and Esrom begat Aram ; ,b.MAT.1.3,"Yuda , Fares ak Sara ci Tamar ; Fares Esrom , miy baayu Aram ; "
b.MAT.1.4,And Aram begat Aminadab ; and Aminadab begat Naasson ; and Naasson begat Salmon ; ,b.MAT.1.4,Aram Aminadab ; Aminadab Naason ; Naason Salmon ; 
b.MAT.1.5,And Salmon begat Booz of Rachab ; and Booz begat Obed of Ruth ; and Obed begat Jesse ; ,b.MAT.1.5,"Salmon jur ci Raxab doom ju tudd Bowas ; Bowas am ak Ruut Obedd ; Obedd jur Yese , "
b.MAT.1.6,And Jesse begat David the king ; and David the king begat Solomon of her that had been the wife of Urias ; ,b.MAT.1.6,miy baayu buur bi Daawuda . Daawuda moo jur Suleymaan ci ki nekkoon jabari Uri ; 
b.MAT.1.7,And Solomon begat Roboam ; and Roboam begat Abia ; and Abia begat Asa ; ,b.MAT.1.7,Suleymaan jur Robowam ; Robowam Abiya ; Abiya Asaf ; 
b.MAT.1.8,And Asa begat Josaphat ; and Josaphat begat Joram ; and Joram begat Ozias ; ,b.MAT.1.8,"Asaf Yosafat ; Yosafat Yoram , miy baayu Osiyas ; "
b.MAT.1.9,And Ozias begat Joatham ; and Joatham begat Achaz ; and Achaz begat Ezekias ; ,b.MAT.1.9,"Osiyas jur Yowatam ; Yowatam Akas , miy baayu Esekiyas ; "
b.MAT.1.10,And Ezekias begat Manasses ; and Manasses begat Amon ; and Amon begat Josias ; ,b.MAT.1.10,Esekiyas Manase ; Manase Amon ; Amon Yosiyas ; 
b.MAT.1.11,"And Josias begat Jechonias and his brethren , about the time they were carried away to Babylon : ",b.MAT.1.11,"Yosiyas jur Yekoñas ak i doomi baayam ca jamono , ja ñu defe Yawut ya jaam , yóbbu leen Babilon . "
b.MAT.1.12,"And after they were brought to Babylon , Jechonias begat Salathiel ; and Salathiel begat Zorobabel ; ",b.MAT.1.12,"Ba ñu leen yóbboo ca Babilon , Yekoñas jur Salacel ; Salacel Sorobabel , "
b.MAT.1.13,And Zorobabel begat Abiud ; and Abiud begat Eliakim ; and Eliakim begat Azor ; ,b.MAT.1.13,miy baayu Abiyudd ; Abiyudd Eliyakim ; Eliyakim Asor ; 
b.MAT.1.14,And Azor begat Sadoc ; and Sadoc begat Achim ; and Achim begat Eliud ; ,b.MAT.1.14,Asor Sadog ; Sadog Akim ; Akim Eliyudd ; 
b.MAT.1.15,And Eliud begat Eleazar ; and Eleazar begat Matthan ; and Matthan begat Jacob ; ,b.MAT.1.15,"Eliyudd Eleyasar ; Eleyasar Matan , miy baayu Yanqóoba ; "
b.MAT.1.16,"And Jacob begat Joseph the husband of Mary , of whom was born Jesus , who is called Christ . ",b.MAT.1.16,"Yanqóoba nag moo jur Yuusufa jëkkëru Maryaama ; te ci Maryaama la Yeesu , mi ñuy wax Kirist , juddoo . "
b.MAT.1.17,So all the generations from Abraham to David are fourteen generations ; and from David until the carrying away into Babylon are fourteen generations ; and from the carrying away into Babylon unto Christ are fourteen generations . ,b.MAT.1.17,"Mboolem giir googu nag , la dale ca Ibraayma ba ca Daawuda , fukk lañu ak ñeent ; la dale ca Daawuda ba ca njaam ga ca Babilon , fukk lañu ak ñeent ; la dale njaam ga ca Babilon ba ci Kirist , fukk lañu ak ñeent . "
b.MAT.1.18,"Now the birth of Jesus Christ was on this wise : When as his mother Mary was espoused to Joseph , before they came together , she was found with child of the Holy Ghost . ",b.MAT.1.18,"Nii la Yeesu Kirist juddoo . Bi ñu mayee Maryaama ndeyam Yuusufa , waaye laata ñoo ànd , gis nañu ne dafa ëmb ci kàttanu Xel mu Sell mi . "
b.MAT.1.19,"Then Joseph her husband , being a just man , and not willing to make her a publick example , was minded to put her away privily . ",b.MAT.1.19,"Yuusufa jëkkëram nag , nekkoon na nit ku jub te bëggu ko woon a weer . Mu nar a xàccook moom ci sutura . "
b.MAT.1.20,"But while he thought on these things , behold , the angel of the Lord appeared unto him in a dream , saying , Joseph , thou son of David , fear not to take unto thee Mary thy wife : for that which is conceived in her is of the Holy Ghost . ",b.MAT.1.20,"Waaye bi muy xalaat ci loolu , benn malaakam Boroom bi daldi ko feeñu ci gént ne ko : « Yaw Yuusufa , sëtu Daawuda , bul ragal a yeggali Maryaama sa jabar , ndaxte doom ji mu ëmb , ci Xel mu Sell mi la jóge . "
b.MAT.1.21,"And she shall bring forth a son , and thou shalt call his name JESUS : for he shall save his people from their sins . ",b.MAT.1.21,"Dina jur doom ju góor ; na nga ko tudde Yeesu , ndaxte moo di kiy musal xeetam ci seeni bàkkaar . » "
b.MAT.1.22,"Now all this was done , that it might be fulfilled which was spoken of the Lord by the prophet , saying , ",b.MAT.1.22,"Loolu lépp xewoon na , ngir amal li Boroom bi wax , jaarale ko cib yonent , bi mu naan : "
b.MAT.1.23,"Behold , a virgin shall be with child , and shall bring forth a son , and they shall call his name Emmanuel , which being interpreted is , God with us . ",b.MAT.1.23," « Janq bi dina ëmb , jur doom ju góor , ñu tudde ko Emanuwel , » liy tekki « Yàlla ganesi na nu . » "
b.MAT.1.24,"Then Joseph being raised from sleep did as the angel of the Lord had bidden him , and took unto him his wife : ",b.MAT.1.24,"Noonu Yuusufa yeewu , yeggali jabaram , na ko ko malaakam Boroom bi sante woon . "
b.MAT.1.25,And knew her not till she had brought forth her firstborn son : and he called his name JESUS . ,b.MAT.1.25,"Waaye àndul ak moom , ba kera mu mucc , jur doom ju góor ; mu tudde ko Yeesu . "
b.MAT.2.1,"Now when Jesus was born in Bethlehem of Judaea in the days of Herod the king , behold , there came wise men from the east to Jerusalem , ",b.MAT.2.1,"Bi nga xamee ne Yeesu juddu na ci Betleyem ci diiwaanu Yude , amoon na ay boroom xam - xam , ñu jóge penku , ñëw Yerusalem . Booba , ci jamonoy buur bi Erodd la woon . "
b.MAT.2.2,"Saying , Where is he that is born King of the Jews ? for we have seen his star in the east , and are come to worship him . ",b.MAT.2.2,Ñu ne : « Ana buur bi juddul Yawut yi ? Ndaxte gis nanu biddiiwam ci penku te ñëw nanu ngir màggal ko . » 
b.MAT.2.3,"When Herod the king had heard these things , he was troubled , and all Jerusalem with him . ",b.MAT.2.3,"Bi ko Erodd buur ba déggee , mu daldi jaaxle , moom ak waa Yerusalem gépp . "
b.MAT.2.4,"And when he had gathered all the chief priests and scribes of the people together , he demanded of them where Christ should be born . ",b.MAT.2.4,"Mu woolu nag saraxalekat yu mag yépp ak xutbakati xeet wa , laaj leen fu Almasi bi , maanaam Kirist , war a juddoo . "
b.MAT.2.5,"And they said unto him , In Bethlehem of Judaea : for thus it is written by the prophet , ",b.MAT.2.5,"Ñu ne ko : « Ca Betleyem ci diiwaanu Yude , ndaxte lii lañu bind jaarale ko cib yonent : "
b.MAT.2.6,"And thou Bethlehem , in the land of Juda , art not the least among the princes of Juda : for out of thee shall come a Governor , that shall rule my people Israel . ",b.MAT.2.6," “ Yaw Betleyem ci diiwaanu Yude , du yaw yaa yées ci njiiti Yude , ndaxte ci yaw la njiit di génne , kiy sàmm Israyil sama xeet . ” » "
b.MAT.2.7,"Then Herod , when he had privily called the wise men , inquired of them diligently what time the star appeared . ",b.MAT.2.7,"Ci kaw loolu Erodd woolu ci kumpa boroom xam - xam ya , di leen ceddowu , ngir xam bu wóor kañ la biddiiw bi feq . "
