sent_id,text,sent_id2,text2
b.MAT.1.1,"The book of the generation of Jesus Christ , the son of David , the son of Abraham . ",b.MAT.1.1,"Incwadi yokuzalwa kukaJesu Kristu , indodana kaDavide , indodana ka - Abrahama . "
b.MAT.1.2,Abraham begat Isaac ; and Isaac begat Jacob ; and Jacob begat Judas and his brethren ; ,b.MAT.1.2,"U - Abrahama wazala u - Isaka , u - Isaka wazala uJakobe , uJakobe wazala uJuda nabafowabo ; "
b.MAT.1.3,And Judas begat Phares and Zara of Thamar ; and Phares begat Esrom ; and Esrom begat Aram ; ,b.MAT.1.3,"uJuda wazala oFaresi noZara kuTamari , uFaresi wazala u - Esiromu , u - Esiromu wazala u - Aramu ; "
b.MAT.1.4,And Aram begat Aminadab ; and Aminadab begat Naasson ; and Naasson begat Salmon ; ,b.MAT.1.4,"u - Aramu wazala u - Aminadaba , u - Aminadaba wazala uNasoni , uNasoni wazala uSalimoni ; "
b.MAT.1.5,And Salmon begat Booz of Rachab ; and Booz begat Obed of Ruth ; and Obed begat Jesse ; ,b.MAT.1.5,"uSalimoni wazala uBowasi kuRakhabi , uBowasi wazala u - Obede kuRuthe , u - Obede wazala uJesayi ; "
b.MAT.1.6,And Jesse begat David the king ; and David the king begat Solomon of her that had been the wife of Urias ; ,b.MAT.1.6,"uJesayi wazala uDavide , inkosi . UDavide wazala uSolomoni kumka - Uriya ; "
b.MAT.1.7,And Solomon begat Roboam ; and Roboam begat Abia ; and Abia begat Asa ; ,b.MAT.1.7,"uSolomoni wazala uRobowamu , uRobowamu wazala u - Abiya , u - Abiya wazala u - Asafa ; "
b.MAT.1.8,And Asa begat Josaphat ; and Josaphat begat Joram ; and Joram begat Ozias ; ,b.MAT.1.8,"u - Asafa wazala uJosafati , uJosafati wazala uJoramu , uJoramu wazala u - Oziya ; "
b.MAT.1.9,And Ozias begat Joatham ; and Joatham begat Achaz ; and Achaz begat Ezekias ; ,b.MAT.1.9,"u - Oziya wazala uJothamu , uJothamu wazala u - Akazi , u - Akazi wazala uHezekiya ; "
b.MAT.1.10,And Ezekias begat Manasses ; and Manasses begat Amon ; and Amon begat Josias ; ,b.MAT.1.10,"uHezekiya wazala uManase , uManase wazala u - Amoni , u - Amoni wazala uJosiya ; "
b.MAT.1.11,"And Josias begat Jechonias and his brethren , about the time they were carried away to Babylon : ",b.MAT.1.11,uJosiya wazala uJekoniya nabafowabo ngesikhathi sokuthunjelwa eBabiloni . 
b.MAT.1.12,"And after they were brought to Babylon , Jechonias begat Salathiel ; and Salathiel begat Zorobabel ; ",b.MAT.1.12,"Kwathi emva kokuthunjelwa eBabiloni uJekoniya wazala uSalatiyeli , uSalatiyeli wazala uZorobabeli ; "
b.MAT.1.13,And Zorobabel begat Abiud ; and Abiud begat Eliakim ; and Eliakim begat Azor ; ,b.MAT.1.13,"uZorobabeli wazala u - Abiyudi , u - Abiyudi wazala u - Eliyakimi , u - Eliyakimi wazala u - Azori ; "
b.MAT.1.14,And Azor begat Sadoc ; and Sadoc begat Achim ; and Achim begat Eliud ; ,b.MAT.1.14,"u - Azori wazala uSadoki , uSadoki wazala u - Akimi , u - Akimi wazala u - Eliyudi ; "
